_id,MES_REFERENCIA,SUBMERCADO,PERIODO_COMERCIALIZACAO,DIA,HORA,PLD_HORA
193,202602,NORDESTE,73,4,0,445.78
194,202602,NORTE,73,4,0,445.77
195,202602,SUDESTE,73,4,0,445.78
196,202602,SUL,73,4,0,445.78
197,202602,NORDESTE,74,4,1,384.09
198,202602,NORTE,74,4,1,384.08
199,202602,SUDESTE,74,4,1,384.08
200,202602,SUL,74,4,1,384.08
201,202602,NORDESTE,75,4,2,372.66
202,202602,NORTE,75,4,2,372.65
203,202602,SUDESTE,75,4,2,372.66
204,202602,SUL,75,4,2,372.66
205,202602,NORDESTE,76,4,3,370.51
206,202602,NORTE,76,4,3,370.5
207,202602,SUDESTE,76,4,3,370.5
208,202602,SUL,76,4,3,370.5
209,202602,NORDESTE,77,4,4,370.23
210,202602,NORTE,77,4,4,370.22
211,202602,SUDESTE,77,4,4,370.22
212,202602,SUL,77,4,4,370.22
213,202602,NORDESTE,78,4,5,372.96
214,202602,NORTE,78,4,5,372.95
215,202602,SUDESTE,78,4,5,372.95
216,202602,SUL,78,4,5,372.95
217,202602,NORDESTE,79,4,6,368.07
218,202602,NORTE,79,4,6,368.06
219,202602,SUDESTE,79,4,6,368.08
220,202602,SUL,79,4,6,368.08
221,202602,NORDESTE,80,4,7,360.69
222,202602,NORTE,80,4,7,360.68
223,202602,SUDESTE,80,4,7,360.69
224,202602,SUL,80,4,7,360.7
225,202602,NORDESTE,81,4,8,360.99
226,202602,NORTE,81,4,8,360.98
227,202602,SUDESTE,81,4,8,360.99
228,202602,SUL,81,4,8,361.0
229,202602,NORDESTE,82,4,9,356.49
230,202602,NORTE,82,4,9,356.49
231,202602,SUDESTE,82,4,9,356.5
232,202602,SUL,82,4,9,356.51
233,202602,NORDESTE,83,4,10,354.9
234,202602,NORTE,83,4,10,354.9
235,202602,SUDESTE,83,4,10,354.9
236,202602,SUL,83,4,10,354.91
237,202602,NORDESTE,84,4,11,354.84
238,202602,NORTE,84,4,11,354.84
239,202602,SUDESTE,84,4,11,354.84
240,202602,SUL,84,4,11,354.85
241,202602,NORDESTE,85,4,12,350.18
242,202602,NORTE,85,4,12,350.19
243,202602,SUDESTE,85,4,12,350.19
244,202602,SUL,85,4,12,350.19
245,202602,NORDESTE,86,4,13,319.66
246,202602,NORTE,86,4,13,319.66
247,202602,SUDESTE,86,4,13,319.66
248,202602,SUL,86,4,13,365.24
249,202602,NORDESTE,87,4,14,363.83
250,202602,NORTE,87,4,14,363.83
251,202602,SUDESTE,87,4,14,363.84
252,202602,SUL,87,4,14,367.76
253,202602,NORDESTE,88,4,15,372.98
254,202602,NORTE,88,4,15,372.97
255,202602,SUDESTE,88,4,15,372.98
256,202602,SUL,88,4,15,372.99
257,202602,NORDESTE,89,4,16,392.22
258,202602,NORTE,89,4,16,392.21
259,202602,SUDESTE,89,4,16,392.23
260,202602,SUL,89,4,16,392.23
261,202602,NORDESTE,90,4,17,435.37
262,202602,NORTE,90,4,17,435.36
263,202602,SUDESTE,90,4,17,435.37
264,202602,SUL,90,4,17,435.37
265,202602,NORDESTE,91,4,18,582.86
266,202602,NORTE,91,4,18,582.86
267,202602,SUDESTE,91,4,18,582.86
268,202602,SUL,91,4,18,582.87
269,202602,NORDESTE,92,4,19,1199.88
270,202602,NORTE,92,4,19,1199.87
271,202602,SUDESTE,92,4,19,1199.88
272,202602,SUL,92,4,19,1199.89
273,202602,NORDESTE,93,4,20,1557.91
274,202602,NORTE,93,4,20,1557.9
275,202602,SUDESTE,93,4,20,1557.92
276,202602,SUL,93,4,20,1557.93
277,202602,NORDESTE,94,4,21,1521.4
278,202602,NORTE,94,4,21,1521.39
279,202602,SUDESTE,94,4,21,1521.4
280,202602,SUL,94,4,21,1521.4
281,202602,NORDESTE,95,4,22,879.49
282,202602,NORTE,95,4,22,879.48
283,202602,SUDESTE,95,4,22,879.49
284,202602,SUL,95,4,22,879.49
285,202602,NORDESTE,96,4,23,519.47
286,202602,NORTE,96,4,23,519.46
287,202602,SUDESTE,96,4,23,519.46
288,202602,SUL,96,4,23,519.46
