_id,MES_REFERENCIA,SUBMERCADO,PERIODO_COMERCIALIZACAO,DIA,HORA,PLD_HORA,DATA_COMPLETA,TIMESTAMP
97,202602,NORDESTE,97,5,0,543.01,2026-02-05,2026-02-05 00:00:00
98,202602,NORTE,97,5,0,543.0,2026-02-05,2026-02-05 00:00:00
99,202602,SUDESTE,97,5,0,543.0,2026-02-05,2026-02-05 00:00:00
100,202602,SUL,97,5,0,543.0,2026-02-05,2026-02-05 00:00:00
101,202602,NORDESTE,98,5,1,415.57,2026-02-05,2026-02-05 01:00:00
102,202602,NORTE,98,5,1,415.56,2026-02-05,2026-02-05 01:00:00
103,202602,SUDESTE,98,5,1,415.56,2026-02-05,2026-02-05 01:00:00
104,202602,SUL,98,5,1,415.56,2026-02-05,2026-02-05 01:00:00
105,202602,NORDESTE,99,5,2,400.13,2026-02-05,2026-02-05 02:00:00
106,202602,NORTE,99,5,2,400.12,2026-02-05,2026-02-05 02:00:00
107,202602,SUDESTE,99,5,2,400.13,2026-02-05,2026-02-05 02:00:00
108,202602,SUL,99,5,2,400.12,2026-02-05,2026-02-05 02:00:00
109,202602,NORDESTE,100,5,3,395.82,2026-02-05,2026-02-05 03:00:00
110,202602,NORTE,100,5,3,395.81,2026-02-05,2026-02-05 03:00:00
111,202602,SUDESTE,100,5,3,395.81,2026-02-05,2026-02-05 03:00:00
112,202602,SUL,100,5,3,395.81,2026-02-05,2026-02-05 03:00:00
113,202602,NORDESTE,101,5,4,398.72,2026-02-05,2026-02-05 04:00:00
114,202602,NORTE,101,5,4,398.71,2026-02-05,2026-02-05 04:00:00
115,202602,SUDESTE,101,5,4,398.72,2026-02-05,2026-02-05 04:00:00
116,202602,SUL,101,5,4,398.71,2026-02-05,2026-02-05 04:00:00
117,202602,NORDESTE,102,5,5,406.66,2026-02-05,2026-02-05 05:00:00
118,202602,NORTE,102,5,5,406.65,2026-02-05,2026-02-05 05:00:00
119,202602,SUDESTE,102,5,5,406.65,2026-02-05,2026-02-05 05:00:00
120,202602,SUL,102,5,5,406.64,2026-02-05,2026-02-05 05:00:00
121,202602,NORDESTE,103,5,6,398.31,2026-02-05,2026-02-05 06:00:00
122,202602,NORTE,103,5,6,398.31,2026-02-05,2026-02-05 06:00:00
123,202602,SUDESTE,103,5,6,398.31,2026-02-05,2026-02-05 06:00:00
124,202602,SUL,103,5,6,398.31,2026-02-05,2026-02-05 06:00:00
125,202602,NORDESTE,104,5,7,381.32,2026-02-05,2026-02-05 07:00:00
126,202602,NORTE,104,5,7,381.32,2026-02-05,2026-02-05 07:00:00
127,202602,SUDESTE,104,5,7,381.32,2026-02-05,2026-02-05 07:00:00
128,202602,SUL,104,5,7,381.32,2026-02-05,2026-02-05 07:00:00
129,202602,NORDESTE,105,5,8,379.79,2026-02-05,2026-02-05 08:00:00
130,202602,NORTE,105,5,8,379.8,2026-02-05,2026-02-05 08:00:00
131,202602,SUDESTE,105,5,8,379.8,2026-02-05,2026-02-05 08:00:00
