AJUSTE_MCSD_EX,AJUSTE_RECONTAB,CNPJ,COD_AGENTE,COD_PERF_AGENTE,COMPENSACAO_MRE,EFEITO_CCEARQ,EFEITO_CONTRAT_COTA_GF,EFEITO_CONTRAT_DISP,EFEITO_CONTRAT_ITAIPU,EFEITO_CONTRAT_NUCLEAR,EFEITO_DESLOC_PLD_CMO,EFEITO_REPASSE_RISCO_HIDRO,MES_REFERENCIA,NOME_EMPRESARIAL,RESULTADO_FINAL,RESULTADO_FINANCEIRO_ER,SIGLA_PERFIL_AGENTE,VALOR_AJUSTE_ALIVIO_RET,VALOR_AJUSTE_EXPOSICAO,VALOR_ENCARGO,VALOR_TM_MCP,_dataset,_id,_resource_id
,-33307.16,02016440000162,3,3,,,-2430096.82,-10404795.26,-5346224.36,483552.98,-138503.62,-5118869.31,202512,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,-22755528.88,0,RGE SUL,0,66752.11,65343.49,303138.56,contabilizacao_montante_perfil_agente,1,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,-195901.65,02016440000162,3,83729,,,-2636335.38,-29876095.29,-5002336.71,1246999.78,-94190.7,-4294925.94,202512,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,-36581434.3,0,RGE DIST,0,48128.22,54825.67,4383846.53,contabilizacao_montante_perfil_agente,2,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,-407048.32,02302100000106,5,5,,,-3183351.96,-27175244.41,-5646918.43,1290758.93,-177970.56,-6156731.64,202512,EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.,-52479211.83,0,BANDEIRANTE,0,74087.78,78592.03,-11018334.24,contabilizacao_montante_perfil_agente,3,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,-12381.62,19527639000158,8,8,,,-644622.12,-4048967.46,-1067788.77,109685.31,-16841.8,-1007921.58,202512,ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.,-6208256.66,0,ENERGISA MR,0,6618.36,12866.34,509321.21,contabilizacao_montante_perfil_agente,4,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,03295499000108,9,9,,,0,0,0,0,0,0,202512,FOX ENERGY COMERCIALIZADORA DE ENERGIA LTDA.,0,0,FOX,0,0,0,,contabilizacao_montante_perfil_agente,5,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,03295499000108,9,3568,,,0,0,0,0,0,0,202512,FOX ENERGY COMERCIALIZADORA DE ENERGIA LTDA.,0,0,FOX I1,0,0,0,,contabilizacao_montante_perfil_agente,6,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,03295499000108,9,3569,,,0,0,0,0,0,0,202512,FOX ENERGY COMERCIALIZADORA DE ENERGIA LTDA.,0,0,FOX I5,0,0,0,,contabilizacao_montante_perfil_agente,7,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,-188891.45,12272084000100,10,10,,,-1404460.02,-20496622.76,0,368533.57,-60249.08,-2794336.47,202512,EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,-24696224.93,0,CEAL,0,35123.53,35670.32,-117222.92,contabilizacao_montante_perfil_agente,8,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,-1274766.23,01543032000104,15,15,,,-4773100.37,-69270503.06,-7729189.25,1072645.98,-158659.07,-7918267.14,202512,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A,-61705820.98,0,CELG,0,102523.07,101078.42,28512744.16,contabilizacao_montante_perfil_agente,9,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,-88741.4,04895728000180,16,16,,,-3258133.34,-47458074.61,0,1018508.07,-206160.21,-8550370.21,202512,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,-67528886.28,0,CELPA,0,110584.59,109147.35,-8999441.58,contabilizacao_montante_perfil_agente,10,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,-741253.74,10835932000108,17,17,,,-4600155.37,-53065596.39,0,1321088.98,-204974.13,-9169134.61,202512,COMPANHIA ENERGETICA DE PERNAMBUCO,-55798375.31,0,CELPE,0,119581.62,117046.01,10668487.9,contabilizacao_montante_perfil_agente,11,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,19485.6,25086034000171,18,18,,,-918411.46,-11627901.18,0,169800.17,-25330.31,-1480690.4,202512,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,-9463449.49,0,ENERGISA TO,0,20212.34,18901.34,4972659.41,contabilizacao_montante_perfil_agente,12,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,-310915.41,06272793000184,19,19,,,-2666410.32,-36804809.48,0,799678.31,-151252.51,-6160479.54,202512,EQUATORIAL MARANHAO DISTRIBUIDORA DE ENERGIA S.A,-31895977.93,0,CEMAR,0,89666.24,78639.87,13388068.62,contabilizacao_montante_perfil_agente,13,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,-2589085.5,03467321000199,20,20,,,-3262313.19,-47418469.13,-5006120.14,543194.4,-83775.46,-5061694.95,202512,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,-64660991,0,ENERGISA MT,0,36500.89,64613.65,-1637751.05,contabilizacao_montante_perfil_agente,14,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,26106,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H COMERCIALIZACAO I0,0,0,0,,contabilizacao_montante_perfil_agente,15,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,-0.09,17155730000164,21,30816,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,48523225.3,0,CEMIG H COMERCIALIZACAO I5,0,0,0,48522902.06,contabilizacao_montante_perfil_agente,16,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,3.77,17155730000164,21,30832,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,1951626.97,0,CEMIG H COMERCIALIZACAO,0,0,0,1214946.34,contabilizacao_montante_perfil_agente,17,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,34378,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,-37092.62,0,CEMIG H COMERCIALIZACAO I1,0,0,0,-37092.62,contabilizacao_montante_perfil_agente,18,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,-0.03,17155730000164,21,34681,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,-1656428.7,0,CEMIG H COM INC_NESP,0,0,0,-1656472.11,contabilizacao_montante_perfil_agente,19,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,105940,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAREJISTA,0,0,0,,contabilizacao_montante_perfil_agente,20,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,109839,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H COM VT URU,0,0,0,,contabilizacao_montante_perfil_agente,21,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,109840,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H COM EXP ARG,0,0,0,,contabilizacao_montante_perfil_agente,22,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,109850,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H COM VT ARG,0,0,0,,contabilizacao_montante_perfil_agente,23,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,109851,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H COM EXP URU,0,0,0,,contabilizacao_montante_perfil_agente,24,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,178097,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H COM IMP PAR CCEAL,0,0,0,,contabilizacao_montante_perfil_agente,25,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,178321,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H COM IMP PAR,0,0,0,,contabilizacao_montante_perfil_agente,26,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182576,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR NE,0,0,0,,contabilizacao_montante_perfil_agente,27,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182612,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR SE,0,0,0,,contabilizacao_montante_perfil_agente,28,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182613,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR S,0,0,0,,contabilizacao_montante_perfil_agente,29,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182614,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR N,0,0,0,,contabilizacao_montante_perfil_agente,30,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182719,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR001 SE,0,0,0,,contabilizacao_montante_perfil_agente,31,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182720,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR001 NE,0,0,0,,contabilizacao_montante_perfil_agente,32,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182721,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR001 N,0,0,0,,contabilizacao_montante_perfil_agente,33,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182722,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR002 NE,0,0,0,,contabilizacao_montante_perfil_agente,34,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182723,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR003 SE,0,0,0,,contabilizacao_montante_perfil_agente,35,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182724,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR003 NE,0,0,0,,contabilizacao_montante_perfil_agente,36,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182725,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR005 N,0,0,0,,contabilizacao_montante_perfil_agente,37,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182739,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR001 S,0,0,0,,contabilizacao_montante_perfil_agente,38,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182740,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR002 SE,0,0,0,,contabilizacao_montante_perfil_agente,39,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182741,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR002 S,0,0,0,,contabilizacao_montante_perfil_agente,40,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182742,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR003 S,0,0,0,,contabilizacao_montante_perfil_agente,41,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182743,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR003 N,0,0,0,,contabilizacao_montante_perfil_agente,42,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182744,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR004 S,0,0,0,,contabilizacao_montante_perfil_agente,43,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182745,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR004 NE,0,0,0,,contabilizacao_montante_perfil_agente,44,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182759,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR002 N,0,0,0,,contabilizacao_montante_perfil_agente,45,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182760,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR004 SE,0,0,0,,contabilizacao_montante_perfil_agente,46,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182761,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR004 N,0,0,0,,contabilizacao_montante_perfil_agente,47,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182762,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR005 SE,0,0,0,,contabilizacao_montante_perfil_agente,48,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182763,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR005 S,0,0,0,,contabilizacao_montante_perfil_agente,49,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,17155730000164,21,182764,,,0,0,0,0,0,0,202512,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,0,0,CEMIG H VAR005 NE,0,0,0,,contabilizacao_montante_perfil_agente,50,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,-365771.94,06840748000189,22,22,,,-1528160.04,-18869897.63,0,345247.93,-62879.01,-3169460.86,202512,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,-25410698.18,0,CEPISA,0,39707.47,40458.86,-1757190.33,contabilizacao_montante_perfil_agente,51,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,17488.01,60933603000178,23,23,1015964.87,,0,0,0,0,0,6562043.01,202512,CESP - COMPANHIA ENERGETICA DE SAO PAULO,-10375996.64,0,CESP,0,43.98,347253.68,-17994086.42,contabilizacao_montante_perfil_agente,52,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,60933603000178,23,26615,,,0,0,0,0,0,0,202512,CESP - COMPANHIA ENERGETICA DE SAO PAULO,0,0,CESP I100,0,0,0,,contabilizacao_montante_perfil_agente,53,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,60933603000178,23,26633,,,0,0,0,0,0,0,202512,CESP - COMPANHIA ENERGETICA DE SAO PAULO,0,0,CESP I5,0,0,0,,contabilizacao_montante_perfil_agente,54,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,60933603000178,23,28539,,,0,0,0,0,0,0,202512,CESP - COMPANHIA ENERGETICA DE SAO PAULO,0,0,CESP I0,0,0,0,,contabilizacao_montante_perfil_agente,55,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,-0.08,60933603000178,23,41336,176478.68,,404358.14,0,0,0,0,0,202512,CESP - COMPANHIA ENERGETICA DE SAO PAULO,0.04,0,CESP PARAIBUNA,0,2.81,16442.4,-597281.98,contabilizacao_montante_perfil_agente,56,76d1cf4c-da8c-47a5-9f0d-8b50079be960
,0,60933603000178,23,58664,,,0,0,0,0,0,0,202512,CESP - COMPANHIA ENERGETICA DE SAO PAULO,0,0,CESP JUPIA,0,0,0,,contabilizacao_montante_perfil_agente,57,76d1cf4c-da8c-47a5-9f0d-8b50079be960
