DIA,HORA,MES_REFERENCIA,PERIODO_COMERCIALIZACAO,PLD_HORA,SUBMERCADO,_dataset,_id,_resource_id
10,0,202602,217,456.5,NORDESTE,pld_horario,1,3f279d6b-1069-42f7-9b0a-217b084729c4
10,0,202602,217,456.49,NORTE,pld_horario,2,3f279d6b-1069-42f7-9b0a-217b084729c4
10,0,202602,217,456.5,SUDESTE,pld_horario,3,3f279d6b-1069-42f7-9b0a-217b084729c4
10,0,202602,217,456.51,SUL,pld_horario,4,3f279d6b-1069-42f7-9b0a-217b084729c4
10,1,202602,218,446.24,NORDESTE,pld_horario,5,3f279d6b-1069-42f7-9b0a-217b084729c4
10,1,202602,218,446.23,NORTE,pld_horario,6,3f279d6b-1069-42f7-9b0a-217b084729c4
10,1,202602,218,446.23,SUDESTE,pld_horario,7,3f279d6b-1069-42f7-9b0a-217b084729c4
10,1,202602,218,446.24,SUL,pld_horario,8,3f279d6b-1069-42f7-9b0a-217b084729c4
10,2,202602,219,440.26,NORDESTE,pld_horario,9,3f279d6b-1069-42f7-9b0a-217b084729c4
10,2,202602,219,440.25,NORTE,pld_horario,10,3f279d6b-1069-42f7-9b0a-217b084729c4
10,2,202602,219,440.25,SUDESTE,pld_horario,11,3f279d6b-1069-42f7-9b0a-217b084729c4
10,2,202602,219,440.26,SUL,pld_horario,12,3f279d6b-1069-42f7-9b0a-217b084729c4
10,3,202602,220,438.92,NORDESTE,pld_horario,13,3f279d6b-1069-42f7-9b0a-217b084729c4
10,3,202602,220,438.92,NORTE,pld_horario,14,3f279d6b-1069-42f7-9b0a-217b084729c4
10,3,202602,220,438.92,SUDESTE,pld_horario,15,3f279d6b-1069-42f7-9b0a-217b084729c4
10,3,202602,220,438.92,SUL,pld_horario,16,3f279d6b-1069-42f7-9b0a-217b084729c4
10,4,202602,221,438.97,NORDESTE,pld_horario,17,3f279d6b-1069-42f7-9b0a-217b084729c4
10,4,202602,221,438.96,NORTE,pld_horario,18,3f279d6b-1069-42f7-9b0a-217b084729c4
10,4,202602,221,438.97,SUDESTE,pld_horario,19,3f279d6b-1069-42f7-9b0a-217b084729c4
10,4,202602,221,438.98,SUL,pld_horario,20,3f279d6b-1069-42f7-9b0a-217b084729c4
10,5,202602,222,441.97,NORDESTE,pld_horario,21,3f279d6b-1069-42f7-9b0a-217b084729c4
10,5,202602,222,441.98,NORTE,pld_horario,22,3f279d6b-1069-42f7-9b0a-217b084729c4
10,5,202602,222,441.98,SUDESTE,pld_horario,23,3f279d6b-1069-42f7-9b0a-217b084729c4
10,5,202602,222,441.98,SUL,pld_horario,24,3f279d6b-1069-42f7-9b0a-217b084729c4
10,6,202602,223,439.95,NORDESTE,pld_horario,25,3f279d6b-1069-42f7-9b0a-217b084729c4
10,6,202602,223,439.96,NORTE,pld_horario,26,3f279d6b-1069-42f7-9b0a-217b084729c4
10,6,202602,223,439.96,SUDESTE,pld_horario,27,3f279d6b-1069-42f7-9b0a-217b084729c4
10,6,202602,223,439.96,SUL,pld_horario,28,3f279d6b-1069-42f7-9b0a-217b084729c4
10,7,202602,224,434.56,NORDESTE,pld_horario,29,3f279d6b-1069-42f7-9b0a-217b084729c4
10,7,202602,224,434.56,NORTE,pld_horario,30,3f279d6b-1069-42f7-9b0a-217b084729c4
10,7,202602,224,434.56,SUDESTE,pld_horario,31,3f279d6b-1069-42f7-9b0a-217b084729c4
10,7,202602,224,434.57,SUL,pld_horario,32,3f279d6b-1069-42f7-9b0a-217b084729c4
10,8,202602,225,431.0,NORDESTE,pld_horario,33,3f279d6b-1069-42f7-9b0a-217b084729c4
10,8,202602,225,431.0,NORTE,pld_horario,34,3f279d6b-1069-42f7-9b0a-217b084729c4
10,8,202602,225,431.01,SUDESTE,pld_horario,35,3f279d6b-1069-42f7-9b0a-217b084729c4
10,8,202602,225,434.8,SUL,pld_horario,36,3f279d6b-1069-42f7-9b0a-217b084729c4
10,9,202602,226,425.85,NORDESTE,pld_horario,37,3f279d6b-1069-42f7-9b0a-217b084729c4
10,9,202602,226,425.86,NORTE,pld_horario,38,3f279d6b-1069-42f7-9b0a-217b084729c4
10,9,202602,226,425.86,SUDESTE,pld_horario,39,3f279d6b-1069-42f7-9b0a-217b084729c4
10,9,202602,226,433.99,SUL,pld_horario,40,3f279d6b-1069-42f7-9b0a-217b084729c4
10,10,202602,227,428.6,NORDESTE,pld_horario,41,3f279d6b-1069-42f7-9b0a-217b084729c4
10,10,202602,227,428.6,NORTE,pld_horario,42,3f279d6b-1069-42f7-9b0a-217b084729c4
10,10,202602,227,428.6,SUDESTE,pld_horario,43,3f279d6b-1069-42f7-9b0a-217b084729c4
10,10,202602,227,433.34,SUL,pld_horario,44,3f279d6b-1069-42f7-9b0a-217b084729c4
10,11,202602,228,427.34,NORDESTE,pld_horario,45,3f279d6b-1069-42f7-9b0a-217b084729c4
10,11,202602,228,427.34,NORTE,pld_horario,46,3f279d6b-1069-42f7-9b0a-217b084729c4
10,11,202602,228,427.34,SUDESTE,pld_horario,47,3f279d6b-1069-42f7-9b0a-217b084729c4
10,11,202602,228,432.99,SUL,pld_horario,48,3f279d6b-1069-42f7-9b0a-217b084729c4
10,12,202602,229,405.62,NORDESTE,pld_horario,49,3f279d6b-1069-42f7-9b0a-217b084729c4
10,12,202602,229,405.62,NORTE,pld_horario,50,3f279d6b-1069-42f7-9b0a-217b084729c4
10,12,202602,229,405.62,SUDESTE,pld_horario,51,3f279d6b-1069-42f7-9b0a-217b084729c4
10,12,202602,229,429.86,SUL,pld_horario,52,3f279d6b-1069-42f7-9b0a-217b084729c4
10,13,202602,230,426.54,NORDESTE,pld_horario,53,3f279d6b-1069-42f7-9b0a-217b084729c4
10,13,202602,230,426.55,NORTE,pld_horario,54,3f279d6b-1069-42f7-9b0a-217b084729c4
10,13,202602,230,426.55,SUDESTE,pld_horario,55,3f279d6b-1069-42f7-9b0a-217b084729c4
10,13,202602,230,431.02,SUL,pld_horario,56,3f279d6b-1069-42f7-9b0a-217b084729c4
10,14,202602,231,411.45,NORDESTE,pld_horario,57,3f279d6b-1069-42f7-9b0a-217b084729c4
10,14,202602,231,411.45,NORTE,pld_horario,58,3f279d6b-1069-42f7-9b0a-217b084729c4
10,14,202602,231,411.45,SUDESTE,pld_horario,59,3f279d6b-1069-42f7-9b0a-217b084729c4
10,14,202602,231,454.29,SUL,pld_horario,60,3f279d6b-1069-42f7-9b0a-217b084729c4
10,15,202602,232,436.25,NORDESTE,pld_horario,61,3f279d6b-1069-42f7-9b0a-217b084729c4
10,15,202602,232,436.25,NORTE,pld_horario,62,3f279d6b-1069-42f7-9b0a-217b084729c4
10,15,202602,232,436.25,SUDESTE,pld_horario,63,3f279d6b-1069-42f7-9b0a-217b084729c4
10,15,202602,232,455.25,SUL,pld_horario,64,3f279d6b-1069-42f7-9b0a-217b084729c4
10,16,202602,233,451.89,NORDESTE,pld_horario,65,3f279d6b-1069-42f7-9b0a-217b084729c4
10,16,202602,233,451.9,NORTE,pld_horario,66,3f279d6b-1069-42f7-9b0a-217b084729c4
10,16,202602,233,451.9,SUDESTE,pld_horario,67,3f279d6b-1069-42f7-9b0a-217b084729c4
10,16,202602,233,463.87,SUL,pld_horario,68,3f279d6b-1069-42f7-9b0a-217b084729c4
10,17,202602,234,461.04,NORDESTE,pld_horario,69,3f279d6b-1069-42f7-9b0a-217b084729c4
10,17,202602,234,461.04,NORTE,pld_horario,70,3f279d6b-1069-42f7-9b0a-217b084729c4
10,17,202602,234,461.05,SUDESTE,pld_horario,71,3f279d6b-1069-42f7-9b0a-217b084729c4
10,17,202602,234,461.06,SUL,pld_horario,72,3f279d6b-1069-42f7-9b0a-217b084729c4
10,18,202602,235,466.66,NORDESTE,pld_horario,73,3f279d6b-1069-42f7-9b0a-217b084729c4
10,18,202602,235,466.66,NORTE,pld_horario,74,3f279d6b-1069-42f7-9b0a-217b084729c4
10,18,202602,235,466.67,SUDESTE,pld_horario,75,3f279d6b-1069-42f7-9b0a-217b084729c4
10,18,202602,235,466.67,SUL,pld_horario,76,3f279d6b-1069-42f7-9b0a-217b084729c4
10,19,202602,236,469.12,NORDESTE,pld_horario,77,3f279d6b-1069-42f7-9b0a-217b084729c4
10,19,202602,236,469.11,NORTE,pld_horario,78,3f279d6b-1069-42f7-9b0a-217b084729c4
10,19,202602,236,469.13,SUDESTE,pld_horario,79,3f279d6b-1069-42f7-9b0a-217b084729c4
10,19,202602,236,469.13,SUL,pld_horario,80,3f279d6b-1069-42f7-9b0a-217b084729c4
10,20,202602,237,469.09,NORDESTE,pld_horario,81,3f279d6b-1069-42f7-9b0a-217b084729c4
10,20,202602,237,469.08,NORTE,pld_horario,82,3f279d6b-1069-42f7-9b0a-217b084729c4
10,20,202602,237,469.09,SUDESTE,pld_horario,83,3f279d6b-1069-42f7-9b0a-217b084729c4
10,20,202602,237,469.1,SUL,pld_horario,84,3f279d6b-1069-42f7-9b0a-217b084729c4
10,21,202602,238,468.79,NORDESTE,pld_horario,85,3f279d6b-1069-42f7-9b0a-217b084729c4
10,21,202602,238,468.79,NORTE,pld_horario,86,3f279d6b-1069-42f7-9b0a-217b084729c4
10,21,202602,238,468.8,SUDESTE,pld_horario,87,3f279d6b-1069-42f7-9b0a-217b084729c4
10,21,202602,238,468.8,SUL,pld_horario,88,3f279d6b-1069-42f7-9b0a-217b084729c4
10,22,202602,239,465.21,NORDESTE,pld_horario,89,3f279d6b-1069-42f7-9b0a-217b084729c4
10,22,202602,239,465.2,NORTE,pld_horario,90,3f279d6b-1069-42f7-9b0a-217b084729c4
