AJUSTE_MCSD_XP_PAGAMENTO,AJUSTE_MCSD_XP_RECEBIMENTO,AJUSTE_RECONTAB_PAGAMENTO,AJUSTE_RECONTAB_RECEBIMENTO,ALIVIO_RETROATIVO_PAGAMENTO,ALIVIO_RETROATIVO_RECEBIMENTO,EFEITO_CONTRATACAO_CCEN_PAGAMENTO,EFEITO_CONTRATACAO_CCEN_RECEBIMENTO,EFEITO_CONTRATACAO_CCGF_PAGAMENTO,EFEITO_CONTRATACAO_CCGF_RECEBIMENTO,EFEITO_CONTRATACAO_DISP_PAGAMENTO,EFEITO_CONTRATACAO_DISP_RECEBIMENTO,EFEITO_CONTRATACAO_ITAIPU_PAGAMENTO,EFEITO_CONTRATACAO_ITAIPU_RECEBIMENTO,EFEITO_CONTRATACAO_QTD_PAGAMENTO,EFEITO_CONTRATACAO_RRH_PAGAMENTO,EFEITO_CONTRATACAO_RRH_RECEBIMENTO,EFEITO_CUSTOS_DESC,ENCARGOS_PAGAMENTO_DIST,ENCARGOS_RECEBIMENTO_DIST,EXPOSICAO_FINANCEIRA_PAGAMENTO,EXPOSICAO_FINANCEIRA_RECEBIMENTO,MES_REFERENCIA,RESULTADO_EXCEDENTE_ER_RECEBIMENTO,RESULTADO_FINAL_PAGAMENTO,RESULTADO_FINAL_RECEBIMENTO,RESULTADO_MCP_PAGAMENTO,RESULTADO_MCP_RECEBIMENTO,_dataset,_id,_resource_id
0,0,-21271071.61,1151707.08,0,0,0,42078732.81,-130620058.15,0,-1273465113.25,0,-163643030.63,0,0,-257321730.63,0,-6366389.48,0,3284768.62,3416004.99,140826.12,202512,0,-1669042219.31,28495902.89,-186786745.6,363989262.61,sumario_distribuicao_mensal,1,9e8e3f5f-58a8-4744-b6da-7309a4513fcb
0,0,-27264353.61,5447000.81,0,0,0,43487726.88,-281952286.32,0,-632136385.16,0,-293198138.95,0,0,-619543347.14,0,-2447836.03,0,5056541.36,22421894.88,10929735.73,202511,0,-1075035614.67,85276419.73,-105233849.78,919818001.8,sumario_distribuicao_mensal,2,9e8e3f5f-58a8-4744-b6da-7309a4513fcb
0,0,-38207867.91,1701222.43,0,17649182.97,0,35666479.09,-321612612.31,0,-366072597.65,7237999.3,-367788830.04,0,0,-738606227.06,0,-1481725.58,0,1232750.41,165476477.67,131918087.34,202510,0,-1178857120.27,51560071.96,-150144150.26,794605055.74,sumario_distribuicao_mensal,3,9e8e3f5f-58a8-4744-b6da-7309a4513fcb
0,0,-42161933.88,900256.92,0,21962182.57,0,37893706.46,-310090368.62,0,-688174866.6,102455.4,-393045648.34,0,0,-767216407.1,0,-993041.8,0,3021214.94,62901485.51,41144872.75,202509,0,-1395498666.08,42512100.9,-96879234.22,877466907.63,sumario_distribuicao_mensal,4,9e8e3f5f-58a8-4744-b6da-7309a4513fcb
0.0,0.0,-30254229.87,425025.98,0.0,20065799.08,0.0,46955439.34,-332507507.62,0.0,-672376169.73,100542.14,-481208720.59,0.0,0.0,-951955517.69,0.0,-585783.89,0.0,4277320.64,79407004.84,53904523.31,202508,0.0,-1353298652.29,41432758.66,-41942450.08,1120138793.28,sumario_distribuicao_mensal,5,9e8e3f5f-58a8-4744-b6da-7309a4513fcb
0.0,0.0,-1304.27,6910458.08,0.0,0.0,-2259718.52,5290816.24,-184746013.99,0.0,-726348229.08,15445.99,-318966853.67,0.0,0.0,-605962662.93,0.0,-815917.39,0.0,3286966.21,28034031.69,14753493.14,202507,0.0,-1057778024.3,26819263.74,-27266855.91,816572478.06,sumario_distribuicao_mensal,6,9e8e3f5f-58a8-4744-b6da-7309a4513fcb
0.0,0.0,-1054444.71,1454544.66,0.0,0.0,-62065937.03,9346.61,-125832586.68,0.0,-1115788497.49,55212.86,-267989662.67,0.0,0.0,-480136184.79,0.0,-36088.05,0.0,657723.6,24955437.27,11451620.43,202506,0.0,-1446527278.74,16912860.23,-61115057.48,686460812.92,sumario_distribuicao_mensal,7,9e8e3f5f-58a8-4744-b6da-7309a4513fcb
0.0,0.0,-23473316.06,19594369.97,0.0,92492.51,-67730010.29,7384.42,-87283304.75,0.0,-632217006.78,0.0,-234179326.43,0.0,0.0,-321309499.14,0.0,-2196506.92,-4786306.02,321.69,587262959.51,382456116.58,202505,0.0,-1340755762.54,14587609.27,-433972054.16,462563406.28,sumario_distribuicao_mensal,8,9e8e3f5f-58a8-4744-b6da-7309a4513fcb
0.0,0.0,-5735474.65,2866291.71,0.0,4757048.7,-41915368.7,11256.08,-14421767.09,0.0,-698693088.7,0.0,-105874337.31,0.0,0.0,-50826684.87,0.0,-153494.72,0.0,221884.6,554015250.11,359143856.08,202504,0.0,-1115700399.25,14445840.71,-587109783.79,394498728.76,sumario_distribuicao_mensal,9,9e8e3f5f-58a8-4744-b6da-7309a4513fcb
0.0,0.0,-7076850.69,1239311.67,0.0,989133481.6,0.0,45607808.71,0.0,49075390.5,-724821997.99,0.0,-53314046.77,0.0,0.0,0.0,21883761.26,-1309941.31,0.0,3514784.4,1538685332.06,1099261073.54,202503,0.0,-1261405169.49,111408973.75,-2720259282.35,1245074988.23,sumario_distribuicao_mensal,10,9e8e3f5f-58a8-4744-b6da-7309a4513fcb
0.0,0.0,-36840038.46,5190.51,0.0,139280829.15,0.0,15090765.99,0.0,19405957.89,-363391022.45,0.0,0.0,13108199.19,0.0,0.0,71144829.04,-2925528.73,0.0,18599.45,198621079.21,130658385.78,202502,0.0,-453572148.41,13680797.62,-483553994.39,179639873.13,sumario_distribuicao_mensal,11,9e8e3f5f-58a8-4744-b6da-7309a4513fcb
