carga,instante
15030.4775,2026-02-10T00:00:00-03:00
15031.4189,2026-02-10T00:01:00-03:00
15020.9219,2026-02-10T00:02:00-03:00
15012.9766,2026-02-10T00:03:00-03:00
15005.9463,2026-02-10T00:04:00-03:00
15025.3682,2026-02-10T00:05:00-03:00
15011.96,2026-02-10T00:06:00-03:00
15004.1533,2026-02-10T00:07:00-03:00
14966.3008,2026-02-10T00:08:00-03:00
14978.5791,2026-02-10T00:09:00-03:00
14972.7646,2026-02-10T00:10:00-03:00
14957.4648,2026-02-10T00:11:00-03:00
14939.3027,2026-02-10T00:12:00-03:00
14948.835,2026-02-10T00:13:00-03:00
14931.9346,2026-02-10T00:14:00-03:00
14919.7354,2026-02-10T00:15:00-03:00
14909.4648,2026-02-10T00:16:00-03:00
14946.7422,2026-02-10T00:17:00-03:00
14926.4658,2026-02-10T00:18:00-03:00
14907.61,2026-02-10T00:19:00-03:00
14899.208,2026-02-10T00:20:00-03:00
14889.0928,2026-02-10T00:21:00-03:00
14895.7793,2026-02-10T00:22:00-03:00
14900.8662,2026-02-10T00:23:00-03:00
14870.8037,2026-02-10T00:24:00-03:00
14883.0625,2026-02-10T00:25:00-03:00
14872.5869,2026-02-10T00:26:00-03:00
14849.5791,2026-02-10T00:27:00-03:00
14832.2051,2026-02-10T00:28:00-03:00
14817.877,2026-02-10T00:29:00-03:00
14809.2422,2026-02-10T00:30:00-03:00
14793.6748,2026-02-10T00:31:00-03:00
14772.2,2026-02-10T00:32:00-03:00
14753.8389,2026-02-10T00:33:00-03:00
14729.4961,2026-02-10T00:34:00-03:00
14736.1445,2026-02-10T00:35:00-03:00
14713.0625,2026-02-10T00:36:00-03:00
14724.2363,2026-02-10T00:37:00-03:00
14731.6611,2026-02-10T00:38:00-03:00
14709.7246,2026-02-10T00:39:00-03:00
14714.9609,2026-02-10T00:40:00-03:00
14698.4307,2026-02-10T00:41:00-03:00
14692.2676,2026-02-10T00:42:00-03:00
14658.8174,2026-02-10T00:43:00-03:00
14649.9834,2026-02-10T00:44:00-03:00
14649.0859,2026-02-10T00:45:00-03:00
14635.73,2026-02-10T00:46:00-03:00
14657.5977,2026-02-10T00:47:00-03:00
14673.8359,2026-02-10T00:48:00-03:00
14666.3018,2026-02-10T00:49:00-03:00
14645.6045,2026-02-10T00:50:00-03:00
14609.67,2026-02-10T00:51:00-03:00
14598.9561,2026-02-10T00:52:00-03:00
14581.4443,2026-02-10T00:53:00-03:00
14578.0244,2026-02-10T00:54:00-03:00
14556.333,2026-02-10T00:55:00-03:00
14546.6855,2026-02-10T00:56:00-03:00
14546.9482,2026-02-10T00:57:00-03:00
14511.9219,2026-02-10T00:58:00-03:00
14509.377,2026-02-10T00:59:00-03:00
14503.16,2026-02-10T01:00:00-03:00
14504.5928,2026-02-10T01:01:00-03:00
14510.5166,2026-02-10T01:02:00-03:00
14496.252,2026-02-10T01:03:00-03:00
14470.25,2026-02-10T01:04:00-03:00
14469.5029,2026-02-10T01:05:00-03:00
14469.9277,2026-02-10T01:06:00-03:00
14463.7324,2026-02-10T01:07:00-03:00
14459.4092,2026-02-10T01:08:00-03:00
14438.9111,2026-02-10T01:09:00-03:00
14417.0771,2026-02-10T01:10:00-03:00
14389.6592,2026-02-10T01:11:00-03:00
14369.0205,2026-02-10T01:12:00-03:00
14366.6563,2026-02-10T01:13:00-03:00
14367.14,2026-02-10T01:14:00-03:00
14363.5313,2026-02-10T01:15:00-03:00
14354.1475,2026-02-10T01:16:00-03:00
14352.66,2026-02-10T01:17:00-03:00
14362.4951,2026-02-10T01:18:00-03:00
14380.2578,2026-02-10T01:19:00-03:00
14373.8447,2026-02-10T01:20:00-03:00
14376.9346,2026-02-10T01:21:00-03:00
14353.1514,2026-02-10T01:22:00-03:00
14372.3047,2026-02-10T01:23:00-03:00
14346.0742,2026-02-10T01:24:00-03:00
14347.6328,2026-02-10T01:25:00-03:00
14367.0557,2026-02-10T01:26:00-03:00
14347.2363,2026-02-10T01:27:00-03:00
14328.5488,2026-02-10T01:28:00-03:00
14299.835,2026-02-10T01:29:00-03:00
14292.09,2026-02-10T01:30:00-03:00
14269.4316,2026-02-10T01:31:00-03:00
14281.3516,2026-02-10T01:32:00-03:00
14275.3506,2026-02-10T01:33:00-03:00
14273.998,2026-02-10T01:34:00-03:00
14276.8418,2026-02-10T01:35:00-03:00
14300.36,2026-02-10T01:36:00-03:00
14300.1445,2026-02-10T01:37:00-03:00
14280.4756,2026-02-10T01:38:00-03:00
14242.166,2026-02-10T01:39:00-03:00
14243.8828,2026-02-10T01:40:00-03:00
14235.4688,2026-02-10T01:41:00-03:00
14208.2979,2026-02-10T01:42:00-03:00
14249.4922,2026-02-10T01:43:00-03:00
14249.9395,2026-02-10T01:44:00-03:00
14254.9395,2026-02-10T01:45:00-03:00
14261.9834,2026-02-10T01:46:00-03:00
14241.1416,2026-02-10T01:47:00-03:00
14231.0977,2026-02-10T01:48:00-03:00
14231.9678,2026-02-10T01:49:00-03:00
14179.5547,2026-02-10T01:50:00-03:00
14143.85,2026-02-10T01:51:00-03:00
14161.6963,2026-02-10T01:52:00-03:00
14151.05,2026-02-10T01:53:00-03:00
14156.6475,2026-02-10T01:54:00-03:00
14130.4561,2026-02-10T01:55:00-03:00
14134.6191,2026-02-10T01:56:00-03:00
14124.3965,2026-02-10T01:57:00-03:00
14103.251,2026-02-10T01:58:00-03:00
14074.2607,2026-02-10T01:59:00-03:00
14051.24,2026-02-10T02:00:00-03:00
14029.1709,2026-02-10T02:01:00-03:00
14044.3213,2026-02-10T02:02:00-03:00
14044.53,2026-02-10T02:03:00-03:00
14058.1191,2026-02-10T02:04:00-03:00
14076.7051,2026-02-10T02:05:00-03:00
14070.9971,2026-02-10T02:06:00-03:00
14077.5049,2026-02-10T02:07:00-03:00
14055.9014,2026-02-10T02:08:00-03:00
14067.0039,2026-02-10T02:09:00-03:00
14069.3027,2026-02-10T02:10:00-03:00
14059.3926,2026-02-10T02:11:00-03:00
14046.9053,2026-02-10T02:12:00-03:00
14023.6709,2026-02-10T02:13:00-03:00
14012.3154,2026-02-10T02:14:00-03:00
13997.6445,2026-02-10T02:15:00-03:00
13987.0186,2026-02-10T02:16:00-03:00
13965.6279,2026-02-10T02:17:00-03:00
13971.7549,2026-02-10T02:18:00-03:00
13955.09,2026-02-10T02:19:00-03:00
13954.8066,2026-02-10T02:20:00-03:00
13984.9609,2026-02-10T02:21:00-03:00
13984.7314,2026-02-10T02:22:00-03:00
13974.0732,2026-02-10T02:23:00-03:00
13984.2607,2026-02-10T02:24:00-03:00
13968.4932,2026-02-10T02:25:00-03:00
13930.6768,2026-02-10T02:26:00-03:00
13930.124,2026-02-10T02:27:00-03:00
13937.875,2026-02-10T02:28:00-03:00
13933.4521,2026-02-10T02:29:00-03:00
13925.2881,2026-02-10T02:30:00-03:00
13936.92,2026-02-10T02:31:00-03:00
13935.1533,2026-02-10T02:32:00-03:00
13940.8652,2026-02-10T02:33:00-03:00
13930.9727,2026-02-10T02:34:00-03:00
13922.8525,2026-02-10T02:35:00-03:00
13922.6123,2026-02-10T02:36:00-03:00
13905.4063,2026-02-10T02:37:00-03:00
13887.4219,2026-02-10T02:38:00-03:00
13876.6055,2026-02-10T02:39:00-03:00
13858.6855,2026-02-10T02:40:00-03:00
13850.58,2026-02-10T02:41:00-03:00
13853.3926,2026-02-10T02:42:00-03:00
13863.3887,2026-02-10T02:43:00-03:00
13846.0244,2026-02-10T02:44:00-03:00
13857.4258,2026-02-10T02:45:00-03:00
13852.8057,2026-02-10T02:46:00-03:00
13856.9531,2026-02-10T02:47:00-03:00
13833.0918,2026-02-10T02:48:00-03:00
13836.0439,2026-02-10T02:49:00-03:00
13831.9639,2026-02-10T02:50:00-03:00
13824.958,2026-02-10T02:51:00-03:00
13819.3828,2026-02-10T02:52:00-03:00
13790.8389,2026-02-10T02:53:00-03:00
13786.1592,2026-02-10T02:54:00-03:00
13781.1113,2026-02-10T02:55:00-03:00
13763.877,2026-02-10T02:56:00-03:00
13751.2354,2026-02-10T02:57:00-03:00
13742.8857,2026-02-10T02:58:00-03:00
13764.8691,2026-02-10T02:59:00-03:00
13757.3027,2026-02-10T03:00:00-03:00
13725.9121,2026-02-10T03:01:00-03:00
13733.1689,2026-02-10T03:02:00-03:00
13750.1016,2026-02-10T03:03:00-03:00
13771.11,2026-02-10T03:04:00-03:00
13764.2568,2026-02-10T03:05:00-03:00
13756.39,2026-02-10T03:06:00-03:00
13755.9277,2026-02-10T03:07:00-03:00
13752.0986,2026-02-10T03:08:00-03:00
13757.8105,2026-02-10T03:09:00-03:00
13762.5264,2026-02-10T03:10:00-03:00
13749.6445,2026-02-10T03:11:00-03:00
13735.4043,2026-02-10T03:12:00-03:00
13709.1748,2026-02-10T03:13:00-03:00
13694.6094,2026-02-10T03:14:00-03:00
13709.4434,2026-02-10T03:15:00-03:00
13705.8555,2026-02-10T03:16:00-03:00
13687.6816,2026-02-10T03:17:00-03:00
13680.68,2026-02-10T03:18:00-03:00
13663.0439,2026-02-10T03:19:00-03:00
13656.4912,2026-02-10T03:20:00-03:00
13671.5918,2026-02-10T03:21:00-03:00
13661.2021,2026-02-10T03:22:00-03:00
13630.4775,2026-02-10T03:23:00-03:00
13628.8135,2026-02-10T03:24:00-03:00
13595.043,2026-02-10T03:25:00-03:00
13601.3232,2026-02-10T03:26:00-03:00
13593.5713,2026-02-10T03:27:00-03:00
13603.626,2026-02-10T03:28:00-03:00
13616.7217,2026-02-10T03:29:00-03:00
13619.1387,2026-02-10T03:30:00-03:00
13595.3643,2026-02-10T03:31:00-03:00
13599.86,2026-02-10T03:32:00-03:00
13593.0723,2026-02-10T03:33:00-03:00
13568.0449,2026-02-10T03:34:00-03:00
13562.5879,2026-02-10T03:35:00-03:00
13567.0869,2026-02-10T03:36:00-03:00
13520.3223,2026-02-10T03:37:00-03:00
13542.8555,2026-02-10T03:38:00-03:00
13547.2959,2026-02-10T03:39:00-03:00
13539.9971,2026-02-10T03:40:00-03:00
13537.2354,2026-02-10T03:41:00-03:00
13514.2988,2026-02-10T03:42:00-03:00
13508.28,2026-02-10T03:43:00-03:00
13493.3809,2026-02-10T03:44:00-03:00
13481.5469,2026-02-10T03:45:00-03:00
13483.2607,2026-02-10T03:46:00-03:00
13468.3916,2026-02-10T03:47:00-03:00
13464.8594,2026-02-10T03:48:00-03:00
13439.9277,2026-02-10T03:49:00-03:00
13439.2559,2026-02-10T03:50:00-03:00
13447.3086,2026-02-10T03:51:00-03:00
13443.6045,2026-02-10T03:52:00-03:00
13438.3066,2026-02-10T03:53:00-03:00
13432.4824,2026-02-10T03:54:00-03:00
13421.4814,2026-02-10T03:55:00-03:00
13437.0186,2026-02-10T03:56:00-03:00
13466.6455,2026-02-10T03:57:00-03:00
13461.7607,2026-02-10T03:58:00-03:00
13447.8164,2026-02-10T03:59:00-03:00
13457.5283,2026-02-10T04:00:00-03:00
13467.708,2026-02-10T04:01:00-03:00
13494.9424,2026-02-10T04:02:00-03:00
13497.0137,2026-02-10T04:03:00-03:00
13503.04,2026-02-10T04:04:00-03:00
13515.7373,2026-02-10T04:05:00-03:00
13503.1279,2026-02-10T04:06:00-03:00
13496.791,2026-02-10T04:07:00-03:00
13482.7422,2026-02-10T04:08:00-03:00
13476.8525,2026-02-10T04:09:00-03:00
13489.0859,2026-02-10T04:10:00-03:00
13440.3936,2026-02-10T04:11:00-03:00
13430.5371,2026-02-10T04:12:00-03:00
