carga,instante
8869.946,2026-02-10T00:00:00-03:00
8850.525,2026-02-10T00:01:00-03:00
8827.648,2026-02-10T00:02:00-03:00
8791.13,2026-02-10T00:03:00-03:00
8771.458,2026-02-10T00:04:00-03:00
8784.181,2026-02-10T00:05:00-03:00
8777.631,2026-02-10T00:06:00-03:00
8796.234,2026-02-10T00:07:00-03:00
8752.273,2026-02-10T00:08:00-03:00
8732.592,2026-02-10T00:09:00-03:00
8750.42,2026-02-10T00:10:00-03:00
8759.441,2026-02-10T00:11:00-03:00
8766.194,2026-02-10T00:12:00-03:00
8781.663,2026-02-10T00:13:00-03:00
8791.902,2026-02-10T00:14:00-03:00
8785.1875,2026-02-10T00:15:00-03:00
8764.84,2026-02-10T00:16:00-03:00
8768.354,2026-02-10T00:17:00-03:00
8768.098,2026-02-10T00:18:00-03:00
8769.143,2026-02-10T00:19:00-03:00
8787.075,2026-02-10T00:20:00-03:00
8793.062,2026-02-10T00:21:00-03:00
8767.786,2026-02-10T00:22:00-03:00
8752.669,2026-02-10T00:23:00-03:00
8743.332,2026-02-10T00:24:00-03:00
8726.191,2026-02-10T00:25:00-03:00
8718.676,2026-02-10T00:26:00-03:00
8699.897,2026-02-10T00:27:00-03:00
8710.162,2026-02-10T00:28:00-03:00
8747.679,2026-02-10T00:29:00-03:00
8760.168,2026-02-10T00:30:00-03:00
8758.223,2026-02-10T00:31:00-03:00
8750.875,2026-02-10T00:32:00-03:00
8756.48,2026-02-10T00:33:00-03:00
8720.474,2026-02-10T00:34:00-03:00
8683.936,2026-02-10T00:35:00-03:00
8708.606,2026-02-10T00:36:00-03:00
8697.623,2026-02-10T00:37:00-03:00
8675.346,2026-02-10T00:38:00-03:00
8660.746,2026-02-10T00:39:00-03:00
8635.022,2026-02-10T00:40:00-03:00
8610.764,2026-02-10T00:41:00-03:00
8658.834,2026-02-10T00:42:00-03:00
8681.284,2026-02-10T00:43:00-03:00
8651.258,2026-02-10T00:44:00-03:00
8648.863,2026-02-10T00:45:00-03:00
8655.716,2026-02-10T00:46:00-03:00
8646.151,2026-02-10T00:47:00-03:00
8659.275,2026-02-10T00:48:00-03:00
8627.996,2026-02-10T00:49:00-03:00
8600.919,2026-02-10T00:50:00-03:00
8606.535,2026-02-10T00:51:00-03:00
8596.883,2026-02-10T00:52:00-03:00
8578.295,2026-02-10T00:53:00-03:00
8584.254,2026-02-10T00:54:00-03:00
8616.831,2026-02-10T00:55:00-03:00
8623.621,2026-02-10T00:56:00-03:00
8648.309,2026-02-10T00:57:00-03:00
8640.899,2026-02-10T00:58:00-03:00
