carga,instante
84536.05,2026-02-10T00:00:00-03:00
84486.5547,2026-02-10T00:01:00-03:00
84370.46,2026-02-10T00:02:00-03:00
84325.39,2026-02-10T00:03:00-03:00
84270.25,2026-02-10T00:04:00-03:00
84270.9141,2026-02-10T00:05:00-03:00
84166.8047,2026-02-10T00:06:00-03:00
84101.9844,2026-02-10T00:07:00-03:00
83966.93,2026-02-10T00:08:00-03:00
84022.6641,2026-02-10T00:09:00-03:00
83899.87,2026-02-10T00:10:00-03:00
83848.15,2026-02-10T00:11:00-03:00
83827.6641,2026-02-10T00:12:00-03:00
83785.71,2026-02-10T00:13:00-03:00
83621.7,2026-02-10T00:14:00-03:00
83499.84,2026-02-10T00:15:00-03:00
83379.04,2026-02-10T00:16:00-03:00
83355.33,2026-02-10T00:17:00-03:00
83202.15,2026-02-10T00:18:00-03:00
83120.875,2026-02-10T00:19:00-03:00
83098.07,2026-02-10T00:20:00-03:00
82985.25,2026-02-10T00:21:00-03:00
82857.5,2026-02-10T00:22:00-03:00
82727.58,2026-02-10T00:23:00-03:00
82706.15,2026-02-10T00:24:00-03:00
82745.68,2026-02-10T00:25:00-03:00
82655.02,2026-02-10T00:26:00-03:00
82620.32,2026-02-10T00:27:00-03:00
82442.5156,2026-02-10T00:28:00-03:00
82350.34,2026-02-10T00:29:00-03:00
82250.875,2026-02-10T00:30:00-03:00
82206.9844,2026-02-10T00:31:00-03:00
82078.9,2026-02-10T00:32:00-03:00
81955.39,2026-02-10T00:33:00-03:00
81874.9453,2026-02-10T00:34:00-03:00
81789.4,2026-02-10T00:35:00-03:00
81634.66,2026-02-10T00:36:00-03:00
81654.11,2026-02-10T00:37:00-03:00
81692.46,2026-02-10T00:38:00-03:00
81610.7344,2026-02-10T00:39:00-03:00
81646.06,2026-02-10T00:40:00-03:00
81493.56,2026-02-10T00:41:00-03:00
81365.3,2026-02-10T00:42:00-03:00
81335.5547,2026-02-10T00:43:00-03:00
81262.86,2026-02-10T00:44:00-03:00
81146.6,2026-02-10T00:45:00-03:00
81119.4141,2026-02-10T00:46:00-03:00
80989.18,2026-02-10T00:47:00-03:00
80943.7,2026-02-10T00:48:00-03:00
80939.41,2026-02-10T00:49:00-03:00
80696.3047,2026-02-10T00:50:00-03:00
80674.27,2026-02-10T00:51:00-03:00
80695.93,2026-02-10T00:52:00-03:00
80623.4141,2026-02-10T00:53:00-03:00
80553.5,2026-02-10T00:54:00-03:00
80486.83,2026-02-10T00:55:00-03:00
80371.86,2026-02-10T00:56:00-03:00
80357.17,2026-02-10T00:57:00-03:00
80260.84,2026-02-10T00:58:00-03:00
80245.55,2026-02-10T00:59:00-03:00
80307.0859,2026-02-10T01:00:00-03:00
80317.92,2026-02-10T01:01:00-03:00
80172.95,2026-02-10T01:02:00-03:00
80117.6953,2026-02-10T01:03:00-03:00
80017.87,2026-02-10T01:04:00-03:00
80039.26,2026-02-10T01:05:00-03:00
79867.64,2026-02-10T01:06:00-03:00
79824.51,2026-02-10T01:07:00-03:00
79800.33,2026-02-10T01:08:00-03:00
79791.12,2026-02-10T01:09:00-03:00
79657.46,2026-02-10T01:10:00-03:00
79580.3,2026-02-10T01:11:00-03:00
79497.64,2026-02-10T01:12:00-03:00
79391.4141,2026-02-10T01:13:00-03:00
79439.27,2026-02-10T01:14:00-03:00
79298.68,2026-02-10T01:15:00-03:00
79260.23,2026-02-10T01:16:00-03:00
79223.72,2026-02-10T01:17:00-03:00
79168.35,2026-02-10T01:18:00-03:00
79138.56,2026-02-10T01:19:00-03:00
79124.07,2026-02-10T01:20:00-03:00
79047.74,2026-02-10T01:21:00-03:00
79000.4,2026-02-10T01:22:00-03:00
78954.86,2026-02-10T01:23:00-03:00
78896.33,2026-02-10T01:24:00-03:00
78958.59,2026-02-10T01:25:00-03:00
78931.7656,2026-02-10T01:26:00-03:00
78971.91,2026-02-10T01:27:00-03:00
78928.22,2026-02-10T01:28:00-03:00
