carga,instante
44075.47,2026-02-10T00:00:00-03:00
44055.6,2026-02-10T00:01:00-03:00
44014.3945,2026-02-10T00:02:00-03:00
44024.89,2026-02-10T00:03:00-03:00
44002.6563,2026-02-10T00:04:00-03:00
44012.543,2026-02-10T00:05:00-03:00
43970.5352,2026-02-10T00:06:00-03:00
43885.7773,2026-02-10T00:07:00-03:00
43842.7539,2026-02-10T00:08:00-03:00
43890.68,2026-02-10T00:09:00-03:00
43767.1172,2026-02-10T00:10:00-03:00
43708.6367,2026-02-10T00:11:00-03:00
43698.6953,2026-02-10T00:12:00-03:00
43659.07,2026-02-10T00:13:00-03:00
43566.05,2026-02-10T00:14:00-03:00
43477.4375,2026-02-10T00:15:00-03:00
43366.5039,2026-02-10T00:16:00-03:00
43322.75,2026-02-10T00:17:00-03:00
43219.2734,2026-02-10T00:18:00-03:00
43178.52,2026-02-10T00:19:00-03:00
43161.4961,2026-02-10T00:20:00-03:00
43093.13,2026-02-10T00:21:00-03:00
43013.18,2026-02-10T00:22:00-03:00
42963.332,2026-02-10T00:23:00-03:00
42977.8555,2026-02-10T00:24:00-03:00
43001.5664,2026-02-10T00:25:00-03:00
42957.06,2026-02-10T00:26:00-03:00
42972.52,2026-02-10T00:27:00-03:00
42842.7266,2026-02-10T00:28:00-03:00
42760.94,2026-02-10T00:29:00-03:00
42665.78,2026-02-10T00:30:00-03:00
42626.8867,2026-02-10T00:31:00-03:00
42552.18,2026-02-10T00:32:00-03:00
42432.36,2026-02-10T00:33:00-03:00
42460.4141,2026-02-10T00:34:00-03:00
42443.2,2026-02-10T00:35:00-03:00
42266.23,2026-02-10T00:36:00-03:00
42268.9258,2026-02-10T00:37:00-03:00
42340.1563,2026-02-10T00:38:00-03:00
42323.875,2026-02-10T00:39:00-03:00
42359.3633,2026-02-10T00:40:00-03:00
42261.6172,2026-02-10T00:41:00-03:00
42142.4141,2026-02-10T00:42:00-03:00
42155.76,2026-02-10T00:43:00-03:00
42159.6523,2026-02-10T00:44:00-03:00
42066.53,2026-02-10T00:45:00-03:00
42081.8047,2026-02-10T00:46:00-03:00
41954.16,2026-02-10T00:47:00-03:00
41888.92,2026-02-10T00:48:00-03:00
41934.6367,2026-02-10T00:49:00-03:00
41779.375,2026-02-10T00:50:00-03:00
41782.69,2026-02-10T00:51:00-03:00
41838.9961,2026-02-10T00:52:00-03:00
41779.2227,2026-02-10T00:53:00-03:00
41735.4023,2026-02-10T00:54:00-03:00
41678.9531,2026-02-10T00:55:00-03:00
41610.17,2026-02-10T00:56:00-03:00
41596.6,2026-02-10T00:57:00-03:00
41573.0078,2026-02-10T00:58:00-03:00
41578.07,2026-02-10T00:59:00-03:00
41651.5742,2026-02-10T01:00:00-03:00
41660.73,2026-02-10T01:01:00-03:00
41543.0547,2026-02-10T01:02:00-03:00
41522.8945,2026-02-10T01:03:00-03:00
41460.2969,2026-02-10T01:04:00-03:00
41492.1758,2026-02-10T01:05:00-03:00
41340.99,2026-02-10T01:06:00-03:00
41330.2773,2026-02-10T01:07:00-03:00
41373.6,2026-02-10T01:08:00-03:00
41383.2969,2026-02-10T01:09:00-03:00
41306.13,2026-02-10T01:10:00-03:00
41241.85,2026-02-10T01:11:00-03:00
41198.8125,2026-02-10T01:12:00-03:00
41108.5078,2026-02-10T01:13:00-03:00
41183.8477,2026-02-10T01:14:00-03:00
41094.66,2026-02-10T01:15:00-03:00
41061.2852,2026-02-10T01:16:00-03:00
