carga,instante
16560.1211,2026-02-10T00:00:00-03:00
16548.9961,2026-02-10T00:01:00-03:00
16507.5117,2026-02-10T00:02:00-03:00
16496.418,2026-02-10T00:03:00-03:00
16490.1914,2026-02-10T00:04:00-03:00
16448.8223,2026-02-10T00:05:00-03:00
16406.6777,2026-02-10T00:06:00-03:00
16415.8145,2026-02-10T00:07:00-03:00
16405.6,2026-02-10T00:08:00-03:00
16420.834,2026-02-10T00:09:00-03:00
16409.5586,2026-02-10T00:10:00-03:00
16423.1953,2026-02-10T00:11:00-03:00
16423.4688,2026-02-10T00:12:00-03:00
16396.1445,2026-02-10T00:13:00-03:00
16337.54,2026-02-10T00:14:00-03:00
16317.4785,2026-02-10T00:15:00-03:00
16338.2227,2026-02-10T00:16:00-03:00
16319.99,2026-02-10T00:17:00-03:00
16288.3057,2026-02-10T00:18:00-03:00
16265.6045,2026-02-10T00:19:00-03:00
16250.2959,2026-02-10T00:20:00-03:00
16209.98,2026-02-10T00:21:00-03:00
16180.7637,2026-02-10T00:22:00-03:00
16110.7061,2026-02-10T00:23:00-03:00
16114.16,2026-02-10T00:24:00-03:00
16134.8535,2026-02-10T00:25:00-03:00
16106.71,2026-02-10T00:26:00-03:00
16098.3184,2026-02-10T00:27:00-03:00
16057.3975,2026-02-10T00:28:00-03:00
16023.8477,2026-02-10T00:29:00-03:00
16015.6572,2026-02-10T00:30:00-03:00
16028.33,2026-02-10T00:31:00-03:00
16003.6582,2026-02-10T00:32:00-03:00
16012.7119,2026-02-10T00:33:00-03:00
15964.5605,2026-02-10T00:34:00-03:00
15926.1143,2026-02-10T00:35:00-03:00
15946.7646,2026-02-10T00:36:00-03:00
15963.3281,2026-02-10T00:37:00-03:00
15945.2949,2026-02-10T00:38:00-03:00
15916.39,2026-02-10T00:39:00-03:00
15936.7178,2026-02-10T00:40:00-03:00
15922.748,2026-02-10T00:41:00-03:00
15871.7871,2026-02-10T00:42:00-03:00
15840.1914,2026-02-10T00:43:00-03:00
