nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual;ear_total_mwmes;ear_maxima_total_mwmes;val_contribearbacia;val_contribearmaxbacia;val_contribearsubsistema;val_contribearmaxsubsistema;val_contribearsubsistemajusante;val_contribearmaxsubsistemajusante;val_contribearsin;val_contribearmaxsin
A. VERMELHA;18.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-01;1213.873;;4340.282;;27.9676;1213.873;4340.282;0.07039296;0.0842259;0.01407406;0.02121191;0.0;0.0;0.00911994;0.01486051
ANTA;128.0;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-01;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B. BONITA;37.0;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2026-01-01;1712.973;;2713.786;;63.1212;1712.973;2713.786;0.2637782;0.27904549;0.01986079;0.01326287;0.0;0.0;0.01286973;0.00929162
BALBINA;277.0;Reservatório com Usina;AMAZONAS;MANAUS-AMAPA;N;NORTE;;;2026-01-01;392.267;;785.737;;49.9234;392.267;785.737;0.68540042;0.38740015;0.04682155;0.05134732;0.0;0.0;0.00294714;0.00269025
BARRA GRANDE;86.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-01;2150.37;;2991.427;;71.8844;2150.37;2991.427;0.42456091;0.44447414;0.14601196;0.14621397;0.0;0.0;0.01615593;0.01024222
BATALHA;20.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-01;972.35;;2751.514;;35.3387;972.35;2751.514;0.03531007;0.03505071;0.01127376;0.01344725;0.0;0.0;0.00730536;0.00942079
BILLINGS;118.0;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2026-01-01;1644.208;;2444.556;;67.26;1644.208;2444.556;0.25318918;0.25136187;0.01906351;0.01194708;0.0;0.0;0.01235309;0.00836981
BLANG;;Reservatório sem usina;JACUI;SUL;S;SUL;;;2026-01-01;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BOA ESPERANÇA;190.0;Reservatório com Usina;PARNAIBA;NORDESTE;NE;NORDESTE;;;2026-01-01;105.154;;264.178;;39.8042;105.154;264.178;1.0;1.0;0.00442816;0.00511069;0.0;0.0;0.00079003;0.00090451
C.BRANCO-1;27.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-01;10.277;;20.753;;49.5206;10.277;20.753;0.0003732;0.00026437;0.00011916;0.00010142;0.0;0.0;7.721e-05;7.106e-05
