nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt;ena_queda_bruta;mlt_ena
14 DE JULHO;99;Fio dagua;JACUI;SUL;S;SUL;2026-01-01;143.375;282.9651;69.784;137.7258;138.133;50.6688
A. VERMELHA;18;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-01;487.568;29.4634;487.568;29.4634;458.467;1654.825
AIMORES;143;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-01;58.98;15.0503;58.98;15.0503;61.166;391.8856
APOLONIO SALES;173;Fio dagua;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-01;214.889;49.2247;214.889;49.2247;35.472;436.5468
B. BONITA;37;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;2026-01-01;73.432;60.8937;61.888;51.3208;72.485;120.5904
B.COQUEIROS;312;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;36.675;39.4845;36.675;39.4845;38.005;92.8846
BAGUARI;141;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-01;33.902;19.6708;33.902;19.6708;34.722;172.347
BAIXO IGUACU;83;Fio dagua;IGUACU;IGUACU;S;SUL;2026-01-01;109.796;58.6952;94.196;50.3557;109.436;187.0614
BALBINA;277;Reservatório com Usina;AMAZONAS;MANAUS-AMAPA;N;NORTE;2026-01-01;167.606;198.9625;167.606;198.9625;164.729;84.24
BARIRI;38;Fio dagua;TIETE;PARANA;SE;SUDESTE;2026-01-01;87.532;62.2415;53.899;38.3261;84.94;140.6328
BARRA BRAUNA;185;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-01;13.184;29.0142;13.184;29.0142;13.072;45.4398
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-01;875.236;327.2012;865.329;323.4975;891.616;267.4917
BATALHA;20;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;14.342;21.9503;14.342;21.9503;12.915;65.3384
BELO MONTE;288;Fio dagua;AMAZONAS;BELO MONTE;N;NORTE;2026-01-01;3214.511;57.417;3214.511;57.417;3200.628;5598.54
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;NORDESTE;NE;NORDESTE;2026-01-01;155.594;64.6524;155.594;64.6524;149.384;240.6624
C. DOURADA;32;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;214.936;29.0636;213.315;28.8444;225.937;739.5374
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;93.862;31.1084;65.224;21.617;92.998;301.726
C.BRANCO-2;28;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;80.253;31.5056;58.158;22.8316;79.695;254.7259
CACHOEIRA CALDEIRAO;204;Fio dagua;ARAGUARI;MANAUS-AMAPA;N;NORTE;2026-01-01;58.802;74.8161;50.647;64.4402;60.169;78.5954
CACONDE;14;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-01;54.708;69.7268;54.708;69.7268;51.484;78.4605
CACU;311;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;26.808;39.6838;26.808;39.6838;27.531;67.554
CAMARGOS;1;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-01;13.197;26.2683;13.197;26.2683;12.083;50.2392
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-01;847.307;219.7875;847.307;219.7875;854.988;385.512
CANA BRAVA;252;Fio dagua;TOCANTINS;SUDESTE;SE;SUDESTE;2026-01-01;138.734;23.351;138.734;23.351;139.059;594.1248
CANASTRA;87;Fio dagua;JACUI;SUL;S;SUL;2026-01-01;;;;;;
CANDONGA;139;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-01;37.154;31.0186;37.154;31.0186;36.491;119.7798
CANOAS I;52;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-01;39.305;38.4235;39.305;38.4235;39.956;102.2943
CANOAS II;51;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-01;32.235;37.7484;32.235;37.7484;33.165;85.3944
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-01;311.598;55.3732;311.598;55.3732;335.668;562.7232
CASTRO ALVES;97;Fio dagua;JACUI;SUL;S;SUL;2026-01-01;198.371;269.1981;138.498;187.9478;196.92;73.6896
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-01;90.703;29.1928;90.703;29.1928;90.309;310.7031
COARACY NUNES;280;Fio dagua;ARAGUARI;MANAUS-AMAPA;N;NORTE;2026-01-01;74.778;74.2586;45.16;44.8463;75.38;100.6995
COLIDER;228;Fio dagua;AMAZONAS;TELES PIRES;SE;SUDESTE;2026-01-01;179.57;56.333;100.191;31.431;126.553;318.7652
CORUMBA;30;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;185.811;41.1742;185.811;41.1742;177.955;451.2798
