id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2026-01-01;8339.856;52.8311;8297.863;52.5651
NE;NORDESTE;2026-01-01;6255.788;46.6367;6228.618;46.4341
S;SUL;2026-01-01;14167.116;187.1544;10131.07;133.8363
SE;SUDESTE;2026-01-01;33445.588;50.818;28711.875;43.6255
N;NORTE;2026-01-02;8231.388;52.144;8188.765;51.874
NE;NORDESTE;2026-01-02;6531.348;48.691;6497.743;48.4405
S;SUL;2026-01-02;14429.93;190.6263;10730.41;141.7539
SE;SUDESTE;2026-01-02;33921.805;51.5416;31723.409;48.2013
N;NORTE;2026-01-03;8105.807;51.3484;8089.53;51.2453
NE;NORDESTE;2026-01-03;6684.877;49.8355;6661.282;49.6596
S;SUL;2026-01-03;12624.086;166.7702;10910.165;144.1285
SE;SUDESTE;2026-01-03;34533.226;52.4706;31764.948;48.2644
N;NORTE;2026-01-04;7943.576;50.3208;7911.977;50.1206
NE;NORDESTE;2026-01-04;6745.545;50.2878;6728.385;50.1599
S;SUL;2026-01-04;10499.684;138.7059;9555.41;126.2316
SE;SUDESTE;2026-01-04;35447.049;53.859;32151.703;48.852
N;NORTE;2026-01-05;7826.926;49.5818;7793.252;49.3685
NE;NORDESTE;2026-01-05;6607.06;49.2554;6586.325;49.1008
S;SUL;2026-01-05;8820.968;116.5292;8171.074;107.9438
SE;SUDESTE;2026-01-05;37022.937;56.2535;34874.523;52.9891
N;NORTE;2026-01-06;7890.361;49.9836;7839.51;49.6615
NE;NORDESTE;2026-01-06;6331.05;47.1978;6307.455;47.0219
S;SUL;2026-01-06;7515.796;99.2873;7003.382;92.518
SE;SUDESTE;2026-01-06;39440.323;59.9265;37634.897;57.1833
N;NORTE;2026-01-07;7998.767;50.6704;7998.627;50.6695
NE;NORDESTE;2026-01-07;5852.048;43.6268;5825.593;43.4296
S;SUL;2026-01-07;6396.811;84.5049;5951.457;78.6216
SE;SUDESTE;2026-01-07;40777.098;61.9576;38974.284;59.2184
N;NORTE;2026-01-08;8346.103;52.8707;8345.259;52.8653
NE;NORDESTE;2026-01-08;5413.526;40.3577;5389.216;40.1764
S;SUL;2026-01-08;5768.426;76.2037;5351.976;70.7022
SE;SUDESTE;2026-01-08;41521.969;63.0894;39286.755;59.6932
N;NORTE;2026-01-09;8712.467;55.1915;8711.201;55.1835
NE;NORDESTE;2026-01-09;5225.491;38.9559;5203.326;38.7906
S;SUL;2026-01-09;5572.29;73.6126;5167.511;68.2653
SE;SUDESTE;2026-01-09;40914.924;62.1671;39452.452;59.9449
N;NORTE;2026-01-10;9069.508;57.4533;9068.243;57.4453
NE;NORDESTE;2026-01-10;5133.234;38.2681;5027.414;37.4792
S;SUL;2026-01-10;7215.346;95.3182;6813.136;90.0048
SE;SUDESTE;2026-01-10;39677.462;60.2868;37334.696;56.7272
N;NORTE;2026-01-11;9245.368;58.5673;9244.665;58.5629
NE;NORDESTE;2026-01-11;4918.482;36.6671;4854.847;36.1927
S;SUL;2026-01-11;7699.212;101.7103;7301.035;96.4502
SE;SUDESTE;2026-01-11;38573.624;58.6096;35638.728;54.1503
N;NORTE;2026-01-12;9457.155;59.9089;9457.155;59.9089
NE;NORDESTE;2026-01-12;4741.255;35.3459;4726.955;35.2393
S;SUL;2026-01-12;7571.427;100.0222;7130.46;94.1968
SE;SUDESTE;2026-01-12;37596.909;57.1256;37006.15;56.228
N;NORTE;2026-01-13;9581.058;60.6938;9581.058;60.6938
NE;NORDESTE;2026-01-13;4491.979;33.4876;4474.819;33.3596
S;SUL;2026-01-13;6856.131;90.5728;6536.508;86.3504
SE;SUDESTE;2026-01-13;36800.6;55.9157;36310.845;55.1715
N;NORTE;2026-01-14;9737.232;61.6832;9736.951;61.6814
NE;NORDESTE;2026-01-14;4266.804;31.8089;4266.804;31.8089
S;SUL;2026-01-14;6464.305;85.3966;6252.222;82.5949
SE;SUDESTE;2026-01-14;36446.069;55.377;35512.239;53.9581
N;NORTE;2026-01-15;9857.356;62.4441;9844.907;62.3653
NE;NORDESTE;2026-01-15;4152.007;30.9531;4129.842;30.7878
S;SUL;2026-01-15;6114.564;80.7763;5907.048;78.0349
SE;SUDESTE;2026-01-15;36722.476;55.797;35641.52;54.1545
N;NORTE;2026-01-16;10105.657;64.017;9973.455;63.1796
NE;NORDESTE;2026-01-16;4153.351;30.9631;4126.896;30.7659
S;SUL;2026-01-16;5862.709;77.4492;5612.08;74.1383
SE;SUDESTE;2026-01-16;37657.361;57.2174;35707.539;54.2548
N;NORTE;2026-01-17;10317.56;65.3594;10317.56;65.3594
NE;NORDESTE;2026-01-17;4362.069;32.5191;4337.759;32.3378
S;SUL;2026-01-17;5957.319;78.699;5702.65;75.3347
SE;SUDESTE;2026-01-17;38032.508;57.7875;35966.868;54.6489
N;NORTE;2026-01-18;10388.958;65.8117;10387.552;65.8028
NE;NORDESTE;2026-01-18;4752.043;35.4263;4724.873;35.2238
S;SUL;2026-01-18;6037.649;79.7602;5780.589;76.3644
SE;SUDESTE;2026-01-18;38050.824;57.8153;35117.971;53.359
N;NORTE;2026-01-19;10219.151;64.736;10216.902;64.7218
NE;NORDESTE;2026-01-19;5325.885;39.7043;5300.145;39.5124
S;SUL;2026-01-19;6146.108;81.193;5916.059;78.154
SE;SUDESTE;2026-01-19;38642.331;58.714;37266.373;56.6234
N;NORTE;2026-01-20;10432.298;66.0862;10429.345;66.0675
NE;NORDESTE;2026-01-20;6011.07;44.8123;5988.19;44.6418
S;SUL;2026-01-20;5844.09;77.2032;5655.852;74.7165
SE;SUDESTE;2026-01-20;39589.518;60.1532;38340.481;58.2554
N;NORTE;2026-01-21;10566.219;66.9346;10564.531;66.9239
NE;NORDESTE;2026-01-21;6747.362;50.3014;6733.777;50.2001
S;SUL;2026-01-21;5553.138;73.3596;5371.143;70.9554
SE;SUDESTE;2026-01-21;41045.724;62.3658;39398.39;59.8628
N;NORTE;2026-01-22;10687.389;67.7022;10681.906;67.6675
NE;NORDESTE;2026-01-22;7250.78;54.0543;7228.615;53.8891
S;SUL;2026-01-22;4959.933;65.5231;4760.748;62.8918
SE;SUDESTE;2026-01-22;43678.616;66.3663;41729.059;63.4041
N;NORTE;2026-01-23;10786.934;68.3328;10753.066;68.1182
NE;NORDESTE;2026-01-23;7571.151;56.4427;7546.126;56.2561
S;SUL;2026-01-23;4520.397;59.7166;4295.014;56.7392
SE;SUDESTE;2026-01-23;47351.477;71.9469;44906.176;68.2315
N;NORTE;2026-01-24;10833.864;68.6301;10786.281;68.3286
NE;NORDESTE;2026-01-24;7627.558;56.8632;7602.533;56.6766
S;SUL;2026-01-24;4088.041;54.005;3859.259;50.9827
SE;SUDESTE;2026-01-24;50707.282;77.0458;45870.622;69.6969
N;NORTE;2026-01-25;10802.674;68.4325;10677.121;67.6371
NE;NORDESTE;2026-01-25;7513.479;56.0127;7406.229;55.2132
S;SUL;2026-01-25;3832.741;50.6323;3574.182;47.2167
SE;SUDESTE;2026-01-25;53527.524;81.3309;48729.968;74.0414
N;NORTE;2026-01-26;10671.237;67.5999;10614.9;67.243
NE;NORDESTE;2026-01-26;7260.482;54.1266;7193.987;53.6309
S;SUL;2026-01-26;3576.095;47.2419;3394.191;44.8389
SE;SUDESTE;2026-01-26;55858.135;84.8721;51896.192;78.8522
N;NORTE;2026-01-27;10579.107;67.0162;10456.178;66.2375
NE;NORDESTE;2026-01-27;7067.432;52.6875;7048.842;52.5489
S;SUL;2026-01-27;3366.021;44.4668;3207.817;42.3768
SE;SUDESTE;2026-01-27;56113.808;85.2606;52495.675;79.7631
N;NORTE;2026-01-28;10518.456;66.632;10513.957;66.6035
NE;NORDESTE;2026-01-28;7067.566;52.6885;7049.691;52.5552
S;SUL;2026-01-28;3322.536;43.8923;3154.833;41.6769
SE;SUDESTE;2026-01-28;55915.968;84.96;52314.538;79.4879
N;NORTE;2026-01-29;10633.404;67.3602;10594.309;67.1125
NE;NORDESTE;2026-01-29;7042.007;52.4979;7021.987;52.3487
S;SUL;2026-01-29;3409.626;45.0428;3245.765;42.8781
SE;SUDESTE;2026-01-29;55909.053;84.9495;52490.736;79.7556
N;NORTE;2026-01-30;10770.799;68.2306;10738.089;68.0234
NE;NORDESTE;2026-01-30;6941.198;51.7464;6921.178;51.5971
S;SUL;2026-01-30;3484.089;46.0265;3313.855;43.7776
SE;SUDESTE;2026-01-30;56412.597;85.7146;54756.097;83.1976
N;NORTE;2026-01-31;10983.768;69.5797;10931.965;69.2515
NE;NORDESTE;2026-01-31;6802.544;50.7127;6776.804;50.5208
S;SUL;2026-01-31;3375.271;44.5889;3226.816;42.6278
SE;SUDESTE;2026-01-31;57237.205;86.9675;54620.788;82.9921
N;NORTE;2026-02-01;11184.644;49.1785;11022.815;48.4669
NE;NORDESTE;2026-02-01;6689.176;47.1529;6665.581;46.9866
S;SUL;2026-02-01;3346.222;40.564;3018.692;36.5936
SE;SUDESTE;2026-02-01;59286.424;83.6846;56004.415;79.052
N;NORTE;2026-02-02;11290.978;49.646;11251.986;49.4746
NE;NORDESTE;2026-02-02;6828.517;48.1352;6808.497;47.994
S;SUL;2026-02-02;3327.117;40.3324;3170.217;38.4304
SE;SUDESTE;2026-02-02;60603.08;85.5431;58598.809;82.7141
N;NORTE;2026-02-03;11277.621;49.5873;11155.073;49.0484
NE;NORDESTE;2026-02-03;7328.691;51.661;7318.681;51.5904
S;SUL;2026-02-03;3347.333;40.5774;3200.435;38.7967
SE;SUDESTE;2026-02-03;61538.736;86.8639;59114.752;83.4423
N;NORTE;2026-02-04;11522.624;50.6646;11427.109;50.2446
NE;NORDESTE;2026-02-04;8140.77;57.3854;8140.77;57.3854
S;SUL;2026-02-04;3504.254;42.4797;3363.649;40.7752
SE;SUDESTE;2026-02-04;62604.959;88.3689;59214.627;83.5833
N;NORTE;2026-02-05;11959.468;52.5853;11850.592;52.1066
NE;NORDESTE;2026-02-05;8994.759;63.4053;8979.744;63.2995
S;SUL;2026-02-05;3456.222;41.8974;3315.951;40.197
SE;SUDESTE;2026-02-05;63204.772;89.2155;60570.514;85.4972
N;NORTE;2026-02-06;12226.195;53.7581;12057.323;53.0156
NE;NORDESTE;2026-02-06;9706.055;68.4193;9698.905;68.3689
