geracao,instante
15027.4971,2026-02-10T00:00:00-03:00
15024.002,2026-02-10T00:01:00-03:00
15024.6416,2026-02-10T00:02:00-03:00
15010.1807,2026-02-10T00:03:00-03:00
14961.5273,2026-02-10T00:04:00-03:00
14989.4131,2026-02-10T00:05:00-03:00
14995.2959,2026-02-10T00:06:00-03:00
14976.0938,2026-02-10T00:07:00-03:00
14938.9531,2026-02-10T00:08:00-03:00
14925.2852,2026-02-10T00:09:00-03:00
14924.1055,2026-02-10T00:10:00-03:00
14905.4844,2026-02-10T00:11:00-03:00
14897.9629,2026-02-10T00:12:00-03:00
14871.1123,2026-02-10T00:13:00-03:00
14875.3213,2026-02-10T00:14:00-03:00
14840.7646,2026-02-10T00:15:00-03:00
14823.5762,2026-02-10T00:16:00-03:00
14804.3789,2026-02-10T00:17:00-03:00
14784.9219,2026-02-10T00:18:00-03:00
14793.1133,2026-02-10T00:19:00-03:00
14767.6377,2026-02-10T00:20:00-03:00
14773.4453,2026-02-10T00:21:00-03:00
14753.4385,2026-02-10T00:22:00-03:00
14771.665,2026-02-10T00:23:00-03:00
14748.2295,2026-02-10T00:24:00-03:00
14766.9414,2026-02-10T00:25:00-03:00
14731.873,2026-02-10T00:26:00-03:00
14727.04,2026-02-10T00:27:00-03:00
14725.86,2026-02-10T00:28:00-03:00
14718.7637,2026-02-10T00:29:00-03:00
14704.3789,2026-02-10T00:30:00-03:00
14707.1387,2026-02-10T00:31:00-03:00
14704.9873,2026-02-10T00:32:00-03:00
14703.8086,2026-02-10T00:33:00-03:00
14699.2881,2026-02-10T00:34:00-03:00
14685.8877,2026-02-10T00:35:00-03:00
14669.7676,2026-02-10T00:36:00-03:00
14639.5908,2026-02-10T00:37:00-03:00
14677.2891,2026-02-10T00:38:00-03:00
14646.08,2026-02-10T00:39:00-03:00
14639.4434,2026-02-10T00:40:00-03:00
14592.7627,2026-02-10T00:41:00-03:00
14573.1953,2026-02-10T00:42:00-03:00
14567.2764,2026-02-10T00:43:00-03:00
14558.8262,2026-02-10T00:44:00-03:00
14549.5283,2026-02-10T00:45:00-03:00
14533.9639,2026-02-10T00:46:00-03:00
14514.46,2026-02-10T00:47:00-03:00
14503.709,2026-02-10T00:48:00-03:00
14473.123,2026-02-10T00:49:00-03:00
14455.5713,2026-02-10T00:50:00-03:00
14416.8525,2026-02-10T00:51:00-03:00
14379.5791,2026-02-10T00:52:00-03:00
14329.8525,2026-02-10T00:53:00-03:00
14328.3809,2026-02-10T00:54:00-03:00
14306.1445,2026-02-10T00:55:00-03:00
14314.6846,2026-02-10T00:56:00-03:00
14331.4082,2026-02-10T00:57:00-03:00
14320.7178,2026-02-10T00:58:00-03:00
14282.877,2026-02-10T00:59:00-03:00
14273.8818,2026-02-10T01:00:00-03:00
14300.0088,2026-02-10T01:01:00-03:00
14276.542,2026-02-10T01:02:00-03:00
14304.4,2026-02-10T01:03:00-03:00
14299.9219,2026-02-10T01:04:00-03:00
14294.4531,2026-02-10T01:05:00-03:00
14298.8115,2026-02-10T01:06:00-03:00
14304.043,2026-02-10T01:07:00-03:00
14307.3672,2026-02-10T01:08:00-03:00
14309.127,2026-02-10T01:09:00-03:00
14293.4824,2026-02-10T01:10:00-03:00
14309.0107,2026-02-10T01:11:00-03:00
14321.5342,2026-02-10T01:12:00-03:00
14348.6846,2026-02-10T01:13:00-03:00
14348.8008,2026-02-10T01:14:00-03:00
14347.8428,2026-02-10T01:15:00-03:00
14352.0244,2026-02-10T01:16:00-03:00
14365.4131,2026-02-10T01:17:00-03:00
14361.9639,2026-02-10T01:18:00-03:00
14390.5186,2026-02-10T01:19:00-03:00
14398.44,2026-02-10T01:20:00-03:00
14383.9355,2026-02-10T01:21:00-03:00
14363.0967,2026-02-10T01:22:00-03:00
14371.1719,2026-02-10T01:23:00-03:00
14354.9541,2026-02-10T01:24:00-03:00
14351.2949,2026-02-10T01:25:00-03:00
14343.6982,2026-02-10T01:26:00-03:00
14336.7041,2026-02-10T01:27:00-03:00
14335.4131,2026-02-10T01:28:00-03:00
14346.124,2026-02-10T01:29:00-03:00
14326.4014,2026-02-10T01:30:00-03:00
14309.37,2026-02-10T01:31:00-03:00
14321.0625,2026-02-10T01:32:00-03:00
14289.2461,2026-02-10T01:33:00-03:00
14312.15,2026-02-10T01:34:00-03:00
14304.7275,2026-02-10T01:35:00-03:00
14318.4951,2026-02-10T01:36:00-03:00
14337.3525,2026-02-10T01:37:00-03:00
14358.6279,2026-02-10T01:38:00-03:00
14342.7588,2026-02-10T01:39:00-03:00
14341.5654,2026-02-10T01:40:00-03:00
14357.0713,2026-02-10T01:41:00-03:00
14369.6807,2026-02-10T01:42:00-03:00
14407.2451,2026-02-10T01:43:00-03:00
14396.3652,2026-02-10T01:44:00-03:00
14446.7168,2026-02-10T01:45:00-03:00
14474.002,2026-02-10T01:46:00-03:00
14491.5723,2026-02-10T01:47:00-03:00
14468.8184,2026-02-10T01:48:00-03:00
14506.7773,2026-02-10T01:49:00-03:00
14498.6572,2026-02-10T01:50:00-03:00
14483.5176,2026-02-10T01:51:00-03:00
14492.8389,2026-02-10T01:52:00-03:00
14504.4346,2026-02-10T01:53:00-03:00
14513.9424,2026-02-10T01:54:00-03:00
14518.0322,2026-02-10T01:55:00-03:00
14528.8945,2026-02-10T01:56:00-03:00
14535.6348,2026-02-10T01:57:00-03:00
14531.1895,2026-02-10T01:58:00-03:00
14521.8252,2026-02-10T01:59:00-03:00
14504.89,2026-02-10T02:00:00-03:00
14492.6787,2026-02-10T02:01:00-03:00
14531.0127,2026-02-10T02:02:00-03:00
14509.9287,2026-02-10T02:03:00-03:00
14513.748,2026-02-10T02:04:00-03:00
14517.6035,2026-02-10T02:05:00-03:00
14516.3711,2026-02-10T02:06:00-03:00
14511.5986,2026-02-10T02:07:00-03:00
14502.9121,2026-02-10T02:08:00-03:00
14520.7881,2026-02-10T02:09:00-03:00
14543.5566,2026-02-10T02:10:00-03:00
14573.3643,2026-02-10T02:11:00-03:00
14564.5967,2026-02-10T02:12:00-03:00
14556.0928,2026-02-10T02:13:00-03:00
14563.876,2026-02-10T02:14:00-03:00
14570.7344,2026-02-10T02:15:00-03:00
14608.751,2026-02-10T02:16:00-03:00
14626.8682,2026-02-10T02:17:00-03:00
14648.5693,2026-02-10T02:18:00-03:00
14675.4941,2026-02-10T02:19:00-03:00
14686.5176,2026-02-10T02:20:00-03:00
14726.2119,2026-02-10T02:21:00-03:00
14758.5625,2026-02-10T02:22:00-03:00
14769.417,2026-02-10T02:23:00-03:00
14803.3965,2026-02-10T02:24:00-03:00
14805.3555,2026-02-10T02:25:00-03:00
14819.6035,2026-02-10T02:26:00-03:00
14819.0928,2026-02-10T02:27:00-03:00
14842.7783,2026-02-10T02:28:00-03:00
14856.8945,2026-02-10T02:29:00-03:00
14884.3193,2026-02-10T02:30:00-03:00
14915.1768,2026-02-10T02:31:00-03:00
14923.3086,2026-02-10T02:32:00-03:00
14951.1621,2026-02-10T02:33:00-03:00
14943.8232,2026-02-10T02:34:00-03:00
