geracao,instante
3066.416,2026-02-10T00:00:00-03:00
3079.19849,2026-02-10T00:01:00-03:00
3078.49414,2026-02-10T00:02:00-03:00
3082.372,2026-02-10T00:03:00-03:00
3088.86621,2026-02-10T00:04:00-03:00
3098.46851,2026-02-10T00:05:00-03:00
3096.05566,2026-02-10T00:06:00-03:00
3084.15259,2026-02-10T00:07:00-03:00
3028.37476,2026-02-10T00:08:00-03:00
3019.55713,2026-02-10T00:09:00-03:00
2997.51172,2026-02-10T00:10:00-03:00
2977.10034,2026-02-10T00:11:00-03:00
2952.94336,2026-02-10T00:12:00-03:00
2959.409,2026-02-10T00:13:00-03:00
2947.637,2026-02-10T00:14:00-03:00
2950.53931,2026-02-10T00:15:00-03:00
2955.52417,2026-02-10T00:16:00-03:00
2947.99023,2026-02-10T00:17:00-03:00
2922.66187,2026-02-10T00:18:00-03:00
2915.578,2026-02-10T00:19:00-03:00
2919.05786,2026-02-10T00:20:00-03:00
2907.03442,2026-02-10T00:21:00-03:00
2911.351,2026-02-10T00:22:00-03:00
2908.5022,2026-02-10T00:23:00-03:00
2917.572,2026-02-10T00:24:00-03:00
2923.899,2026-02-10T00:25:00-03:00
2927.96533,2026-02-10T00:26:00-03:00
2930.59839,2026-02-10T00:27:00-03:00
2914.70313,2026-02-10T00:28:00-03:00
2908.49756,2026-02-10T00:29:00-03:00
2907.20117,2026-02-10T00:30:00-03:00
2900.601,2026-02-10T00:31:00-03:00
2890.54688,2026-02-10T00:32:00-03:00
2886.72241,2026-02-10T00:33:00-03:00
2842.81958,2026-02-10T00:34:00-03:00
2832.34253,2026-02-10T00:35:00-03:00
2809.556,2026-02-10T00:36:00-03:00
2671.19287,2026-02-10T00:37:00-03:00
2509.50415,2026-02-10T00:38:00-03:00
2438.19238,2026-02-10T00:39:00-03:00
2427.923,2026-02-10T00:40:00-03:00
2419.25122,2026-02-10T00:41:00-03:00
2412.8208,2026-02-10T00:42:00-03:00
2412.13062,2026-02-10T00:43:00-03:00
2414.38867,2026-02-10T00:44:00-03:00
2415.98657,2026-02-10T00:45:00-03:00
2413.668,2026-02-10T00:46:00-03:00
2410.50537,2026-02-10T00:47:00-03:00
2413.88281,2026-02-10T00:48:00-03:00
2416.73584,2026-02-10T00:49:00-03:00
2410.98071,2026-02-10T00:50:00-03:00
