geracao,instante
1568.9364,2026-02-10T00:00:00-03:00
1571.23608,2026-02-10T00:01:00-03:00
1571.51965,2026-02-10T00:02:00-03:00
1572.64575,2026-02-10T00:03:00-03:00
1572.16223,2026-02-10T00:04:00-03:00
1570.44055,2026-02-10T00:05:00-03:00
1567.53577,2026-02-10T00:06:00-03:00
1565.92017,2026-02-10T00:07:00-03:00
1562.9353,2026-02-10T00:08:00-03:00
1561.94092,2026-02-10T00:09:00-03:00
1563.72058,2026-02-10T00:10:00-03:00
1565.62451,2026-02-10T00:11:00-03:00
1566.54248,2026-02-10T00:12:00-03:00
1564.25366,2026-02-10T00:13:00-03:00
1566.94653,2026-02-10T00:14:00-03:00
1566.54614,2026-02-10T00:15:00-03:00
1566.7594,2026-02-10T00:16:00-03:00
1566.20544,2026-02-10T00:17:00-03:00
1565.81287,2026-02-10T00:18:00-03:00
1566.19861,2026-02-10T00:19:00-03:00
1568.03369,2026-02-10T00:20:00-03:00
1577.507,2026-02-10T00:21:00-03:00
1576.28967,2026-02-10T00:22:00-03:00
1575.34424,2026-02-10T00:23:00-03:00
1572.92371,2026-02-10T00:24:00-03:00
1575.788,2026-02-10T00:25:00-03:00
1566.23181,2026-02-10T00:26:00-03:00
1564.7804,2026-02-10T00:27:00-03:00
1566.95911,2026-02-10T00:28:00-03:00
1567.52319,2026-02-10T00:29:00-03:00
1569.54724,2026-02-10T00:30:00-03:00
1568.75867,2026-02-10T00:31:00-03:00
1569.7677,2026-02-10T00:32:00-03:00
1568.87878,2026-02-10T00:33:00-03:00
1569.02832,2026-02-10T00:34:00-03:00
1568.22888,2026-02-10T00:35:00-03:00
1569.50183,2026-02-10T00:36:00-03:00
1569.03259,2026-02-10T00:37:00-03:00
1568.28625,2026-02-10T00:38:00-03:00
1569.50293,2026-02-10T00:39:00-03:00
1567.90417,2026-02-10T00:40:00-03:00
1566.13281,2026-02-10T00:41:00-03:00
1566.58728,2026-02-10T00:42:00-03:00
1564.6969,2026-02-10T00:43:00-03:00
1566.23657,2026-02-10T00:44:00-03:00
1567.12,2026-02-10T00:45:00-03:00
1567.897,2026-02-10T00:46:00-03:00
1568.1178,2026-02-10T00:47:00-03:00
1572.23462,2026-02-10T00:48:00-03:00
1577.22668,2026-02-10T00:49:00-03:00
1576.02344,2026-02-10T00:50:00-03:00
1573.03711,2026-02-10T00:51:00-03:00
1573.05823,2026-02-10T00:52:00-03:00
1571.86755,2026-02-10T00:53:00-03:00
1569.82983,2026-02-10T00:54:00-03:00
1566.99487,2026-02-10T00:55:00-03:00
1565.92,2026-02-10T00:56:00-03:00
1565.66785,2026-02-10T00:57:00-03:00
1564.91614,2026-02-10T00:58:00-03:00
1564.474,2026-02-10T00:59:00-03:00
1563.40881,2026-02-10T01:00:00-03:00
1566.23364,2026-02-10T01:01:00-03:00
1566.06152,2026-02-10T01:02:00-03:00
1568.43018,2026-02-10T01:03:00-03:00
1566.95288,2026-02-10T01:04:00-03:00
1564.86658,2026-02-10T01:05:00-03:00
1564.62085,2026-02-10T01:06:00-03:00
1563.805,2026-02-10T01:07:00-03:00
1562.9967,2026-02-10T01:08:00-03:00
1561.63562,2026-02-10T01:09:00-03:00
1560.92249,2026-02-10T01:10:00-03:00
1559.32581,2026-02-10T01:11:00-03:00
1559.46289,2026-02-10T01:12:00-03:00
1560.45325,2026-02-10T01:13:00-03:00
1559.92114,2026-02-10T01:14:00-03:00
1560.25024,2026-02-10T01:15:00-03:00
1559.13232,2026-02-10T01:16:00-03:00
1561.57,2026-02-10T01:17:00-03:00
1564.61572,2026-02-10T01:18:00-03:00
1565.67273,2026-02-10T01:19:00-03:00
1561.676,2026-02-10T01:20:00-03:00
1560.0564,2026-02-10T01:21:00-03:00
1557.44873,2026-02-10T01:22:00-03:00
1556.54028,2026-02-10T01:23:00-03:00
1554.41516,2026-02-10T01:24:00-03:00
1552.43665,2026-02-10T01:25:00-03:00
1553.84277,2026-02-10T01:26:00-03:00
1553.01221,2026-02-10T01:27:00-03:00
1551.42322,2026-02-10T01:28:00-03:00
1547.42456,2026-02-10T01:29:00-03:00
1550.57568,2026-02-10T01:30:00-03:00
1551.99438,2026-02-10T01:31:00-03:00
1551.75745,2026-02-10T01:32:00-03:00
1552.886,2026-02-10T01:33:00-03:00
1554.2644,2026-02-10T01:34:00-03:00
1554.265,2026-02-10T01:35:00-03:00
1555.02466,2026-02-10T01:36:00-03:00
1554.74219,2026-02-10T01:37:00-03:00
1550.92053,2026-02-10T01:38:00-03:00
1545.856,2026-02-10T01:39:00-03:00
1544.95825,2026-02-10T01:40:00-03:00
1541.29724,2026-02-10T01:41:00-03:00
1540.89551,2026-02-10T01:42:00-03:00
1538.82825,2026-02-10T01:43:00-03:00
1539.82629,2026-02-10T01:44:00-03:00
1541.11926,2026-02-10T01:45:00-03:00
1541.33569,2026-02-10T01:46:00-03:00
1541.83875,2026-02-10T01:47:00-03:00
1542.67664,2026-02-10T01:48:00-03:00
1545.37659,2026-02-10T01:49:00-03:00
1549.16113,2026-02-10T01:50:00-03:00
1555.66565,2026-02-10T01:51:00-03:00
1560.33545,2026-02-10T01:52:00-03:00
1563.31726,2026-02-10T01:53:00-03:00
1562.28088,2026-02-10T01:54:00-03:00
1562.63989,2026-02-10T01:55:00-03:00
1559.97571,2026-02-10T01:56:00-03:00
1560.50415,2026-02-10T01:57:00-03:00
1561.76,2026-02-10T01:58:00-03:00
1561.57678,2026-02-10T01:59:00-03:00
1562.37708,2026-02-10T02:00:00-03:00
1561.68628,2026-02-10T02:01:00-03:00
1561.54675,2026-02-10T02:02:00-03:00
1561.1051,2026-02-10T02:03:00-03:00
1561.15649,2026-02-10T02:04:00-03:00
