geracao,instante
316.5765,2026-02-10T00:00:00-03:00
312.8848,2026-02-10T00:01:00-03:00
315.786865,2026-02-10T00:02:00-03:00
311.7266,2026-02-10T00:03:00-03:00
310.201538,2026-02-10T00:04:00-03:00
312.762726,2026-02-10T00:05:00-03:00
314.0953,2026-02-10T00:06:00-03:00
314.3431,2026-02-10T00:07:00-03:00
320.7088,2026-02-10T00:08:00-03:00
315.145569,2026-02-10T00:09:00-03:00
318.644958,2026-02-10T00:10:00-03:00
320.710083,2026-02-10T00:11:00-03:00
322.677765,2026-02-10T00:12:00-03:00
322.3147,2026-02-10T00:13:00-03:00
318.83548,2026-02-10T00:14:00-03:00
314.997742,2026-02-10T00:15:00-03:00
323.151733,2026-02-10T00:16:00-03:00
324.232574,2026-02-10T00:17:00-03:00
320.4676,2026-02-10T00:18:00-03:00
318.744263,2026-02-10T00:19:00-03:00
320.173065,2026-02-10T00:20:00-03:00
323.5721,2026-02-10T00:21:00-03:00
323.1195,2026-02-10T00:22:00-03:00
322.0558,2026-02-10T00:23:00-03:00
322.574371,2026-02-10T00:24:00-03:00
325.557159,2026-02-10T00:25:00-03:00
326.366455,2026-02-10T00:26:00-03:00
326.3551,2026-02-10T00:27:00-03:00
330.6385,2026-02-10T00:28:00-03:00
329.111359,2026-02-10T00:29:00-03:00
331.697937,2026-02-10T00:30:00-03:00
334.781982,2026-02-10T00:31:00-03:00
337.282776,2026-02-10T00:32:00-03:00
332.863556,2026-02-10T00:33:00-03:00
332.658783,2026-02-10T00:34:00-03:00
331.8006,2026-02-10T00:35:00-03:00
328.8248,2026-02-10T00:36:00-03:00
327.71048,2026-02-10T00:37:00-03:00
326.682129,2026-02-10T00:38:00-03:00
326.656921,2026-02-10T00:39:00-03:00
325.189484,2026-02-10T00:40:00-03:00
324.571777,2026-02-10T00:41:00-03:00
327.639069,2026-02-10T00:42:00-03:00
328.248718,2026-02-10T00:43:00-03:00
327.956024,2026-02-10T00:44:00-03:00
326.863037,2026-02-10T00:45:00-03:00
329.668732,2026-02-10T00:46:00-03:00
331.698883,2026-02-10T00:47:00-03:00
331.8345,2026-02-10T00:48:00-03:00
