geracao,instante
14403.2129,2026-02-10T00:00:00-03:00
14400.4912,2026-02-10T00:01:00-03:00
14395.7852,2026-02-10T00:02:00-03:00
14410.7471,2026-02-10T00:03:00-03:00
14409.0732,2026-02-10T00:04:00-03:00
14410.4365,2026-02-10T00:05:00-03:00
14400.3311,2026-02-10T00:06:00-03:00
14406.3018,2026-02-10T00:07:00-03:00
14412.6768,2026-02-10T00:08:00-03:00
14450.1865,2026-02-10T00:09:00-03:00
14444.5527,2026-02-10T00:10:00-03:00
14385.001,2026-02-10T00:11:00-03:00
14390.7119,2026-02-10T00:12:00-03:00
14459.8682,2026-02-10T00:13:00-03:00
14433.8838,2026-02-10T00:14:00-03:00
14367.4043,2026-02-10T00:15:00-03:00
14338.1836,2026-02-10T00:16:00-03:00
14368.3115,2026-02-10T00:17:00-03:00
14323.14,2026-02-10T00:18:00-03:00
14297.124,2026-02-10T00:19:00-03:00
14348.998,2026-02-10T00:20:00-03:00
14392.7354,2026-02-10T00:21:00-03:00
14425.5723,2026-02-10T00:22:00-03:00
14417.749,2026-02-10T00:23:00-03:00
14426.3594,2026-02-10T00:24:00-03:00
14423.0381,2026-02-10T00:25:00-03:00
14384.26,2026-02-10T00:26:00-03:00
14333.7744,2026-02-10T00:27:00-03:00
14341.24,2026-02-10T00:28:00-03:00
14353.8477,2026-02-10T00:29:00-03:00
14348.31,2026-02-10T00:30:00-03:00
14327.4316,2026-02-10T00:31:00-03:00
14332.7109,2026-02-10T00:32:00-03:00
14354.0391,2026-02-10T00:33:00-03:00
14353.3535,2026-02-10T00:34:00-03:00
14345.7705,2026-02-10T00:35:00-03:00
14334.2412,2026-02-10T00:36:00-03:00
14384.0977,2026-02-10T00:37:00-03:00
14420.2627,2026-02-10T00:38:00-03:00
14398.0205,2026-02-10T00:39:00-03:00
14350.8242,2026-02-10T00:40:00-03:00
14383.5723,2026-02-10T00:41:00-03:00
14375.8535,2026-02-10T00:42:00-03:00
14360.8291,2026-02-10T00:43:00-03:00
14358.3564,2026-02-10T00:44:00-03:00
14366.1074,2026-02-10T00:45:00-03:00
14360.5361,2026-02-10T00:46:00-03:00
14355.0586,2026-02-10T00:47:00-03:00
14363.2314,2026-02-10T00:48:00-03:00
14358.7813,2026-02-10T00:49:00-03:00
14342.0654,2026-02-10T00:50:00-03:00
14349.9717,2026-02-10T00:51:00-03:00
14340.8467,2026-02-10T00:52:00-03:00
14349.9131,2026-02-10T00:53:00-03:00
14364.2041,2026-02-10T00:54:00-03:00
14364.0586,2026-02-10T00:55:00-03:00
14346.3613,2026-02-10T00:56:00-03:00
14335.1846,2026-02-10T00:57:00-03:00
14289.44,2026-02-10T00:58:00-03:00
14345.6738,2026-02-10T00:59:00-03:00
14412.0518,2026-02-10T01:00:00-03:00
14429.41,2026-02-10T01:01:00-03:00
14430.5527,2026-02-10T01:02:00-03:00
14409.7246,2026-02-10T01:03:00-03:00
14352.165,2026-02-10T01:04:00-03:00
14295.03,2026-02-10T01:05:00-03:00
14285.5459,2026-02-10T01:06:00-03:00
14350.76,2026-02-10T01:07:00-03:00
14385.5742,2026-02-10T01:08:00-03:00
14384.0283,2026-02-10T01:09:00-03:00
14361.3418,2026-02-10T01:10:00-03:00
14362.3936,2026-02-10T01:11:00-03:00
14362.6426,2026-02-10T01:12:00-03:00
14363.4707,2026-02-10T01:13:00-03:00
14367.4063,2026-02-10T01:14:00-03:00
14303.9707,2026-02-10T01:15:00-03:00
14235.2568,2026-02-10T01:16:00-03:00
14219.7373,2026-02-10T01:17:00-03:00
14230.9248,2026-02-10T01:18:00-03:00
14217.6865,2026-02-10T01:19:00-03:00
14213.5264,2026-02-10T01:20:00-03:00
14214.416,2026-02-10T01:21:00-03:00
14233.5664,2026-02-10T01:22:00-03:00
14215.2813,2026-02-10T01:23:00-03:00
14222.7754,2026-02-10T01:24:00-03:00
14217.2061,2026-02-10T01:25:00-03:00
14231.83,2026-02-10T01:26:00-03:00
14275.3408,2026-02-10T01:27:00-03:00
14230.4121,2026-02-10T01:28:00-03:00
14230.1582,2026-02-10T01:29:00-03:00
14251.7188,2026-02-10T01:30:00-03:00
14238.2451,2026-02-10T01:31:00-03:00
14261.208,2026-02-10T01:32:00-03:00
14254.3086,2026-02-10T01:33:00-03:00
14240.0791,2026-02-10T01:34:00-03:00
14248.1289,2026-02-10T01:35:00-03:00
14229.3594,2026-02-10T01:36:00-03:00
14245.2734,2026-02-10T01:37:00-03:00
14240.1943,2026-02-10T01:38:00-03:00
14215.2568,2026-02-10T01:39:00-03:00
14241.168,2026-02-10T01:40:00-03:00
14236.3076,2026-02-10T01:41:00-03:00
14245.7432,2026-02-10T01:42:00-03:00
14230.9688,2026-02-10T01:43:00-03:00
14245.5547,2026-02-10T01:44:00-03:00
14242.4971,2026-02-10T01:45:00-03:00
14239.1885,2026-02-10T01:46:00-03:00
14237.335,2026-02-10T01:47:00-03:00
14236.34,2026-02-10T01:48:00-03:00
14220.65,2026-02-10T01:49:00-03:00
14235.3135,2026-02-10T01:50:00-03:00
14240.67,2026-02-10T01:51:00-03:00
14229.1963,2026-02-10T01:52:00-03:00
14226.3672,2026-02-10T01:53:00-03:00
14242.6406,2026-02-10T01:54:00-03:00
14235.4326,2026-02-10T01:55:00-03:00
14238.5967,2026-02-10T01:56:00-03:00
14235.8115,2026-02-10T01:57:00-03:00
14231.1768,2026-02-10T01:58:00-03:00
14241.208,2026-02-10T01:59:00-03:00
14245.5693,2026-02-10T02:00:00-03:00
14233.6279,2026-02-10T02:01:00-03:00
14241.9863,2026-02-10T02:02:00-03:00
14256.1455,2026-02-10T02:03:00-03:00
14221.1,2026-02-10T02:04:00-03:00
14190.28,2026-02-10T02:05:00-03:00
14197.4424,2026-02-10T02:06:00-03:00
14175.4814,2026-02-10T02:07:00-03:00
14180.3838,2026-02-10T02:08:00-03:00
14136.5039,2026-02-10T02:09:00-03:00
14079.3857,2026-02-10T02:10:00-03:00
14028.668,2026-02-10T02:11:00-03:00
13988.4854,2026-02-10T02:12:00-03:00
13981.249,2026-02-10T02:13:00-03:00
13978.2813,2026-02-10T02:14:00-03:00
13981.7725,2026-02-10T02:15:00-03:00
13982.2227,2026-02-10T02:16:00-03:00
13976.0645,2026-02-10T02:17:00-03:00
13972.751,2026-02-10T02:18:00-03:00
13934.7686,2026-02-10T02:19:00-03:00
13916.7705,2026-02-10T02:20:00-03:00
13930.8838,2026-02-10T02:21:00-03:00
13959.8555,2026-02-10T02:22:00-03:00
13993.2666,2026-02-10T02:23:00-03:00
14009.624,2026-02-10T02:24:00-03:00
13991.0527,2026-02-10T02:25:00-03:00
13985.5488,2026-02-10T02:26:00-03:00
13979.0781,2026-02-10T02:27:00-03:00
13976.6875,2026-02-10T02:28:00-03:00
13964.8135,2026-02-10T02:29:00-03:00
13847.8164,2026-02-10T02:30:00-03:00
13830.085,2026-02-10T02:31:00-03:00
13738.623,2026-02-10T02:32:00-03:00
13706.4268,2026-02-10T02:33:00-03:00
13696.7158,2026-02-10T02:34:00-03:00
13642.8643,2026-02-10T02:35:00-03:00
13605.8828,2026-02-10T02:36:00-03:00
13539.7471,2026-02-10T02:37:00-03:00
13173.9746,2026-02-10T02:38:00-03:00
13146.02,2026-02-10T02:39:00-03:00
13114.0205,2026-02-10T02:40:00-03:00
13140.9141,2026-02-10T02:41:00-03:00
13173.8613,2026-02-10T02:42:00-03:00
13202.76,2026-02-10T02:43:00-03:00
13227.2646,2026-02-10T02:44:00-03:00
13231.1465,2026-02-10T02:45:00-03:00
13228.1963,2026-02-10T02:46:00-03:00
13228.625,2026-02-10T02:47:00-03:00
13235.3037,2026-02-10T02:48:00-03:00
13241.2148,2026-02-10T02:49:00-03:00
13151.499,2026-02-10T02:50:00-03:00
12990.6924,2026-02-10T02:51:00-03:00
12973.89,2026-02-10T02:52:00-03:00
12999.4453,2026-02-10T02:53:00-03:00
13031.74,2026-02-10T02:54:00-03:00
13045.1191,2026-02-10T02:55:00-03:00
13044.7109,2026-02-10T02:56:00-03:00
13031.0977,2026-02-10T02:57:00-03:00
13005.9014,2026-02-10T02:58:00-03:00
12953.209,2026-02-10T02:59:00-03:00
12900.9561,2026-02-10T03:00:00-03:00
12855.7979,2026-02-10T03:01:00-03:00
12849.7031,2026-02-10T03:02:00-03:00
12873.9355,2026-02-10T03:03:00-03:00
12941.0469,2026-02-10T03:04:00-03:00
12986.4619,2026-02-10T03:05:00-03:00
13035.1758,2026-02-10T03:06:00-03:00
13023.0391,2026-02-10T03:07:00-03:00
12987.89,2026-02-10T03:08:00-03:00
12936.3242,2026-02-10T03:09:00-03:00
12907.4844,2026-02-10T03:10:00-03:00
12898.3525,2026-02-10T03:11:00-03:00
12913.7,2026-02-10T03:12:00-03:00
12909.9541,2026-02-10T03:13:00-03:00
12913.1338,2026-02-10T03:14:00-03:00
12899.9043,2026-02-10T03:15:00-03:00
12908.0684,2026-02-10T03:16:00-03:00
12888.7061,2026-02-10T03:17:00-03:00
12907.916,2026-02-10T03:18:00-03:00
12900.7314,2026-02-10T03:19:00-03:00
12910.4717,2026-02-10T03:20:00-03:00
12908.4814,2026-02-10T03:21:00-03:00
12909.0469,2026-02-10T03:22:00-03:00
12907.2314,2026-02-10T03:23:00-03:00
12904.8223,2026-02-10T03:24:00-03:00
12901.9736,2026-02-10T03:25:00-03:00
12896.7217,2026-02-10T03:26:00-03:00
12905.0088,2026-02-10T03:27:00-03:00
