geracao,instante
2062.043,2026-02-10T00:00:00-03:00
2061.13477,2026-02-10T00:01:00-03:00
2060.76563,2026-02-10T00:02:00-03:00
2060.99365,2026-02-10T00:03:00-03:00
2061.54761,2026-02-10T00:04:00-03:00
2061.74072,2026-02-10T00:05:00-03:00
2061.42456,2026-02-10T00:06:00-03:00
2063.24438,2026-02-10T00:07:00-03:00
2064.71582,2026-02-10T00:08:00-03:00
2064.40479,2026-02-10T00:09:00-03:00
2066.07227,2026-02-10T00:10:00-03:00
2064.9126,2026-02-10T00:11:00-03:00
2065.04346,2026-02-10T00:12:00-03:00
2064.55,2026-02-10T00:13:00-03:00
2061.836,2026-02-10T00:14:00-03:00
2063.63184,2026-02-10T00:15:00-03:00
2062.04468,2026-02-10T00:16:00-03:00
2062.916,2026-02-10T00:17:00-03:00
2064.31738,2026-02-10T00:18:00-03:00
2064.52319,2026-02-10T00:19:00-03:00
2062.76685,2026-02-10T00:20:00-03:00
2064.559,2026-02-10T00:21:00-03:00
2065.077,2026-02-10T00:22:00-03:00
2062.824,2026-02-10T00:23:00-03:00
2063.77661,2026-02-10T00:24:00-03:00
2063.2002,2026-02-10T00:25:00-03:00
2062.32227,2026-02-10T00:26:00-03:00
2060.80054,2026-02-10T00:27:00-03:00
2060.931,2026-02-10T00:28:00-03:00
2060.85815,2026-02-10T00:29:00-03:00
2061.858,2026-02-10T00:30:00-03:00
2059.50952,2026-02-10T00:31:00-03:00
2061.12744,2026-02-10T00:32:00-03:00
2063.2002,2026-02-10T00:33:00-03:00
2062.43457,2026-02-10T00:34:00-03:00
2061.29126,2026-02-10T00:35:00-03:00
2063.70215,2026-02-10T00:36:00-03:00
2065.09155,2026-02-10T00:37:00-03:00
2063.9314,2026-02-10T00:38:00-03:00
2064.83838,2026-02-10T00:39:00-03:00
2063.65771,2026-02-10T00:40:00-03:00
2064.53955,2026-02-10T00:41:00-03:00
2062.86768,2026-02-10T00:42:00-03:00
2062.70776,2026-02-10T00:43:00-03:00
2062.349,2026-02-10T00:44:00-03:00
2062.823,2026-02-10T00:45:00-03:00
2061.50586,2026-02-10T00:46:00-03:00
2063.943,2026-02-10T00:47:00-03:00
2064.21118,2026-02-10T00:48:00-03:00
2062.9165,2026-02-10T00:49:00-03:00
2062.69971,2026-02-10T00:50:00-03:00
2063.463,2026-02-10T00:51:00-03:00
2064.3252,2026-02-10T00:52:00-03:00
2062.86035,2026-02-10T00:53:00-03:00
2062.01758,2026-02-10T00:54:00-03:00
2062.50562,2026-02-10T00:55:00-03:00
2062.483,2026-02-10T00:56:00-03:00
2062.20215,2026-02-10T00:57:00-03:00
2062.705,2026-02-10T00:58:00-03:00
2062.78,2026-02-10T00:59:00-03:00
2064.28052,2026-02-10T01:00:00-03:00
2064.65454,2026-02-10T01:01:00-03:00
2064.28418,2026-02-10T01:02:00-03:00
2064.665,2026-02-10T01:03:00-03:00
2064.34619,2026-02-10T01:04:00-03:00
2066.36816,2026-02-10T01:05:00-03:00
2065.172,2026-02-10T01:06:00-03:00
2064.403,2026-02-10T01:07:00-03:00
2065.9668,2026-02-10T01:08:00-03:00
2064.82886,2026-02-10T01:09:00-03:00
2063.607,2026-02-10T01:10:00-03:00
2062.612,2026-02-10T01:11:00-03:00
2061.41724,2026-02-10T01:12:00-03:00
2063.88232,2026-02-10T01:13:00-03:00
2064.516,2026-02-10T01:14:00-03:00
2063.8125,2026-02-10T01:15:00-03:00
2063.71362,2026-02-10T01:16:00-03:00
2064.916,2026-02-10T01:17:00-03:00
2065.38184,2026-02-10T01:18:00-03:00
2064.88037,2026-02-10T01:19:00-03:00
2064.62915,2026-02-10T01:20:00-03:00
2064.834,2026-02-10T01:21:00-03:00
2064.612,2026-02-10T01:22:00-03:00
2063.09253,2026-02-10T01:23:00-03:00
2064.72,2026-02-10T01:24:00-03:00
2062.798,2026-02-10T01:25:00-03:00
2065.71167,2026-02-10T01:26:00-03:00
2063.907,2026-02-10T01:27:00-03:00
2064.25879,2026-02-10T01:28:00-03:00
2066.23071,2026-02-10T01:29:00-03:00
2067.03,2026-02-10T01:30:00-03:00
2064.30029,2026-02-10T01:31:00-03:00
2063.32715,2026-02-10T01:32:00-03:00
2062.93042,2026-02-10T01:33:00-03:00
2061.03979,2026-02-10T01:34:00-03:00
2061.64624,2026-02-10T01:35:00-03:00
2063.30371,2026-02-10T01:36:00-03:00
2062.483,2026-02-10T01:37:00-03:00
2062.34,2026-02-10T01:38:00-03:00
2061.402,2026-02-10T01:39:00-03:00
2062.216,2026-02-10T01:40:00-03:00
2063.49927,2026-02-10T01:41:00-03:00
2062.60278,2026-02-10T01:42:00-03:00
2063.0813,2026-02-10T01:43:00-03:00
2063.545,2026-02-10T01:44:00-03:00
2062.83569,2026-02-10T01:45:00-03:00
2062.868,2026-02-10T01:46:00-03:00
2064.562,2026-02-10T01:47:00-03:00
2064.01563,2026-02-10T01:48:00-03:00
2064.137,2026-02-10T01:49:00-03:00
2063.12378,2026-02-10T01:50:00-03:00
2064.49463,2026-02-10T01:51:00-03:00
2065.0332,2026-02-10T01:52:00-03:00
2064.372,2026-02-10T01:53:00-03:00
2064.086,2026-02-10T01:54:00-03:00
2064.19214,2026-02-10T01:55:00-03:00
2063.47314,2026-02-10T01:56:00-03:00
2063.46631,2026-02-10T01:57:00-03:00
2063.49829,2026-02-10T01:58:00-03:00
2064.14648,2026-02-10T01:59:00-03:00
2064.06274,2026-02-10T02:00:00-03:00
2063.67383,2026-02-10T02:01:00-03:00
2064.67065,2026-02-10T02:02:00-03:00
2067.00146,2026-02-10T02:03:00-03:00
2065.20337,2026-02-10T02:04:00-03:00
2066.75952,2026-02-10T02:05:00-03:00
2065.56128,2026-02-10T02:06:00-03:00
2065.37036,2026-02-10T02:07:00-03:00
2065.95068,2026-02-10T02:08:00-03:00
2067.12378,2026-02-10T02:09:00-03:00
2066.478,2026-02-10T02:10:00-03:00
2066.269,2026-02-10T02:11:00-03:00
2065.54272,2026-02-10T02:12:00-03:00
2066.081,2026-02-10T02:13:00-03:00
2066.17773,2026-02-10T02:14:00-03:00
2065.86377,2026-02-10T02:15:00-03:00
2066.07031,2026-02-10T02:16:00-03:00
2067.02319,2026-02-10T02:17:00-03:00
2068.391,2026-02-10T02:18:00-03:00
2070.32227,2026-02-10T02:19:00-03:00
2068.0332,2026-02-10T02:20:00-03:00
2068.94556,2026-02-10T02:21:00-03:00
2067.94922,2026-02-10T02:22:00-03:00
2068.05762,2026-02-10T02:23:00-03:00
2067.9375,2026-02-10T02:24:00-03:00
2064.917,2026-02-10T02:25:00-03:00
2064.874,2026-02-10T02:26:00-03:00
2063.98779,2026-02-10T02:27:00-03:00
2064.26685,2026-02-10T02:28:00-03:00
2063.7395,2026-02-10T02:29:00-03:00
2064.55029,2026-02-10T02:30:00-03:00
2064.84326,2026-02-10T02:31:00-03:00
2063.7605,2026-02-10T02:32:00-03:00
2063.99146,2026-02-10T02:33:00-03:00
2062.163,2026-02-10T02:34:00-03:00
2060.83984,2026-02-10T02:35:00-03:00
2058.60229,2026-02-10T02:36:00-03:00
2058.07642,2026-02-10T02:37:00-03:00
2059.646,2026-02-10T02:38:00-03:00
2058.98462,2026-02-10T02:39:00-03:00
2059.77417,2026-02-10T02:40:00-03:00
2060.81152,2026-02-10T02:41:00-03:00
2060.28,2026-02-10T02:42:00-03:00
2059.9314,2026-02-10T02:43:00-03:00
2060.42432,2026-02-10T02:44:00-03:00
2061.16577,2026-02-10T02:45:00-03:00
2061.8584,2026-02-10T02:46:00-03:00
2062.10815,2026-02-10T02:47:00-03:00
2064.35474,2026-02-10T02:48:00-03:00
2063.72656,2026-02-10T02:49:00-03:00
2063.62378,2026-02-10T02:50:00-03:00
2064.4646,2026-02-10T02:51:00-03:00
2064.00049,2026-02-10T02:52:00-03:00
2066.62061,2026-02-10T02:53:00-03:00
2068.11328,2026-02-10T02:54:00-03:00
2066.70947,2026-02-10T02:55:00-03:00
2067.99365,2026-02-10T02:56:00-03:00
2067.317,2026-02-10T02:57:00-03:00
2066.76758,2026-02-10T02:58:00-03:00
2065.90576,2026-02-10T02:59:00-03:00
2065.945,2026-02-10T03:00:00-03:00
2065.09033,2026-02-10T03:01:00-03:00
2064.01318,2026-02-10T03:02:00-03:00
2065.10449,2026-02-10T03:03:00-03:00
2063.16016,2026-02-10T03:04:00-03:00
2064.8125,2026-02-10T03:05:00-03:00
2065.01514,2026-02-10T03:06:00-03:00
2065.42651,2026-02-10T03:07:00-03:00
2065.95972,2026-02-10T03:08:00-03:00
2065.39478,2026-02-10T03:09:00-03:00
2067.89355,2026-02-10T03:10:00-03:00
2066.905,2026-02-10T03:11:00-03:00
2067.67847,2026-02-10T03:12:00-03:00
2068.27612,2026-02-10T03:13:00-03:00
2067.50977,2026-02-10T03:14:00-03:00
2066.65771,2026-02-10T03:15:00-03:00
2066.30786,2026-02-10T03:16:00-03:00
2065.92358,2026-02-10T03:17:00-03:00
2066.563,2026-02-10T03:18:00-03:00
2066.96021,2026-02-10T03:19:00-03:00
2067.74976,2026-02-10T03:20:00-03:00
2067.67114,2026-02-10T03:21:00-03:00
2068.73877,2026-02-10T03:22:00-03:00
2069.763,2026-02-10T03:23:00-03:00
2069.48413,2026-02-10T03:24:00-03:00
2070.21313,2026-02-10T03:25:00-03:00
2069.67944,2026-02-10T03:26:00-03:00
2070.48633,2026-02-10T03:27:00-03:00
2070.19971,2026-02-10T03:28:00-03:00
2070.202,2026-02-10T03:29:00-03:00
2069.86084,2026-02-10T03:30:00-03:00
2070.04517,2026-02-10T03:31:00-03:00
2070.02563,2026-02-10T03:32:00-03:00
2069.23022,2026-02-10T03:33:00-03:00
2069.23486,2026-02-10T03:34:00-03:00
2070.114,2026-02-10T03:35:00-03:00
2069.95923,2026-02-10T03:36:00-03:00
2071.65234,2026-02-10T03:37:00-03:00
2072.55249,2026-02-10T03:38:00-03:00
2073.254,2026-02-10T03:39:00-03:00
2072.03125,2026-02-10T03:40:00-03:00
2073.1106,2026-02-10T03:41:00-03:00
2071.19434,2026-02-10T03:42:00-03:00
2071.2793,2026-02-10T03:43:00-03:00
2072.53369,2026-02-10T03:44:00-03:00
2070.669,2026-02-10T03:45:00-03:00
2070.75464,2026-02-10T03:46:00-03:00
2069.80322,2026-02-10T03:47:00-03:00
2069.5022,2026-02-10T03:48:00-03:00
2069.753,2026-02-10T03:49:00-03:00
2072.313,2026-02-10T03:50:00-03:00
2069.23755,2026-02-10T03:51:00-03:00
2070.91748,2026-02-10T03:52:00-03:00
2070.67432,2026-02-10T03:53:00-03:00
2070.99951,2026-02-10T03:54:00-03:00
2069.87964,2026-02-10T03:55:00-03:00
