geracao,instante
16499.8359,2026-02-10T00:00:00-03:00
16496.4766,2026-02-10T00:01:00-03:00
16497.0859,2026-02-10T00:02:00-03:00
16481.2324,2026-02-10T00:03:00-03:00
16436.4941,2026-02-10T00:04:00-03:00
16466.2988,2026-02-10T00:05:00-03:00
16473.6641,2026-02-10T00:06:00-03:00
16455.0781,2026-02-10T00:07:00-03:00
16434.8184,2026-02-10T00:08:00-03:00
16415.2441,2026-02-10T00:09:00-03:00
16420.3281,2026-02-10T00:10:00-03:00
16405.0723,2026-02-10T00:11:00-03:00
16401.5,2026-02-10T00:12:00-03:00
16374.126,2026-02-10T00:13:00-03:00
16377.9111,2026-02-10T00:14:00-03:00
16342.666,2026-02-10T00:15:00-03:00
16337.1953,2026-02-10T00:16:00-03:00
16316.835,2026-02-10T00:17:00-03:00
16288.2725,2026-02-10T00:18:00-03:00
16290.9639,2026-02-10T00:19:00-03:00
16272.043,2026-02-10T00:20:00-03:00
16280.59,2026-02-10T00:21:00-03:00
16264.3984,2026-02-10T00:22:00-03:00
16283.5322,2026-02-10T00:23:00-03:00
16255.4463,2026-02-10T00:24:00-03:00
16287.0029,2026-02-10T00:25:00-03:00
16255.6992,2026-02-10T00:26:00-03:00
16247.3887,2026-02-10T00:27:00-03:00
16245.0361,2026-02-10T00:28:00-03:00
16234.9316,2026-02-10T00:29:00-03:00
16218.4365,2026-02-10T00:30:00-03:00
16224.9834,2026-02-10T00:31:00-03:00
16221.0381,2026-02-10T00:32:00-03:00
16212.04,2026-02-10T00:33:00-03:00
16197.2979,2026-02-10T00:34:00-03:00
16172.7295,2026-02-10T00:35:00-03:00
16146.5342,2026-02-10T00:36:00-03:00
16114.3213,2026-02-10T00:37:00-03:00
16148.46,2026-02-10T00:38:00-03:00
16115.1406,2026-02-10T00:39:00-03:00
16107.3779,2026-02-10T00:40:00-03:00
16060.1807,2026-02-10T00:41:00-03:00
16034.5781,2026-02-10T00:42:00-03:00
16026.6445,2026-02-10T00:43:00-03:00
16015.4355,2026-02-10T00:44:00-03:00
16005.7432,2026-02-10T00:45:00-03:00
15995.9824,2026-02-10T00:46:00-03:00
15977.5859,2026-02-10T00:47:00-03:00
15965.1289,2026-02-10T00:48:00-03:00
15935.374,2026-02-10T00:49:00-03:00
15918.2393,2026-02-10T00:50:00-03:00
15878.6318,2026-02-10T00:51:00-03:00
15843.5918,2026-02-10T00:52:00-03:00
15803.8564,2026-02-10T00:53:00-03:00
15802.7041,2026-02-10T00:54:00-03:00
15781.1768,2026-02-10T00:55:00-03:00
15789.7549,2026-02-10T00:56:00-03:00
15792.85,2026-02-10T00:57:00-03:00
15786.1279,2026-02-10T00:58:00-03:00
15748.0156,2026-02-10T00:59:00-03:00
15735.8516,2026-02-10T01:00:00-03:00
15769.5391,2026-02-10T01:01:00-03:00
15742.8525,2026-02-10T01:02:00-03:00
15775.041,2026-02-10T01:03:00-03:00
15771.3311,2026-02-10T01:04:00-03:00
15766.3809,2026-02-10T01:05:00-03:00
15768.6543,2026-02-10T01:06:00-03:00
15775.5156,2026-02-10T01:07:00-03:00
15768.748,2026-02-10T01:08:00-03:00
15770.9482,2026-02-10T01:09:00-03:00
15750.9443,2026-02-10T01:10:00-03:00
15761.1035,2026-02-10T01:11:00-03:00
15770.1338,2026-02-10T01:12:00-03:00
15792.2969,2026-02-10T01:13:00-03:00
15787.7129,2026-02-10T01:14:00-03:00
15783.709,2026-02-10T01:15:00-03:00
15780.8193,2026-02-10T01:16:00-03:00
15791.6836,2026-02-10T01:17:00-03:00
15784.0928,2026-02-10T01:18:00-03:00
15806.0723,2026-02-10T01:19:00-03:00
15813.74,2026-02-10T01:20:00-03:00
15787.2344,2026-02-10T01:21:00-03:00
15769.5342,2026-02-10T01:22:00-03:00
15776.7109,2026-02-10T01:23:00-03:00
15753.6934,2026-02-10T01:24:00-03:00
15740.9854,2026-02-10T01:25:00-03:00
15725.9648,2026-02-10T01:26:00-03:00
15721.0459,2026-02-10T01:27:00-03:00
15724.3164,2026-02-10T01:28:00-03:00
15734.6758,2026-02-10T01:29:00-03:00
15716.1074,2026-02-10T01:30:00-03:00
15706.4033,2026-02-10T01:31:00-03:00
15720.459,2026-02-10T01:32:00-03:00
15692.9229,2026-02-10T01:33:00-03:00
15722.1563,2026-02-10T01:34:00-03:00
15711.6475,2026-02-10T01:35:00-03:00
15718.3623,2026-02-10T01:36:00-03:00
15741.4063,2026-02-10T01:37:00-03:00
15756.4473,2026-02-10T01:38:00-03:00
15737.7939,2026-02-10T01:39:00-03:00
15724.5684,2026-02-10T01:40:00-03:00
15736.2314,2026-02-10T01:41:00-03:00
15742.1455,2026-02-10T01:42:00-03:00
15791.3076,2026-02-10T01:43:00-03:00
15771.3477,2026-02-10T01:44:00-03:00
15825.915,2026-02-10T01:45:00-03:00
15854.3447,2026-02-10T01:46:00-03:00
15873.2627,2026-02-10T01:47:00-03:00
15850.541,2026-02-10T01:48:00-03:00
15899.1377,2026-02-10T01:49:00-03:00
15893.8486,2026-02-10T01:50:00-03:00
15887.5,2026-02-10T01:51:00-03:00
15901.7793,2026-02-10T01:52:00-03:00
15916.0566,2026-02-10T01:53:00-03:00
15928.8906,2026-02-10T01:54:00-03:00
15941.5234,2026-02-10T01:55:00-03:00
15948.6035,2026-02-10T01:56:00-03:00
15959.8955,2026-02-10T01:57:00-03:00
15961.0947,2026-02-10T01:58:00-03:00
15948.6387,2026-02-10T01:59:00-03:00
15933.3643,2026-02-10T02:00:00-03:00
15927.4072,2026-02-10T02:01:00-03:00
15959.4229,2026-02-10T02:02:00-03:00
15931.998,2026-02-10T02:03:00-03:00
15932.7266,2026-02-10T02:04:00-03:00
15939.9316,2026-02-10T02:05:00-03:00
15947.1865,2026-02-10T02:06:00-03:00
15950.95,2026-02-10T02:07:00-03:00
15944.2871,2026-02-10T02:08:00-03:00
15967.2334,2026-02-10T02:09:00-03:00
15998.999,2026-02-10T02:10:00-03:00
16037.8271,2026-02-10T02:11:00-03:00
16023.4922,2026-02-10T02:12:00-03:00
16021.5986,2026-02-10T02:13:00-03:00
16042.4,2026-02-10T02:14:00-03:00
16050.2354,2026-02-10T02:15:00-03:00
16087.8066,2026-02-10T02:16:00-03:00
16095.0186,2026-02-10T02:17:00-03:00
16116.3447,2026-02-10T02:18:00-03:00
16146.2568,2026-02-10T02:19:00-03:00
16142.8047,2026-02-10T02:20:00-03:00
16187.9648,2026-02-10T02:21:00-03:00
16217.4385,2026-02-10T02:22:00-03:00
16238.0381,2026-02-10T02:23:00-03:00
16270.07,2026-02-10T02:24:00-03:00
16276.1455,2026-02-10T02:25:00-03:00
16299.4463,2026-02-10T02:26:00-03:00
16297.3857,2026-02-10T02:27:00-03:00
16323.5879,2026-02-10T02:28:00-03:00
16342.6523,2026-02-10T02:29:00-03:00
16360.8779,2026-02-10T02:30:00-03:00
16397.1348,2026-02-10T02:31:00-03:00
16405.1738,2026-02-10T02:32:00-03:00
16437.3477,2026-02-10T02:33:00-03:00
16426.0664,2026-02-10T02:34:00-03:00
16460.668,2026-02-10T02:35:00-03:00
16466.3125,2026-02-10T02:36:00-03:00
16504.8867,2026-02-10T02:37:00-03:00
16524.04,2026-02-10T02:38:00-03:00
16538.97,2026-02-10T02:39:00-03:00
16553.3672,2026-02-10T02:40:00-03:00
16550.0137,2026-02-10T02:41:00-03:00
16542.8789,2026-02-10T02:42:00-03:00
16558.375,2026-02-10T02:43:00-03:00
16560.5215,2026-02-10T02:44:00-03:00
16582.6875,2026-02-10T02:45:00-03:00
16581.0684,2026-02-10T02:46:00-03:00
16571.3184,2026-02-10T02:47:00-03:00
16585.6172,2026-02-10T02:48:00-03:00
16576.1172,2026-02-10T02:49:00-03:00
16576.752,2026-02-10T02:50:00-03:00
16586.1074,2026-02-10T02:51:00-03:00
16606.0156,2026-02-10T02:52:00-03:00
16573.0664,2026-02-10T02:53:00-03:00
16582.1016,2026-02-10T02:54:00-03:00
16567.56,2026-02-10T02:55:00-03:00
16554.3984,2026-02-10T02:56:00-03:00
16563.96,2026-02-10T02:57:00-03:00
16588.0234,2026-02-10T02:58:00-03:00
16592.627,2026-02-10T02:59:00-03:00
16558.51,2026-02-10T03:00:00-03:00
16546.6582,2026-02-10T03:01:00-03:00
16534.8379,2026-02-10T03:02:00-03:00
