geracao,instante
60775.4531,2026-02-10T00:00:00-03:00
60729.7969,2026-02-10T00:01:00-03:00
60609.87,2026-02-10T00:02:00-03:00
60584.9844,2026-02-10T00:03:00-03:00
60581.65,2026-02-10T00:04:00-03:00
60554.9648,2026-02-10T00:05:00-03:00
60424.03,2026-02-10T00:06:00-03:00
60370.7539,2026-02-10T00:07:00-03:00
60265.3359,2026-02-10T00:08:00-03:00
60344.9063,2026-02-10T00:09:00-03:00
60222.7,2026-02-10T00:10:00-03:00
60188.7656,2026-02-10T00:11:00-03:00
60161.12,2026-02-10T00:12:00-03:00
60153.8633,2026-02-10T00:13:00-03:00
59995.63,2026-02-10T00:14:00-03:00
59925.5039,2026-02-10T00:15:00-03:00
59829.1758,2026-02-10T00:16:00-03:00
59829.8555,2026-02-10T00:17:00-03:00
59703.78,2026-02-10T00:18:00-03:00
59614.8242,2026-02-10T00:19:00-03:00
59615.918,2026-02-10T00:20:00-03:00
59480.168,2026-02-10T00:21:00-03:00
59364.8477,2026-02-10T00:22:00-03:00
59211.9727,2026-02-10T00:23:00-03:00
59213.8047,2026-02-10T00:24:00-03:00
59218.9648,2026-02-10T00:25:00-03:00
59176.2852,2026-02-10T00:26:00-03:00
59162.2969,2026-02-10T00:27:00-03:00
58983.2578,2026-02-10T00:28:00-03:00
58900.7,2026-02-10T00:29:00-03:00
58818.88,2026-02-10T00:30:00-03:00
58770.13,2026-02-10T00:31:00-03:00
58639.03,2026-02-10T00:32:00-03:00
58528.1641,2026-02-10T00:33:00-03:00
58468.1836,2026-02-10T00:34:00-03:00
58410.1641,2026-02-10T00:35:00-03:00
58270.8867,2026-02-10T00:36:00-03:00
58314.48,2026-02-10T00:37:00-03:00
58320.2969,2026-02-10T00:38:00-03:00
58278.3867,2026-02-10T00:39:00-03:00
58328.4648,2026-02-10T00:40:00-03:00
58222.0547,2026-02-10T00:41:00-03:00
58112.42,2026-02-10T00:42:00-03:00
58095.99,2026-02-10T00:43:00-03:00
58036.04,2026-02-10T00:44:00-03:00
57924.68,2026-02-10T00:45:00-03:00
57905.2,2026-02-10T00:46:00-03:00
57781.1,2026-02-10T00:47:00-03:00
57744.2344,2026-02-10T00:48:00-03:00
57763.9766,2026-02-10T00:49:00-03:00
57540.6523,2026-02-10T00:50:00-03:00
57558.88,2026-02-10T00:51:00-03:00
57611.2578,2026-02-10T00:52:00-03:00
57579.42,2026-02-10T00:53:00-03:00
57518.2031,2026-02-10T00:54:00-03:00
57480.59,2026-02-10T00:55:00-03:00
57361.96,2026-02-10T00:56:00-03:00
57345.4727,2026-02-10T00:57:00-03:00
57253.27,2026-02-10T00:58:00-03:00
57275.8359,2026-02-10T00:59:00-03:00
57351.1523,2026-02-10T01:00:00-03:00
57322.5039,2026-02-10T01:01:00-03:00
57208.09,2026-02-10T01:02:00-03:00
57113.543,2026-02-10T01:03:00-03:00
57019.2227,2026-02-10T01:04:00-03:00
57050.8555,2026-02-10T01:05:00-03:00
56880.2461,2026-02-10T01:06:00-03:00
56835.6758,2026-02-10T01:07:00-03:00
56814.7148,2026-02-10T01:08:00-03:00
56809.27,2026-02-10T01:09:00-03:00
56690.5273,2026-02-10T01:10:00-03:00
56602.0664,2026-02-10T01:11:00-03:00
56512.34,2026-02-10T01:12:00-03:00
56369.1,2026-02-10T01:13:00-03:00
56425.7344,2026-02-10T01:14:00-03:00
56294.043,2026-02-10T01:15:00-03:00
56265.55,2026-02-10T01:16:00-03:00
56214.9922,2026-02-10T01:17:00-03:00
56158.0742,2026-02-10T01:18:00-03:00
56131.5938,2026-02-10T01:19:00-03:00
56113.0352,2026-02-10T01:20:00-03:00
56058.28,2026-02-10T01:21:00-03:00
56035.293,2026-02-10T01:22:00-03:00
55987.0234,2026-02-10T01:23:00-03:00
55947.5039,2026-02-10T01:24:00-03:00
56021.3672,2026-02-10T01:25:00-03:00
56006.7344,2026-02-10T01:26:00-03:00
56059.2461,2026-02-10T01:27:00-03:00
56018.53,2026-02-10T01:28:00-03:00
55788.5547,2026-02-10T01:29:00-03:00
55851.0547,2026-02-10T01:30:00-03:00
55775.6836,2026-02-10T01:31:00-03:00
