geracao,instante
468.0465,2026-02-10T00:00:00-03:00
468.108,2026-02-10T00:01:00-03:00
468.301025,2026-02-10T00:02:00-03:00
468.508148,2026-02-10T00:03:00-03:00
468.25885,2026-02-10T00:04:00-03:00
467.9325,2026-02-10T00:05:00-03:00
468.43335,2026-02-10T00:06:00-03:00
468.051361,2026-02-10T00:07:00-03:00
468.061981,2026-02-10T00:08:00-03:00
468.417664,2026-02-10T00:09:00-03:00
468.3725,2026-02-10T00:10:00-03:00
468.423645,2026-02-10T00:11:00-03:00
468.484833,2026-02-10T00:12:00-03:00
467.9185,2026-02-10T00:13:00-03:00
468.21,2026-02-10T00:14:00-03:00
468.21,2026-02-10T00:15:00-03:00
468.082825,2026-02-10T00:16:00-03:00
468.349335,2026-02-10T00:17:00-03:00
468.1195,2026-02-10T00:18:00-03:00
468.244,2026-02-10T00:19:00-03:00
468.370483,2026-02-10T00:20:00-03:00
468.043823,2026-02-10T00:21:00-03:00
468.385345,2026-02-10T00:22:00-03:00
468.15,2026-02-10T00:23:00-03:00
468.290649,2026-02-10T00:24:00-03:00
468.2457,2026-02-10T00:25:00-03:00
468.1547,2026-02-10T00:26:00-03:00
468.3122,2026-02-10T00:27:00-03:00
468.406982,2026-02-10T00:28:00-03:00
468.35,2026-02-10T00:29:00-03:00
467.797363,2026-02-10T00:30:00-03:00
468.036163,2026-02-10T00:31:00-03:00
468.592651,2026-02-10T00:32:00-03:00
468.465668,2026-02-10T00:33:00-03:00
468.300171,2026-02-10T00:34:00-03:00
468.378,2026-02-10T00:35:00-03:00
468.099976,2026-02-10T00:36:00-03:00
467.911652,2026-02-10T00:37:00-03:00
468.356842,2026-02-10T00:38:00-03:00
468.552673,2026-02-10T00:39:00-03:00
468.099976,2026-02-10T00:40:00-03:00
468.0288,2026-02-10T00:41:00-03:00
468.185852,2026-02-10T00:42:00-03:00
468.067017,2026-02-10T00:43:00-03:00
467.913483,2026-02-10T00:44:00-03:00
468.23,2026-02-10T00:45:00-03:00
468.5905,2026-02-10T00:46:00-03:00
468.229156,2026-02-10T00:47:00-03:00
468.1153,2026-02-10T00:48:00-03:00
468.212341,2026-02-10T00:49:00-03:00
468.6343,2026-02-10T00:50:00-03:00
468.45816,2026-02-10T00:51:00-03:00
468.292145,2026-02-10T00:52:00-03:00
468.12265,2026-02-10T00:53:00-03:00
467.941345,2026-02-10T00:54:00-03:00
468.039,2026-02-10T00:55:00-03:00
468.684021,2026-02-10T00:56:00-03:00
468.333344,2026-02-10T00:57:00-03:00
467.959534,2026-02-10T00:58:00-03:00
467.882324,2026-02-10T00:59:00-03:00
468.40152,2026-02-10T01:00:00-03:00
468.4845,2026-02-10T01:01:00-03:00
468.151978,2026-02-10T01:02:00-03:00
468.32666,2026-02-10T01:03:00-03:00
468.0625,2026-02-10T01:04:00-03:00
468.189972,2026-02-10T01:05:00-03:00
468.167816,2026-02-10T01:06:00-03:00
468.573639,2026-02-10T01:07:00-03:00
468.162,2026-02-10T01:08:00-03:00
468.289154,2026-02-10T01:09:00-03:00
468.62,2026-02-10T01:10:00-03:00
468.112335,2026-02-10T01:11:00-03:00
468.218475,2026-02-10T01:12:00-03:00
468.276337,2026-02-10T01:13:00-03:00
468.232,2026-02-10T01:14:00-03:00
468.2305,2026-02-10T01:15:00-03:00
468.054321,2026-02-10T01:16:00-03:00
468.01,2026-02-10T01:17:00-03:00
468.136658,2026-02-10T01:18:00-03:00
468.389984,2026-02-10T01:19:00-03:00
468.272675,2026-02-10T01:20:00-03:00
468.536652,2026-02-10T01:21:00-03:00
468.254669,2026-02-10T01:22:00-03:00
468.367981,2026-02-10T01:23:00-03:00
468.233673,2026-02-10T01:24:00-03:00
468.513336,2026-02-10T01:25:00-03:00
468.326172,2026-02-10T01:26:00-03:00
468.169159,2026-02-10T01:27:00-03:00
468.03067,2026-02-10T01:28:00-03:00
468.099152,2026-02-10T01:29:00-03:00
468.419678,2026-02-10T01:30:00-03:00
468.05,2026-02-10T01:31:00-03:00
468.594666,2026-02-10T01:32:00-03:00
468.535156,2026-02-10T01:33:00-03:00
468.602173,2026-02-10T01:34:00-03:00
468.292023,2026-02-10T01:35:00-03:00
468.434,2026-02-10T01:36:00-03:00
468.341339,2026-02-10T01:37:00-03:00
468.21817,2026-02-10T01:38:00-03:00
468.086029,2026-02-10T01:39:00-03:00
468.409515,2026-02-10T01:40:00-03:00
468.372,2026-02-10T01:41:00-03:00
467.94,2026-02-10T01:42:00-03:00
468.165161,2026-02-10T01:43:00-03:00
468.129974,2026-02-10T01:44:00-03:00
468.020844,2026-02-10T01:45:00-03:00
468.665649,2026-02-10T01:46:00-03:00
468.629974,2026-02-10T01:47:00-03:00
468.14267,2026-02-10T01:48:00-03:00
468.003,2026-02-10T01:49:00-03:00
468.552979,2026-02-10T01:50:00-03:00
468.413818,2026-02-10T01:51:00-03:00
468.22052,2026-02-10T01:52:00-03:00
468.2215,2026-02-10T01:53:00-03:00
468.115326,2026-02-10T01:54:00-03:00
467.6465,2026-02-10T01:55:00-03:00
468.207031,2026-02-10T01:56:00-03:00
468.3465,2026-02-10T01:57:00-03:00
468.66684,2026-02-10T01:58:00-03:00
468.184967,2026-02-10T01:59:00-03:00
468.41684,2026-02-10T02:00:00-03:00
467.913147,2026-02-10T02:01:00-03:00
468.6965,2026-02-10T02:02:00-03:00
468.164978,2026-02-10T02:03:00-03:00
468.24,2026-02-10T02:04:00-03:00
468.356659,2026-02-10T02:05:00-03:00
468.112671,2026-02-10T02:06:00-03:00
468.028351,2026-02-10T02:07:00-03:00
467.960022,2026-02-10T02:08:00-03:00
467.960022,2026-02-10T02:09:00-03:00
468.248016,2026-02-10T02:10:00-03:00
468.475,2026-02-10T02:11:00-03:00
468.2,2026-02-10T02:12:00-03:00
468.073822,2026-02-10T02:13:00-03:00
468.190857,2026-02-10T02:14:00-03:00
467.930023,2026-02-10T02:15:00-03:00
468.027985,2026-02-10T02:16:00-03:00
468.466522,2026-02-10T02:17:00-03:00
468.42868,2026-02-10T02:18:00-03:00
468.156,2026-02-10T02:19:00-03:00
468.2985,2026-02-10T02:20:00-03:00
468.255,2026-02-10T02:21:00-03:00
468.126678,2026-02-10T02:22:00-03:00
467.972839,2026-02-10T02:23:00-03:00
468.065,2026-02-10T02:24:00-03:00
468.109,2026-02-10T02:25:00-03:00
468.273315,2026-02-10T02:26:00-03:00
468.33667,2026-02-10T02:27:00-03:00
468.494,2026-02-10T02:28:00-03:00
468.567,2026-02-10T02:29:00-03:00
467.774323,2026-02-10T02:30:00-03:00
467.9635,2026-02-10T02:31:00-03:00
468.2375,2026-02-10T02:32:00-03:00
468.4795,2026-02-10T02:33:00-03:00
468.01004,2026-02-10T02:34:00-03:00
468.11203,2026-02-10T02:35:00-03:00
468.110016,2026-02-10T02:36:00-03:00
468.157837,2026-02-10T02:37:00-03:00
468.492157,2026-02-10T02:38:00-03:00
468.037,2026-02-10T02:39:00-03:00
468.553,2026-02-10T02:40:00-03:00
468.348022,2026-02-10T02:41:00-03:00
468.101166,2026-02-10T02:42:00-03:00
468.112152,2026-02-10T02:43:00-03:00
468.321,2026-02-10T02:44:00-03:00
468.459,2026-02-10T02:45:00-03:00
468.1398,2026-02-10T02:46:00-03:00
467.9825,2026-02-10T02:47:00-03:00
467.7355,2026-02-10T02:48:00-03:00
468.179352,2026-02-10T02:49:00-03:00
468.144,2026-02-10T02:50:00-03:00
468.524,2026-02-10T02:51:00-03:00
468.27832,2026-02-10T02:52:00-03:00
468.416656,2026-02-10T02:53:00-03:00
468.452332,2026-02-10T02:54:00-03:00
468.409332,2026-02-10T02:55:00-03:00
468.468658,2026-02-10T02:56:00-03:00
468.128967,2026-02-10T02:57:00-03:00
468.173981,2026-02-10T02:58:00-03:00
468.862823,2026-02-10T02:59:00-03:00
468.643341,2026-02-10T03:00:00-03:00
468.1222,2026-02-10T03:01:00-03:00
467.9115,2026-02-10T03:02:00-03:00
467.9577,2026-02-10T03:03:00-03:00
467.8615,2026-02-10T03:04:00-03:00
468.31,2026-02-10T03:05:00-03:00
467.924866,2026-02-10T03:06:00-03:00
467.822174,2026-02-10T03:07:00-03:00
468.102325,2026-02-10T03:08:00-03:00
468.097137,2026-02-10T03:09:00-03:00
467.923157,2026-02-10T03:10:00-03:00
468.367645,2026-02-10T03:11:00-03:00
467.921844,2026-02-10T03:12:00-03:00
468.020355,2026-02-10T03:13:00-03:00
468.0247,2026-02-10T03:14:00-03:00
468.0142,2026-02-10T03:15:00-03:00
467.5585,2026-02-10T03:16:00-03:00
467.84967,2026-02-10T03:17:00-03:00
467.8283,2026-02-10T03:18:00-03:00
467.892151,2026-02-10T03:19:00-03:00
468.403,2026-02-10T03:20:00-03:00
468.084,2026-02-10T03:21:00-03:00
468.324,2026-02-10T03:22:00-03:00
468.397,2026-02-10T03:23:00-03:00
467.971649,2026-02-10T03:24:00-03:00
468.1545,2026-02-10T03:25:00-03:00
467.8425,2026-02-10T03:26:00-03:00
468.090332,2026-02-10T03:27:00-03:00
468.193481,2026-02-10T03:28:00-03:00
467.591675,2026-02-10T03:29:00-03:00
468.2595,2026-02-10T03:30:00-03:00
468.017334,2026-02-10T03:31:00-03:00
467.650024,2026-02-10T03:32:00-03:00
468.281342,2026-02-10T03:33:00-03:00
468.1475,2026-02-10T03:34:00-03:00
467.86,2026-02-10T03:35:00-03:00
468.087,2026-02-10T03:36:00-03:00
467.971344,2026-02-10T03:37:00-03:00
468.06,2026-02-10T03:38:00-03:00
467.90802,2026-02-10T03:39:00-03:00
467.85733,2026-02-10T03:40:00-03:00
467.867859,2026-02-10T03:41:00-03:00
467.648346,2026-02-10T03:42:00-03:00
467.728821,2026-02-10T03:43:00-03:00
468.0225,2026-02-10T03:44:00-03:00
468.172974,2026-02-10T03:45:00-03:00
467.5573,2026-02-10T03:46:00-03:00
467.869141,2026-02-10T03:47:00-03:00
468.024,2026-02-10T03:48:00-03:00
468.26,2026-02-10T03:49:00-03:00
468.163,2026-02-10T03:50:00-03:00
468.398315,2026-02-10T03:51:00-03:00
468.128479,2026-02-10T03:52:00-03:00
468.669983,2026-02-10T03:53:00-03:00
468.34317,2026-02-10T03:54:00-03:00
468.15,2026-02-10T03:55:00-03:00
467.6055,2026-02-10T03:56:00-03:00
467.6225,2026-02-10T03:57:00-03:00
467.916656,2026-02-10T03:58:00-03:00
467.853668,2026-02-10T03:59:00-03:00
467.805664,2026-02-10T04:00:00-03:00
467.67,2026-02-10T04:01:00-03:00
467.9832,2026-02-10T04:02:00-03:00
467.811829,2026-02-10T04:03:00-03:00
467.948,2026-02-10T04:04:00-03:00
467.85,2026-02-10T04:05:00-03:00
467.6725,2026-02-10T04:06:00-03:00
467.792,2026-02-10T04:07:00-03:00
467.605865,2026-02-10T04:08:00-03:00
467.715851,2026-02-10T04:09:00-03:00
467.664154,2026-02-10T04:10:00-03:00
468.089,2026-02-10T04:11:00-03:00
467.891,2026-02-10T04:12:00-03:00
468.211334,2026-02-10T04:13:00-03:00
467.872467,2026-02-10T04:14:00-03:00
468.075653,2026-02-10T04:15:00-03:00
467.606018,2026-02-10T04:16:00-03:00
468.0775,2026-02-10T04:17:00-03:00
467.6705,2026-02-10T04:18:00-03:00
467.78186,2026-02-10T04:19:00-03:00
468.287323,2026-02-10T04:20:00-03:00
467.779816,2026-02-10T04:21:00-03:00
467.769867,2026-02-10T04:22:00-03:00
467.849518,2026-02-10T04:23:00-03:00
467.972,2026-02-10T04:24:00-03:00
468.314667,2026-02-10T04:25:00-03:00
468.254669,2026-02-10T04:26:00-03:00
468.17453,2026-02-10T04:27:00-03:00
468.2595,2026-02-10T04:28:00-03:00
468.062469,2026-02-10T04:29:00-03:00
468.0075,2026-02-10T04:30:00-03:00
467.82,2026-02-10T04:31:00-03:00
467.921326,2026-02-10T04:32:00-03:00
468.237,2026-02-10T04:33:00-03:00
467.7705,2026-02-10T04:34:00-03:00
467.854523,2026-02-10T04:35:00-03:00
467.799164,2026-02-10T04:36:00-03:00
467.860016,2026-02-10T04:37:00-03:00
467.522522,2026-02-10T04:38:00-03:00
467.58667,2026-02-10T04:39:00-03:00
467.739349,2026-02-10T04:40:00-03:00
467.95752,2026-02-10T04:41:00-03:00
468.108673,2026-02-10T04:42:00-03:00
467.898682,2026-02-10T04:43:00-03:00
468.0105,2026-02-10T04:44:00-03:00
468.159,2026-02-10T04:45:00-03:00
468.0915,2026-02-10T04:46:00-03:00
467.811829,2026-02-10T04:47:00-03:00
467.935,2026-02-10T04:48:00-03:00
467.846344,2026-02-10T04:49:00-03:00
468.0993,2026-02-10T04:50:00-03:00
467.799652,2026-02-10T04:51:00-03:00
468.268158,2026-02-10T04:52:00-03:00
468.049316,2026-02-10T04:53:00-03:00
467.925354,2026-02-10T04:54:00-03:00
467.688843,2026-02-10T04:55:00-03:00
467.949341,2026-02-10T04:56:00-03:00
468.19,2026-02-10T04:57:00-03:00
467.905,2026-02-10T04:58:00-03:00
468.1105,2026-02-10T04:59:00-03:00
468.1345,2026-02-10T05:00:00-03:00
467.874176,2026-02-10T05:01:00-03:00
467.6525,2026-02-10T05:02:00-03:00
467.880859,2026-02-10T05:03:00-03:00
467.959869,2026-02-10T05:04:00-03:00
468.089355,2026-02-10T05:05:00-03:00
467.746826,2026-02-10T05:06:00-03:00
467.4297,2026-02-10T05:07:00-03:00
467.943,2026-02-10T05:08:00-03:00
467.512329,2026-02-10T05:09:00-03:00
467.7775,2026-02-10T05:10:00-03:00
467.8778,2026-02-10T05:11:00-03:00
468.019653,2026-02-10T05:12:00-03:00
468.016174,2026-02-10T05:13:00-03:00
468.034149,2026-02-10T05:14:00-03:00
468.4347,2026-02-10T05:15:00-03:00
468.3283,2026-02-10T05:16:00-03:00
468.093323,2026-02-10T05:17:00-03:00
468.29718,2026-02-10T05:18:00-03:00
468.121979,2026-02-10T05:19:00-03:00
468.0073,2026-02-10T05:20:00-03:00
468.6435,2026-02-10T05:21:00-03:00
468.0035,2026-02-10T05:22:00-03:00
467.995,2026-02-10T05:23:00-03:00
467.94397,2026-02-10T05:24:00-03:00
468.280823,2026-02-10T05:25:00-03:00
467.998322,2026-02-10T05:26:00-03:00
467.792023,2026-02-10T05:27:00-03:00
468.055664,2026-02-10T05:28:00-03:00
468.074982,2026-02-10T05:29:00-03:00
468.442841,2026-02-10T05:30:00-03:00
468.098846,2026-02-10T05:31:00-03:00
468.263336,2026-02-10T05:32:00-03:00
468.1385,2026-02-10T05:33:00-03:00
467.754,2026-02-10T05:34:00-03:00
468.1935,2026-02-10T05:35:00-03:00
467.8932,2026-02-10T05:36:00-03:00
468.168335,2026-02-10T05:37:00-03:00
467.871674,2026-02-10T05:38:00-03:00
467.710815,2026-02-10T05:39:00-03:00
467.948334,2026-02-10T05:40:00-03:00
468.183167,2026-02-10T05:41:00-03:00
468.092,2026-02-10T05:42:00-03:00
468.275,2026-02-10T05:43:00-03:00
468.199829,2026-02-10T05:44:00-03:00
468.00647,2026-02-10T05:45:00-03:00
468.030029,2026-02-10T05:46:00-03:00
468.213318,2026-02-10T05:47:00-03:00
468.664825,2026-02-10T05:48:00-03:00
468.2435,2026-02-10T05:49:00-03:00
468.21283,2026-02-10T05:50:00-03:00
468.003326,2026-02-10T05:51:00-03:00
468.147,2026-02-10T05:52:00-03:00
468.407,2026-02-10T05:53:00-03:00
467.834656,2026-02-10T05:54:00-03:00
468.4313,2026-02-10T05:55:00-03:00
468.211151,2026-02-10T05:56:00-03:00
467.897339,2026-02-10T05:57:00-03:00
467.846832,2026-02-10T05:58:00-03:00
468.172668,2026-02-10T05:59:00-03:00
468.104828,2026-02-10T06:00:00-03:00
468.310852,2026-02-10T06:01:00-03:00
468.442,2026-02-10T06:02:00-03:00
468.343,2026-02-10T06:03:00-03:00
468.332855,2026-02-10T06:04:00-03:00
467.819336,2026-02-10T06:05:00-03:00
467.9713,2026-02-10T06:06:00-03:00
467.8373,2026-02-10T06:07:00-03:00
468.0833,2026-02-10T06:08:00-03:00
467.926,2026-02-10T06:09:00-03:00
468.22,2026-02-10T06:10:00-03:00
467.930664,2026-02-10T06:11:00-03:00
468.0875,2026-02-10T06:12:00-03:00
468.199829,2026-02-10T06:13:00-03:00
468.3765,2026-02-10T06:14:00-03:00
468.461823,2026-02-10T06:15:00-03:00
468.0225,2026-02-10T06:16:00-03:00
468.3723,2026-02-10T06:17:00-03:00
468.47998,2026-02-10T06:18:00-03:00
468.158325,2026-02-10T06:19:00-03:00
468.413818,2026-02-10T06:20:00-03:00
468.1683,2026-02-10T06:21:00-03:00
468.336,2026-02-10T06:22:00-03:00
468.689819,2026-02-10T06:23:00-03:00
468.259979,2026-02-10T06:24:00-03:00
468.259979,2026-02-10T06:25:00-03:00
468.434967,2026-02-10T06:26:00-03:00
468.616821,2026-02-10T06:27:00-03:00
468.737671,2026-02-10T06:28:00-03:00
468.279,2026-02-10T06:29:00-03:00
468.306641,2026-02-10T06:30:00-03:00
468.149323,2026-02-10T06:31:00-03:00
468.416,2026-02-10T06:32:00-03:00
468.867157,2026-02-10T06:33:00-03:00
468.489166,2026-02-10T06:34:00-03:00
468.540161,2026-02-10T06:35:00-03:00
468.04715,2026-02-10T06:36:00-03:00
468.247345,2026-02-10T06:37:00-03:00
468.5273,2026-02-10T06:38:00-03:00
468.112,2026-02-10T06:39:00-03:00
468.797516,2026-02-10T06:40:00-03:00
468.241974,2026-02-10T06:41:00-03:00
468.2503,2026-02-10T06:42:00-03:00
468.305817,2026-02-10T06:43:00-03:00
468.1927,2026-02-10T06:44:00-03:00
468.576019,2026-02-10T06:45:00-03:00
468.478668,2026-02-10T06:46:00-03:00
468.312164,2026-02-10T06:47:00-03:00
