geracao,instante
11.9285593,2026-02-10T00:00:00-03:00
11.7353792,2026-02-10T00:01:00-03:00
11.6521492,2026-02-10T00:02:00-03:00
11.3947725,2026-02-10T00:03:00-03:00
11.0544786,2026-02-10T00:04:00-03:00
11.0544786,2026-02-10T00:05:00-03:00
10.8876705,2026-02-10T00:06:00-03:00
10.7838612,2026-02-10T00:07:00-03:00
11.0036535,2026-02-10T00:08:00-03:00
11.3774719,2026-02-10T00:09:00-03:00
11.49746,2026-02-10T00:10:00-03:00
11.9048586,2026-02-10T00:11:00-03:00
12.0518713,2026-02-10T00:12:00-03:00
12.2487812,2026-02-10T00:13:00-03:00
12.2521191,2026-02-10T00:14:00-03:00
12.2521191,2026-02-10T00:15:00-03:00
12.2263374,2026-02-10T00:16:00-03:00
11.9527225,2026-02-10T00:17:00-03:00
11.706461,2026-02-10T00:18:00-03:00
11.4744539,2026-02-10T00:19:00-03:00
11.4363937,2026-02-10T00:20:00-03:00
11.3231,2026-02-10T00:21:00-03:00
11.364625,2026-02-10T00:22:00-03:00
11.5433321,2026-02-10T00:23:00-03:00
11.6326952,2026-02-10T00:24:00-03:00
11.8095484,2026-02-10T00:25:00-03:00
11.8095484,2026-02-10T00:26:00-03:00
11.6983948,2026-02-10T00:27:00-03:00
11.9555626,2026-02-10T00:28:00-03:00
11.9555626,2026-02-10T00:29:00-03:00
11.71786,2026-02-10T00:30:00-03:00
11.3880224,2026-02-10T00:31:00-03:00
10.9916344,2026-02-10T00:32:00-03:00
10.9916344,2026-02-10T00:33:00-03:00
10.9878273,2026-02-10T00:34:00-03:00
10.9907465,2026-02-10T00:35:00-03:00
11.143261,2026-02-10T00:36:00-03:00
11.6217623,2026-02-10T00:37:00-03:00
11.8248825,2026-02-10T00:38:00-03:00
12.0606318,2026-02-10T00:39:00-03:00
11.9208565,2026-02-10T00:40:00-03:00
11.9208565,2026-02-10T00:41:00-03:00
11.9208565,2026-02-10T00:42:00-03:00
11.8153906,2026-02-10T00:43:00-03:00
11.6948576,2026-02-10T00:44:00-03:00
11.6381779,2026-02-10T00:45:00-03:00
11.48231,2026-02-10T00:46:00-03:00
11.5992146,2026-02-10T00:47:00-03:00
11.6827183,2026-02-10T00:48:00-03:00
11.5664644,2026-02-10T00:49:00-03:00
11.5105467,2026-02-10T00:50:00-03:00
11.5546942,2026-02-10T00:51:00-03:00
11.5515728,2026-02-10T00:52:00-03:00
11.6078167,2026-02-10T00:53:00-03:00
11.6078167,2026-02-10T00:54:00-03:00
11.509922,2026-02-10T00:55:00-03:00
10.8483477,2026-02-10T00:56:00-03:00
10.7152119,2026-02-10T00:57:00-03:00
10.7152119,2026-02-10T00:58:00-03:00
10.7152119,2026-02-10T00:59:00-03:00
10.8632679,2026-02-10T01:00:00-03:00
11.2548857,2026-02-10T01:01:00-03:00
11.6080751,2026-02-10T01:02:00-03:00
11.7750225,2026-02-10T01:03:00-03:00
11.6160622,2026-02-10T01:04:00-03:00
11.530468,2026-02-10T01:05:00-03:00
11.4009027,2026-02-10T01:06:00-03:00
11.511157,2026-02-10T01:07:00-03:00
11.5898952,2026-02-10T01:08:00-03:00
11.5898952,2026-02-10T01:09:00-03:00
11.5898952,2026-02-10T01:10:00-03:00
11.7152834,2026-02-10T01:11:00-03:00
11.6831532,2026-02-10T01:12:00-03:00
11.7968674,2026-02-10T01:13:00-03:00
