geracao,instante
6780.67,2026-02-10T00:00:00-03:00
6780.335,2026-02-10T00:01:00-03:00
6783.605,2026-02-10T00:02:00-03:00
6779.13867,2026-02-10T00:03:00-03:00
6772.5083,2026-02-10T00:04:00-03:00
6770.65039,2026-02-10T00:05:00-03:00
6789.744,2026-02-10T00:06:00-03:00
6797.487,2026-02-10T00:07:00-03:00
6787.80664,2026-02-10T00:08:00-03:00
6782.65967,2026-02-10T00:09:00-03:00
6776.92,2026-02-10T00:10:00-03:00
6774.181,2026-02-10T00:11:00-03:00
6784.54541,2026-02-10T00:12:00-03:00
6777.39746,2026-02-10T00:13:00-03:00
6767.68457,2026-02-10T00:14:00-03:00
6751.26563,2026-02-10T00:15:00-03:00
6732.38,2026-02-10T00:16:00-03:00
6728.335,2026-02-10T00:17:00-03:00
6730.15967,2026-02-10T00:18:00-03:00
6735.45459,2026-02-10T00:19:00-03:00
6730.355,2026-02-10T00:20:00-03:00
6745.034,2026-02-10T00:21:00-03:00
6748.54639,2026-02-10T00:22:00-03:00
6752.547,2026-02-10T00:23:00-03:00
6757.07666,2026-02-10T00:24:00-03:00
6759.823,2026-02-10T00:25:00-03:00
6743.30957,2026-02-10T00:26:00-03:00
6730.759,2026-02-10T00:27:00-03:00
6734.12158,2026-02-10T00:28:00-03:00
6734.57568,2026-02-10T00:29:00-03:00
6734.26074,2026-02-10T00:30:00-03:00
6732.86768,2026-02-10T00:31:00-03:00
6739.565,2026-02-10T00:32:00-03:00
6735.87256,2026-02-10T00:33:00-03:00
6730.319,2026-02-10T00:34:00-03:00
6727.46143,2026-02-10T00:35:00-03:00
6738.23,2026-02-10T00:36:00-03:00
6745.846,2026-02-10T00:37:00-03:00
6743.80127,2026-02-10T00:38:00-03:00
6736.861,2026-02-10T00:39:00-03:00
6730.545,2026-02-10T00:40:00-03:00
6731.58643,2026-02-10T00:41:00-03:00
6738.27246,2026-02-10T00:42:00-03:00
6733.303,2026-02-10T00:43:00-03:00
6731.959,2026-02-10T00:44:00-03:00
6736.61,2026-02-10T00:45:00-03:00
6738.259,2026-02-10T00:46:00-03:00
6750.913,2026-02-10T00:47:00-03:00
6754.8335,2026-02-10T00:48:00-03:00
6760.48828,2026-02-10T00:49:00-03:00
6757.58154,2026-02-10T00:50:00-03:00
6756.938,2026-02-10T00:51:00-03:00
6761.59229,2026-02-10T00:52:00-03:00
6760.408,2026-02-10T00:53:00-03:00
6753.23828,2026-02-10T00:54:00-03:00
6745.71875,2026-02-10T00:55:00-03:00
6740.901,2026-02-10T00:56:00-03:00
6740.178,2026-02-10T00:57:00-03:00
6743.187,2026-02-10T00:58:00-03:00
6743.212,2026-02-10T00:59:00-03:00
6741.136,2026-02-10T01:00:00-03:00
6746.51074,2026-02-10T01:01:00-03:00
6742.631,2026-02-10T01:02:00-03:00
6748.983,2026-02-10T01:03:00-03:00
6747.84473,2026-02-10T01:04:00-03:00
6742.5376,2026-02-10T01:05:00-03:00
6739.34961,2026-02-10T01:06:00-03:00
6733.442,2026-02-10T01:07:00-03:00
6737.42334,2026-02-10T01:08:00-03:00
6731.17969,2026-02-10T01:09:00-03:00
6735.943,2026-02-10T01:10:00-03:00
6737.5415,2026-02-10T01:11:00-03:00
6735.566,2026-02-10T01:12:00-03:00
6750.12256,2026-02-10T01:13:00-03:00
6745.80859,2026-02-10T01:14:00-03:00
6740.96045,2026-02-10T01:15:00-03:00
6733.88574,2026-02-10T01:16:00-03:00
6737.1543,2026-02-10T01:17:00-03:00
6746.178,2026-02-10T01:18:00-03:00
6721.2207,2026-02-10T01:19:00-03:00
6717.88965,2026-02-10T01:20:00-03:00
6722.864,2026-02-10T01:21:00-03:00
6716.575,2026-02-10T01:22:00-03:00
6711.637,2026-02-10T01:23:00-03:00
6716.035,2026-02-10T01:24:00-03:00
6716.498,2026-02-10T01:25:00-03:00
6718.976,2026-02-10T01:26:00-03:00
6711.493,2026-02-10T01:27:00-03:00
6705.288,2026-02-10T01:28:00-03:00
6707.16064,2026-02-10T01:29:00-03:00
6712.462,2026-02-10T01:30:00-03:00
6712.462,2026-02-10T01:31:00-03:00
6701.715,2026-02-10T01:32:00-03:00
6695.85742,2026-02-10T01:33:00-03:00
6696.489,2026-02-10T01:34:00-03:00
6696.35547,2026-02-10T01:35:00-03:00
6693.819,2026-02-10T01:36:00-03:00
6691.65625,2026-02-10T01:37:00-03:00
6685.685,2026-02-10T01:38:00-03:00
6677.55029,2026-02-10T01:39:00-03:00
6679.899,2026-02-10T01:40:00-03:00
6668.137,2026-02-10T01:41:00-03:00
6665.74268,2026-02-10T01:42:00-03:00
6666.584,2026-02-10T01:43:00-03:00
6671.29053,2026-02-10T01:44:00-03:00
6671.042,2026-02-10T01:45:00-03:00
6663.43262,2026-02-10T01:46:00-03:00
6667.2915,2026-02-10T01:47:00-03:00
6667.99463,2026-02-10T01:48:00-03:00
6673.72656,2026-02-10T01:49:00-03:00
6694.401,2026-02-10T01:50:00-03:00
6714.30029,2026-02-10T01:51:00-03:00
6723.971,2026-02-10T01:52:00-03:00
6724.69873,2026-02-10T01:53:00-03:00
6728.52,2026-02-10T01:54:00-03:00
6732.86,2026-02-10T01:55:00-03:00
6737.06641,2026-02-10T01:56:00-03:00
6737.798,2026-02-10T01:57:00-03:00
6738.029,2026-02-10T01:58:00-03:00
6737.949,2026-02-10T01:59:00-03:00
6737.29639,2026-02-10T02:00:00-03:00
6735.78,2026-02-10T02:01:00-03:00
6735.08936,2026-02-10T02:02:00-03:00
6740.794,2026-02-10T02:03:00-03:00
6741.685,2026-02-10T02:04:00-03:00
6742.532,2026-02-10T02:05:00-03:00
6744.28,2026-02-10T02:06:00-03:00
6747.912,2026-02-10T02:07:00-03:00
6743.185,2026-02-10T02:08:00-03:00
6734.94531,2026-02-10T02:09:00-03:00
6731.40771,2026-02-10T02:10:00-03:00
6734.07471,2026-02-10T02:11:00-03:00
6735.129,2026-02-10T02:12:00-03:00
6738.15234,2026-02-10T02:13:00-03:00
6741.324,2026-02-10T02:14:00-03:00
6738.97,2026-02-10T02:15:00-03:00
6732.078,2026-02-10T02:16:00-03:00
6722.411,2026-02-10T02:17:00-03:00
6722.9375,2026-02-10T02:18:00-03:00
6725.16162,2026-02-10T02:19:00-03:00
6723.598,2026-02-10T02:20:00-03:00
6721.858,2026-02-10T02:21:00-03:00
6726.847,2026-02-10T02:22:00-03:00
6724.76,2026-02-10T02:23:00-03:00
6724.197,2026-02-10T02:24:00-03:00
6723.52344,2026-02-10T02:25:00-03:00
6726.79,2026-02-10T02:26:00-03:00
6731.47754,2026-02-10T02:27:00-03:00
6735.907,2026-02-10T02:28:00-03:00
6731.64941,2026-02-10T02:29:00-03:00
6740.55664,2026-02-10T02:30:00-03:00
6746.98145,2026-02-10T02:31:00-03:00
6742.30127,2026-02-10T02:32:00-03:00
6741.839,2026-02-10T02:33:00-03:00
6741.402,2026-02-10T02:34:00-03:00
6743.94336,2026-02-10T02:35:00-03:00
