geracao,instante
31.32513,2026-02-10T00:00:00-03:00
31.344532,2026-02-10T00:01:00-03:00
31.1736984,2026-02-10T00:02:00-03:00
30.91328,2026-02-10T00:03:00-03:00
31.00586,2026-02-10T00:04:00-03:00
30.31953,2026-02-10T00:05:00-03:00
30.4048176,2026-02-10T00:06:00-03:00
30.7154942,2026-02-10T00:07:00-03:00
30.6786461,2026-02-10T00:08:00-03:00
30.4841137,2026-02-10T00:09:00-03:00
30.6757813,2026-02-10T00:10:00-03:00
31.1975269,2026-02-10T00:11:00-03:00
32.7604179,2026-02-10T00:12:00-03:00
33.17448,2026-02-10T00:13:00-03:00
34.99193,2026-02-10T00:14:00-03:00
36.2914047,2026-02-10T00:15:00-03:00
36.77578,2026-02-10T00:16:00-03:00
38.4556,2026-02-10T00:17:00-03:00
37.592968,2026-02-10T00:18:00-03:00
37.7654953,2026-02-10T00:19:00-03:00
38.0536461,2026-02-10T00:20:00-03:00
36.522007,2026-02-10T00:21:00-03:00
37.041275,2026-02-10T00:22:00-03:00
36.60612,2026-02-10T00:23:00-03:00
35.23776,2026-02-10T00:24:00-03:00
35.689064,2026-02-10T00:25:00-03:00
35.12461,2026-02-10T00:26:00-03:00
35.2157555,2026-02-10T00:27:00-03:00
35.4451828,2026-02-10T00:28:00-03:00
34.452343,2026-02-10T00:29:00-03:00
34.8546867,2026-02-10T00:30:00-03:00
35.5545578,2026-02-10T00:31:00-03:00
36.51224,2026-02-10T00:32:00-03:00
37.8915367,2026-02-10T00:33:00-03:00
39.448307,2026-02-10T00:34:00-03:00
40.1484375,2026-02-10T00:35:00-03:00
41.0575523,2026-02-10T00:36:00-03:00
41.8851547,2026-02-10T00:37:00-03:00
43.0608063,2026-02-10T00:38:00-03:00
42.34349,2026-02-10T00:39:00-03:00
41.5290375,2026-02-10T00:40:00-03:00
40.75729,2026-02-10T00:41:00-03:00
40.2583351,2026-02-10T00:42:00-03:00
40.18138,2026-02-10T00:43:00-03:00
41.0694,2026-02-10T00:44:00-03:00
40.3398438,2026-02-10T00:45:00-03:00
40.5347672,2026-02-10T00:46:00-03:00
41.6223946,2026-02-10T00:47:00-03:00
41.655468,2026-02-10T00:48:00-03:00
41.698307,2026-02-10T00:49:00-03:00
43.21055,2026-02-10T00:50:00-03:00
44.0713539,2026-02-10T00:51:00-03:00
45.3148422,2026-02-10T00:52:00-03:00
45.1843758,2026-02-10T00:53:00-03:00
45.02096,2026-02-10T00:54:00-03:00
44.4890633,2026-02-10T00:55:00-03:00
44.77448,2026-02-10T00:56:00-03:00
43.7769547,2026-02-10T00:57:00-03:00
