geracao,instante
35888.6953,2026-02-10T00:00:00-03:00
35873.3438,2026-02-10T00:01:00-03:00
35795.48,2026-02-10T00:02:00-03:00
35791.8359,2026-02-10T00:03:00-03:00
35777.91,2026-02-10T00:04:00-03:00
35839.125,2026-02-10T00:05:00-03:00
35841.39,2026-02-10T00:06:00-03:00
35888.4922,2026-02-10T00:07:00-03:00
35886.69,2026-02-10T00:08:00-03:00
35909.043,2026-02-10T00:09:00-03:00
35845.6875,2026-02-10T00:10:00-03:00
35843.5273,2026-02-10T00:11:00-03:00
35805.0039,2026-02-10T00:12:00-03:00
35711.4375,2026-02-10T00:13:00-03:00
35612.8867,2026-02-10T00:14:00-03:00
35592.7734,2026-02-10T00:15:00-03:00
35512.02,2026-02-10T00:16:00-03:00
35464.51,2026-02-10T00:17:00-03:00
35449.71,2026-02-10T00:18:00-03:00
35383.99,2026-02-10T00:19:00-03:00
35348.9258,2026-02-10T00:20:00-03:00
35294.5,2026-02-10T00:21:00-03:00
35284.4727,2026-02-10T00:22:00-03:00
35247.9375,2026-02-10T00:23:00-03:00
35273.5742,2026-02-10T00:24:00-03:00
35299.6953,2026-02-10T00:25:00-03:00
35325.76,2026-02-10T00:26:00-03:00
35370.4375,2026-02-10T00:27:00-03:00
35233.47,2026-02-10T00:28:00-03:00
35197.5352,2026-02-10T00:29:00-03:00
35176.0469,2026-02-10T00:30:00-03:00
35142.207,2026-02-10T00:31:00-03:00
35051.707,2026-02-10T00:32:00-03:00
34919.1055,2026-02-10T00:33:00-03:00
34912.2461,2026-02-10T00:34:00-03:00
35016.3,2026-02-10T00:35:00-03:00
34937.5938,2026-02-10T00:36:00-03:00
35011.0625,2026-02-10T00:37:00-03:00
35126.793,2026-02-10T00:38:00-03:00
35147.63,2026-02-10T00:39:00-03:00
35206.79,2026-02-10T00:40:00-03:00
35068.78,2026-02-10T00:41:00-03:00
34970.14,2026-02-10T00:42:00-03:00
34975.9531,2026-02-10T00:43:00-03:00
34928.39,2026-02-10T00:44:00-03:00
34786.89,2026-02-10T00:45:00-03:00
34766.1758,2026-02-10T00:46:00-03:00
34676.6641,2026-02-10T00:47:00-03:00
34661.84,2026-02-10T00:48:00-03:00
34759.7461,2026-02-10T00:49:00-03:00
34637.082,2026-02-10T00:50:00-03:00
34639.4258,2026-02-10T00:51:00-03:00
34686.2578,2026-02-10T00:52:00-03:00
34594.8477,2026-02-10T00:53:00-03:00
34509.2734,2026-02-10T00:54:00-03:00
34463.3242,2026-02-10T00:55:00-03:00
34407.2578,2026-02-10T00:56:00-03:00
34420.0273,2026-02-10T00:57:00-03:00
34375.15,2026-02-10T00:58:00-03:00
34340.7773,2026-02-10T00:59:00-03:00
34348.76,2026-02-10T01:00:00-03:00
34295.1563,2026-02-10T01:01:00-03:00
34164.9023,2026-02-10T01:02:00-03:00
34102.6953,2026-02-10T01:03:00-03:00
34080.082,2026-02-10T01:04:00-03:00
34148.7422,2026-02-10T01:05:00-03:00
33979.0859,2026-02-10T01:06:00-03:00
33861.27,2026-02-10T01:07:00-03:00
33806.5547,2026-02-10T01:08:00-03:00
33799.2266,2026-02-10T01:09:00-03:00
33715.043,2026-02-10T01:10:00-03:00
33630.21,2026-02-10T01:11:00-03:00
33567.14,2026-02-10T01:12:00-03:00
33483.3125,2026-02-10T01:13:00-03:00
33535.6055,2026-02-10T01:14:00-03:00
33499.1445,2026-02-10T01:15:00-03:00
33535.61,2026-02-10T01:16:00-03:00
