geracao,instante
9.066419,2026-02-10T00:00:00-03:00
9.010543,2026-02-10T00:01:00-03:00
8.863039,2026-02-10T00:02:00-03:00
8.492017,2026-02-10T00:03:00-03:00
8.114446,2026-02-10T00:04:00-03:00
8.114446,2026-02-10T00:05:00-03:00
8.114446,2026-02-10T00:06:00-03:00
7.90289974,2026-02-10T00:07:00-03:00
8.081305,2026-02-10T00:08:00-03:00
8.495775,2026-02-10T00:09:00-03:00
8.495775,2026-02-10T00:10:00-03:00
9.024521,2026-02-10T00:11:00-03:00
9.344992,2026-02-10T00:12:00-03:00
9.344992,2026-02-10T00:13:00-03:00
9.344992,2026-02-10T00:14:00-03:00
9.344992,2026-02-10T00:15:00-03:00
9.344992,2026-02-10T00:16:00-03:00
9.235262,2026-02-10T00:17:00-03:00
9.083539,2026-02-10T00:18:00-03:00
8.7119875,2026-02-10T00:19:00-03:00
8.684399,2026-02-10T00:20:00-03:00
8.4755125,2026-02-10T00:21:00-03:00
8.508103,2026-02-10T00:22:00-03:00
8.793765,2026-02-10T00:23:00-03:00
8.825727,2026-02-10T00:24:00-03:00
8.825727,2026-02-10T00:25:00-03:00
8.825727,2026-02-10T00:26:00-03:00
8.736263,2026-02-10T00:27:00-03:00
8.949404,2026-02-10T00:28:00-03:00
8.949404,2026-02-10T00:29:00-03:00
8.935121,2026-02-10T00:30:00-03:00
8.475795,2026-02-10T00:31:00-03:00
8.130842,2026-02-10T00:32:00-03:00
8.061413,2026-02-10T00:33:00-03:00
7.981748,2026-02-10T00:34:00-03:00
8.118003,2026-02-10T00:35:00-03:00
8.243993,2026-02-10T00:36:00-03:00
8.619993,2026-02-10T00:37:00-03:00
8.846805,2026-02-10T00:38:00-03:00
9.137312,2026-02-10T00:39:00-03:00
9.065956,2026-02-10T00:40:00-03:00
9.065956,2026-02-10T00:41:00-03:00
9.065956,2026-02-10T00:42:00-03:00
9.065956,2026-02-10T00:43:00-03:00
9.065956,2026-02-10T00:44:00-03:00
9.065956,2026-02-10T00:45:00-03:00
9.065956,2026-02-10T00:46:00-03:00
9.065956,2026-02-10T00:47:00-03:00
8.784001,2026-02-10T00:48:00-03:00
8.69736,2026-02-10T00:49:00-03:00
8.524078,2026-02-10T00:50:00-03:00
8.524078,2026-02-10T00:51:00-03:00
8.60763,2026-02-10T00:52:00-03:00
8.665547,2026-02-10T00:53:00-03:00
8.802172,2026-02-10T00:54:00-03:00
8.618214,2026-02-10T00:55:00-03:00
7.965223,2026-02-10T00:56:00-03:00
7.823541,2026-02-10T00:57:00-03:00
7.823541,2026-02-10T00:58:00-03:00
7.963938,2026-02-10T00:59:00-03:00
8.029,2026-02-10T01:00:00-03:00
8.294288,2026-02-10T01:01:00-03:00
8.555168,2026-02-10T01:02:00-03:00
8.555168,2026-02-10T01:03:00-03:00
8.363367,2026-02-10T01:04:00-03:00
8.26009,2026-02-10T01:05:00-03:00
8.117273,2026-02-10T01:06:00-03:00
8.180111,2026-02-10T01:07:00-03:00
8.612668,2026-02-10T01:08:00-03:00
