geracao,instante
2264.86841,2026-02-10T00:00:00-03:00
2261.62646,2026-02-10T00:01:00-03:00
2263.075,2026-02-10T00:02:00-03:00
2258.146,2026-02-10T00:03:00-03:00
2254.80054,2026-02-10T00:04:00-03:00
2253.09351,2026-02-10T00:05:00-03:00
2272.05957,2026-02-10T00:06:00-03:00
2278.82056,2026-02-10T00:07:00-03:00
2271.65942,2026-02-10T00:08:00-03:00
2267.09375,2026-02-10T00:09:00-03:00
2262.837,2026-02-10T00:10:00-03:00
2260.89648,2026-02-10T00:11:00-03:00
2268.51416,2026-02-10T00:12:00-03:00
2265.48828,2026-02-10T00:13:00-03:00
2254.80078,2026-02-10T00:14:00-03:00
2233.78223,2026-02-10T00:15:00-03:00
2215.57178,2026-02-10T00:16:00-03:00
2212.674,2026-02-10T00:17:00-03:00
2213.875,2026-02-10T00:18:00-03:00
2217.81519,2026-02-10T00:19:00-03:00
2216.678,2026-02-10T00:20:00-03:00
2218.63818,2026-02-10T00:21:00-03:00
2220.71924,2026-02-10T00:22:00-03:00
2225.5708,2026-02-10T00:23:00-03:00
2230.51245,2026-02-10T00:24:00-03:00
2232.18555,2026-02-10T00:25:00-03:00
2230.13257,2026-02-10T00:26:00-03:00
2228.98633,2026-02-10T00:27:00-03:00
2229.36768,2026-02-10T00:28:00-03:00
2227.812,2026-02-10T00:29:00-03:00
2219.865,2026-02-10T00:30:00-03:00
2219.9895,2026-02-10T00:31:00-03:00
2226.10547,2026-02-10T00:32:00-03:00
2225.93,2026-02-10T00:33:00-03:00
2224.85986,2026-02-10T00:34:00-03:00
2224.79053,2026-02-10T00:35:00-03:00
2223.8457,2026-02-10T00:36:00-03:00
2221.79663,2026-02-10T00:37:00-03:00
2220.27881,2026-02-10T00:38:00-03:00
2215.64453,2026-02-10T00:39:00-03:00
2213.76245,2026-02-10T00:40:00-03:00
2215.26147,2026-02-10T00:41:00-03:00
2219.34082,2026-02-10T00:42:00-03:00
2219.08276,2026-02-10T00:43:00-03:00
2214.04419,2026-02-10T00:44:00-03:00
2214.14478,2026-02-10T00:45:00-03:00
2218.55542,2026-02-10T00:46:00-03:00
2230.17529,2026-02-10T00:47:00-03:00
2231.84082,2026-02-10T00:48:00-03:00
2235.09326,2026-02-10T00:49:00-03:00
2235.45435,2026-02-10T00:50:00-03:00
2232.90283,2026-02-10T00:51:00-03:00
2235.1123,2026-02-10T00:52:00-03:00
2233.779,2026-02-10T00:53:00-03:00
2231.589,2026-02-10T00:54:00-03:00
2229.16968,2026-02-10T00:55:00-03:00
2228.09644,2026-02-10T00:56:00-03:00
2230.068,2026-02-10T00:57:00-03:00
2234.12061,2026-02-10T00:58:00-03:00
2233.47388,2026-02-10T00:59:00-03:00
2231.32349,2026-02-10T01:00:00-03:00
2232.7002,2026-02-10T01:01:00-03:00
2229.56079,2026-02-10T01:02:00-03:00
2231.936,2026-02-10T01:03:00-03:00
2232.10083,2026-02-10T01:04:00-03:00
2225.434,2026-02-10T01:05:00-03:00
2223.427,2026-02-10T01:06:00-03:00
2220.892,2026-02-10T01:07:00-03:00
2223.81128,2026-02-10T01:08:00-03:00
2221.79761,2026-02-10T01:09:00-03:00
2226.192,2026-02-10T01:10:00-03:00
2227.68286,2026-02-10T01:11:00-03:00
2226.98413,2026-02-10T01:12:00-03:00
2232.52026,2026-02-10T01:13:00-03:00
2232.767,2026-02-10T01:14:00-03:00
2237.083,2026-02-10T01:15:00-03:00
2233.623,2026-02-10T01:16:00-03:00
2229.494,2026-02-10T01:17:00-03:00
