geracao,instante
1124.55737,2026-02-10T00:00:00-03:00
1128.11938,2026-02-10T00:01:00-03:00
1125.52673,2026-02-10T00:02:00-03:00
1128.23535,2026-02-10T00:03:00-03:00
1133.67322,2026-02-10T00:04:00-03:00
1134.10791,2026-02-10T00:05:00-03:00
1133.68286,2026-02-10T00:06:00-03:00
1134.29614,2026-02-10T00:07:00-03:00
1144.60327,2026-02-10T00:08:00-03:00
1144.335,2026-02-10T00:09:00-03:00
1147.06873,2026-02-10T00:10:00-03:00
1147.44434,2026-02-10T00:11:00-03:00
1148.22961,2026-02-10T00:12:00-03:00
1147.1416,2026-02-10T00:13:00-03:00
1148.01709,2026-02-10T00:14:00-03:00
1150.5083,2026-02-10T00:15:00-03:00
1153.99084,2026-02-10T00:16:00-03:00
1149.82373,2026-02-10T00:17:00-03:00
1145.05945,2026-02-10T00:18:00-03:00
1141.40845,2026-02-10T00:19:00-03:00
1146.40161,2026-02-10T00:20:00-03:00
1146.7832,2026-02-10T00:21:00-03:00
1150.99487,2026-02-10T00:22:00-03:00
1153.0448,2026-02-10T00:23:00-03:00
1149.60791,2026-02-10T00:24:00-03:00
1158.88269,2026-02-10T00:25:00-03:00
1162.25964,2026-02-10T00:26:00-03:00
1158.89136,2026-02-10T00:27:00-03:00
1153.02148,2026-02-10T00:28:00-03:00
1152.59656,2026-02-10T00:29:00-03:00
1147.68652,2026-02-10T00:30:00-03:00
1147.597,2026-02-10T00:31:00-03:00
1142.36755,2026-02-10T00:32:00-03:00
1137.27661,2026-02-10T00:33:00-03:00
1126.06653,2026-02-10T00:34:00-03:00
1114.69263,2026-02-10T00:35:00-03:00
1106.81934,2026-02-10T00:36:00-03:00
1105.20361,2026-02-10T00:37:00-03:00
1101.47485,2026-02-10T00:38:00-03:00
1099.98132,2026-02-10T00:39:00-03:00
1101.1217,2026-02-10T00:40:00-03:00
1101.93469,2026-02-10T00:41:00-03:00
1093.52893,2026-02-10T00:42:00-03:00
1090.96289,2026-02-10T00:43:00-03:00
1087.46387,2026-02-10T00:44:00-03:00
1089.16492,2026-02-10T00:45:00-03:00
1091.94421,2026-02-10T00:46:00-03:00
1089.85571,2026-02-10T00:47:00-03:00
1088.03,2026-02-10T00:48:00-03:00
1091.28979,2026-02-10T00:49:00-03:00
1090.61584,2026-02-10T00:50:00-03:00
1086.8501,2026-02-10T00:51:00-03:00
1082.06067,2026-02-10T00:52:00-03:00
1088.02124,2026-02-10T00:53:00-03:00
1089.64355,2026-02-10T00:54:00-03:00
1092.3938,2026-02-10T00:55:00-03:00
1095.74878,2026-02-10T00:56:00-03:00
1087.59387,2026-02-10T00:57:00-03:00
1091.33179,2026-02-10T00:58:00-03:00
1088.79932,2026-02-10T00:59:00-03:00
1085.94653,2026-02-10T01:00:00-03:00
1094.20752,2026-02-10T01:01:00-03:00
1088.25256,2026-02-10T01:02:00-03:00
1092.88269,2026-02-10T01:03:00-03:00
1095.42139,2026-02-10T01:04:00-03:00
1095.49158,2026-02-10T01:05:00-03:00
1094.09973,2026-02-10T01:06:00-03:00
1101.148,2026-02-10T01:07:00-03:00
1098.42883,2026-02-10T01:08:00-03:00
1100.17432,2026-02-10T01:09:00-03:00
1100.76965,2026-02-10T01:10:00-03:00
1100.2666,2026-02-10T01:11:00-03:00
1094.7533,2026-02-10T01:12:00-03:00
1092.53369,2026-02-10T01:13:00-03:00
1089.92126,2026-02-10T01:14:00-03:00
1091.126,2026-02-10T01:15:00-03:00
1089.41,2026-02-10T01:16:00-03:00
1089.66248,2026-02-10T01:17:00-03:00
1089.05774,2026-02-10T01:18:00-03:00
1086.21167,2026-02-10T01:19:00-03:00
1085.27307,2026-02-10T01:20:00-03:00
1077.68066,2026-02-10T01:21:00-03:00
1081.62329,2026-02-10T01:22:00-03:00
1082.83789,2026-02-10T01:23:00-03:00
1081.16663,2026-02-10T01:24:00-03:00
1071.88757,2026-02-10T01:25:00-03:00
1066.30444,2026-02-10T01:26:00-03:00
1067.56628,2026-02-10T01:27:00-03:00
1072.72229,2026-02-10T01:28:00-03:00
1073.21179,2026-02-10T01:29:00-03:00
1073.76257,2026-02-10T01:30:00-03:00
1078.05261,2026-02-10T01:31:00-03:00
1078.21228,2026-02-10T01:32:00-03:00
1076.69678,2026-02-10T01:33:00-03:00
1080.39111,2026-02-10T01:34:00-03:00
1073.78564,2026-02-10T01:35:00-03:00
1065.09912,2026-02-10T01:36:00-03:00
1064.95752,2026-02-10T01:37:00-03:00
1060.36035,2026-02-10T01:38:00-03:00
1060.04883,2026-02-10T01:39:00-03:00
1050.40833,2026-02-10T01:40:00-03:00
1049.13831,2026-02-10T01:41:00-03:00
1039.35364,2026-02-10T01:42:00-03:00
1045.98413,2026-02-10T01:43:00-03:00
1039.39368,2026-02-10T01:44:00-03:00
1044.99231,2026-02-10T01:45:00-03:00
1042.57349,2026-02-10T01:46:00-03:00
1045.899,2026-02-10T01:47:00-03:00
