geracao,instante
7417.15527,2026-02-10T00:00:00-03:00
7376.745,2026-02-10T00:01:00-03:00
7340.11426,2026-02-10T00:02:00-03:00
7300.03,2026-02-10T00:03:00-03:00
7305.80029,2026-02-10T00:04:00-03:00
7206.886,2026-02-10T00:05:00-03:00
7086.24658,2026-02-10T00:06:00-03:00
6991.83252,2026-02-10T00:07:00-03:00
6937.58,2026-02-10T00:08:00-03:00
6966.11865,2026-02-10T00:09:00-03:00
6934.936,2026-02-10T00:10:00-03:00
6983.202,2026-02-10T00:11:00-03:00
7012.462,2026-02-10T00:12:00-03:00
7023.19141,2026-02-10T00:13:00-03:00
7001.224,2026-02-10T00:14:00-03:00
7014.797,2026-02-10T00:15:00-03:00
7023.44873,2026-02-10T00:16:00-03:00
7039.081,2026-02-10T00:17:00-03:00
7008.285,2026-02-10T00:18:00-03:00
7018.1333,2026-02-10T00:19:00-03:00
6998.932,2026-02-10T00:20:00-03:00
6885.908,2026-02-10T00:21:00-03:00
6743.44727,2026-02-10T00:22:00-03:00
6637.79834,2026-02-10T00:23:00-03:00
6596.316,2026-02-10T00:24:00-03:00
6572.349,2026-02-10T00:25:00-03:00
6538.29639,2026-02-10T00:26:00-03:00
6527.487,2026-02-10T00:27:00-03:00
6493.843,2026-02-10T00:28:00-03:00
6440.839,2026-02-10T00:29:00-03:00
6387.30029,2026-02-10T00:30:00-03:00
6399.87256,2026-02-10T00:31:00-03:00
6364.05469,2026-02-10T00:32:00-03:00
6368.30127,2026-02-10T00:33:00-03:00
6359.766,2026-02-10T00:34:00-03:00
6215.752,2026-02-10T00:35:00-03:00
6189.49756,2026-02-10T00:36:00-03:00
6248.13037,2026-02-10T00:37:00-03:00
6263.74951,2026-02-10T00:38:00-03:00
6294.54736,2026-02-10T00:39:00-03:00
6342.948,2026-02-10T00:40:00-03:00
6350.44873,2026-02-10T00:41:00-03:00
6353.621,2026-02-10T00:42:00-03:00
6347.113,2026-02-10T00:43:00-03:00
6334.902,2026-02-10T00:44:00-03:00
6355.69434,2026-02-10T00:45:00-03:00
6364.82471,2026-02-10T00:46:00-03:00
6338.89551,2026-02-10T00:47:00-03:00
6305.282,2026-02-10T00:48:00-03:00
