geracao,instante
884.858948,2026-02-10T00:00:00-03:00
886.3506,2026-02-10T00:01:00-03:00
888.271545,2026-02-10T00:02:00-03:00
887.3371,2026-02-10T00:03:00-03:00
884.0085,2026-02-10T00:04:00-03:00
885.350952,2026-02-10T00:05:00-03:00
888.7239,2026-02-10T00:06:00-03:00
889.5205,2026-02-10T00:07:00-03:00
888.4737,2026-02-10T00:08:00-03:00
889.191345,2026-02-10T00:09:00-03:00
884.3525,2026-02-10T00:10:00-03:00
882.7546,2026-02-10T00:11:00-03:00
884.4702,2026-02-10T00:12:00-03:00
883.065857,2026-02-10T00:13:00-03:00
884.0888,2026-02-10T00:14:00-03:00
887.333252,2026-02-10T00:15:00-03:00
887.977966,2026-02-10T00:16:00-03:00
886.6856,2026-02-10T00:17:00-03:00
886.2016,2026-02-10T00:18:00-03:00
886.9261,2026-02-10T00:19:00-03:00
882.869446,2026-02-10T00:20:00-03:00
884.329041,2026-02-10T00:21:00-03:00
886.5201,2026-02-10T00:22:00-03:00
888.8106,2026-02-10T00:23:00-03:00
889.867859,2026-02-10T00:24:00-03:00
888.588562,2026-02-10T00:25:00-03:00
884.639832,2026-02-10T00:26:00-03:00
876.193542,2026-02-10T00:27:00-03:00
876.834,2026-02-10T00:28:00-03:00
878.3911,2026-02-10T00:29:00-03:00
882.999268,2026-02-10T00:30:00-03:00
884.601746,2026-02-10T00:31:00-03:00
882.544434,2026-02-10T00:32:00-03:00
877.8758,2026-02-10T00:33:00-03:00
874.017,2026-02-10T00:34:00-03:00
873.1005,2026-02-10T00:35:00-03:00
881.1749,2026-02-10T00:36:00-03:00
889.942261,2026-02-10T00:37:00-03:00
891.3047,2026-02-10T00:38:00-03:00
886.8221,2026-02-10T00:39:00-03:00
885.1519,2026-02-10T00:40:00-03:00
885.6472,2026-02-10T00:41:00-03:00
889.486938,2026-02-10T00:42:00-03:00
886.7234,2026-02-10T00:43:00-03:00
889.3018,2026-02-10T00:44:00-03:00
892.457031,2026-02-10T00:45:00-03:00
890.3216,2026-02-10T00:46:00-03:00
888.657837,2026-02-10T00:47:00-03:00
886.561951,2026-02-10T00:48:00-03:00
885.206543,2026-02-10T00:49:00-03:00
883.382568,2026-02-10T00:50:00-03:00
887.609863,2026-02-10T00:51:00-03:00
889.127441,2026-02-10T00:52:00-03:00
891.8832,2026-02-10T00:53:00-03:00
889.8223,2026-02-10T00:54:00-03:00
887.0352,2026-02-10T00:55:00-03:00
884.398438,2026-02-10T00:56:00-03:00
882.238953,2026-02-10T00:57:00-03:00
881.434,2026-02-10T00:58:00-03:00
882.409241,2026-02-10T00:59:00-03:00
882.059631,2026-02-10T01:00:00-03:00
882.9585,2026-02-10T01:01:00-03:00
882.741455,2026-02-10T01:02:00-03:00
883.9403,2026-02-10T01:03:00-03:00
884.504639,2026-02-10T01:04:00-03:00
885.8389,2026-02-10T01:05:00-03:00
886.1391,2026-02-10T01:06:00-03:00
884.3101,2026-02-10T01:07:00-03:00
884.6524,2026-02-10T01:08:00-03:00
882.838,2026-02-10T01:09:00-03:00
885.2016,2026-02-10T01:10:00-03:00
887.9343,2026-02-10T01:11:00-03:00
887.6987,2026-02-10T01:12:00-03:00
893.2951,2026-02-10T01:13:00-03:00
888.6252,2026-02-10T01:14:00-03:00
879.8449,2026-02-10T01:15:00-03:00
877.4195,2026-02-10T01:16:00-03:00
881.2068,2026-02-10T01:17:00-03:00
884.341064,2026-02-10T01:18:00-03:00
883.798157,2026-02-10T01:19:00-03:00
881.9853,2026-02-10T01:20:00-03:00
881.7133,2026-02-10T01:21:00-03:00
877.555542,2026-02-10T01:22:00-03:00
