din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2026-01-01 00:00:00;N;NORTE;NE;NORDESTE;1728.325
2026-01-01 00:00:00;N;NORTE;SE;SUDESTE;4365.847
2026-01-01 00:00:00;NE;NORDESTE;SE;SUDESTE;2443.005
2026-01-01 00:00:00;SE;SUDESTE;S;SUL;-1435.692
2026-01-01 01:00:00;N;NORTE;NE;NORDESTE;1940.328
2026-01-01 01:00:00;N;NORTE;SE;SUDESTE;4306.722
2026-01-01 01:00:00;NE;NORDESTE;SE;SUDESTE;2128.533
2026-01-01 01:00:00;SE;SUDESTE;S;SUL;-2456.717
2026-01-01 02:00:00;N;NORTE;NE;NORDESTE;1964.693
2026-01-01 02:00:00;N;NORTE;SE;SUDESTE;3719.389
2026-01-01 02:00:00;NE;NORDESTE;SE;SUDESTE;1375.222
2026-01-01 02:00:00;SE;SUDESTE;S;SUL;-3846.461
2026-01-01 03:00:00;N;NORTE;NE;NORDESTE;1799.06
2026-01-01 03:00:00;N;NORTE;SE;SUDESTE;2248.337
2026-01-01 03:00:00;NE;NORDESTE;SE;SUDESTE;440.02
2026-01-01 03:00:00;SE;SUDESTE;S;SUL;-4340.51
2026-01-01 04:00:00;N;NORTE;NE;NORDESTE;1294.654
2026-01-01 04:00:00;N;NORTE;SE;SUDESTE;1395.035
2026-01-01 04:00:00;NE;NORDESTE;SE;SUDESTE;-431.794
2026-01-01 04:00:00;SE;SUDESTE;S;SUL;-4572.566
2026-01-01 05:00:00;N;NORTE;NE;NORDESTE;272.784
2026-01-01 05:00:00;N;NORTE;SE;SUDESTE;819.382
2026-01-01 05:00:00;NE;NORDESTE;SE;SUDESTE;-999.801
2026-01-01 05:00:00;SE;SUDESTE;S;SUL;-4689.394
2026-01-01 06:00:00;N;NORTE;NE;NORDESTE;-1784.911
2026-01-01 06:00:00;N;NORTE;SE;SUDESTE;1910.533
2026-01-01 06:00:00;NE;NORDESTE;SE;SUDESTE;881.004
2026-01-01 06:00:00;SE;SUDESTE;S;SUL;-1463.187
2026-01-01 07:00:00;N;NORTE;NE;NORDESTE;-3614.563
2026-01-01 07:00:00;N;NORTE;SE;SUDESTE;2641.221
2026-01-01 07:00:00;NE;NORDESTE;SE;SUDESTE;2733.15299999
2026-01-01 07:00:00;SE;SUDESTE;S;SUL;2702.105
2026-01-01 08:00:00;N;NORTE;NE;NORDESTE;-3437.266
2026-01-01 08:00:00;N;NORTE;SE;SUDESTE;2583.34
2026-01-01 08:00:00;NE;NORDESTE;SE;SUDESTE;2698.607
2026-01-01 08:00:00;SE;SUDESTE;S;SUL;2763.096
2026-01-01 09:00:00;N;NORTE;NE;NORDESTE;-2488.196
2026-01-01 09:00:00;N;NORTE;SE;SUDESTE;1984.237
2026-01-01 09:00:00;NE;NORDESTE;SE;SUDESTE;1084.67
2026-01-01 09:00:00;SE;SUDESTE;S;SUL;2019.517
2026-01-01 10:00:00;N;NORTE;NE;NORDESTE;-2036.249
2026-01-01 10:00:00;N;NORTE;SE;SUDESTE;1855.369
2026-01-01 10:00:00;NE;NORDESTE;SE;SUDESTE;338.035
2026-01-01 10:00:00;SE;SUDESTE;S;SUL;1318.62899999
2026-01-01 11:00:00;N;NORTE;NE;NORDESTE;-2145.87
2026-01-01 11:00:00;N;NORTE;SE;SUDESTE;1956.594
2026-01-01 11:00:00;NE;NORDESTE;SE;SUDESTE;333.175
2026-01-01 11:00:00;SE;SUDESTE;S;SUL;954.753
2026-01-01 12:00:00;N;NORTE;NE;NORDESTE;-2316.48999999
2026-01-01 12:00:00;N;NORTE;SE;SUDESTE;2089.388
2026-01-01 12:00:00;NE;NORDESTE;SE;SUDESTE;513.684
2026-01-01 12:00:00;SE;SUDESTE;S;SUL;1024.208
2026-01-01 13:00:00;N;NORTE;NE;NORDESTE;-2572.826
2026-01-01 13:00:00;N;NORTE;SE;SUDESTE;2366.45899999
2026-01-01 13:00:00;NE;NORDESTE;SE;SUDESTE;732.639
2026-01-01 13:00:00;SE;SUDESTE;S;SUL;1225.24499999
2026-01-01 14:00:00;N;NORTE;NE;NORDESTE;-3125.218
2026-01-01 14:00:00;N;NORTE;SE;SUDESTE;2672.175
2026-01-01 14:00:00;NE;NORDESTE;SE;SUDESTE;1462.931
2026-01-01 14:00:00;SE;SUDESTE;S;SUL;1467.704
2026-01-01 15:00:00;N;NORTE;NE;NORDESTE;-3790.466
2026-01-01 15:00:00;N;NORTE;SE;SUDESTE;2816.694
2026-01-01 15:00:00;NE;NORDESTE;SE;SUDESTE;2095.216
2026-01-01 15:00:00;SE;SUDESTE;S;SUL;2191.486
2026-01-01 16:00:00;N;NORTE;NE;NORDESTE;-2941.75
2026-01-01 16:00:00;N;NORTE;SE;SUDESTE;2512.251
2026-01-01 16:00:00;NE;NORDESTE;SE;SUDESTE;1031.766
2026-01-01 16:00:00;SE;SUDESTE;S;SUL;2130.494
2026-01-01 17:00:00;N;NORTE;NE;NORDESTE;-1072.253
2026-01-01 17:00:00;N;NORTE;SE;SUDESTE;2161.54
2026-01-01 17:00:00;NE;NORDESTE;SE;SUDESTE;410.557
2026-01-01 17:00:00;SE;SUDESTE;S;SUL;610.701
2026-01-01 18:00:00;N;NORTE;NE;NORDESTE;-139.202
