nom_reservatorio;tip_reservatorio;cod_resplanejamento;cod_posto;nom_usina;ceg;id_subsistema;nom_subsistema;nom_bacia;nom_rio;nom_ree;dat_entrada;val_cotamaxima;val_cotaminima;val_volmax;val_volmin;val_volutiltot;val_produtibilidadeespecifica;val_produtividade65volutil;val_tipoperda;val_perda;val_latitude;val_longitude;id_reservatorio
14 DE JULHO;FIO DAGUA;99;284;14 DE JULHO;UHE.PH.RS.000012-4.01;S;SUL;JACUI;TAQUARI-ANTAS;SUL;2008-12-25;104.0;103.0;55.18;50.47;4.71;0.008927;0.3016;m;0.74;-29.06944444;-51.67527778;JIUHQJ
A. VERMELHA;RESERVATÓRIO COM USINA;18;18;ÁGUA VERMELHA;UHE.PH.MG.000041-8.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1978-03-01;383.3;373.3;11025.0;5856.0;5169.22;0.008825;0.4625;m;0.75;-19.86805556;-50.34277778;GRAGVL
AIMORES;FIO DAGUA;143;148;AIMORÉS;UHE.PH.MG.000042-6.01;SE;SUDESTE/CENTRO-OESTE;DOCE;DOCE;SUDESTE;2005-07-30;90.0;89.6;185.52;156.55;12.14;0.008926;0.2558;m;0.32;-19.45333333;-41.09666667;DCAIMO
ANTA;RESERVATÓRIO SEM USINA;128;129;ANTA;UHE.PH.MG.029458-6.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;PARAÍBA SUL;SUDESTE;2018-08-10;251.5;250.5;74.25;63.89;10.36;;;;;-22.03333333;-43.0;PBANTA
APOLONIO SALES;FIO DAGUA;173;173;APOLÔNIO SALES;UHE.PH.AL.001510-5.01;NE;NORDESTE;SAO FRANCISCO;SÃO FRANCISCO;NORDESTE;1977-02-28;252.0;250.0;1226.0;1226.0;209.0;0.008973;0.0974;m;0.22;-9.356111111;-38.21027778;SFMOXO
B. BONITA;RESERVATÓRIO COM USINA;37;237;BARRA BONITA;UHE.PH.SP.000208-9.01;SE;SUDESTE/CENTRO-OESTE;TIETE;TIETÊ;PARANA;1963-02-01;451.5;439.5;3135.0;569.0;2566.86;0.008845;0.1776;m;0.41;-22.51944444;-48.53416667;TIBONI
B.COQUEIROS;FIO DAGUA;312;248;BARRA DOS COQUEIROS;UHE.PH.GO.028757-1.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;CLARO;PARANA;2010-06-19;448.0;446.0;347.8;300.0;48.47;0.008934;0.3214;m;0.41;-18.72111111;-51.00444444;PNUHBC
BAGUARI;FIO DAGUA;141;141;BAGUARI;UHE.PH.MG.029453-5.01;SE;SUDESTE/CENTRO-OESTE;DOCE;DOCE;SUDESTE;2009-09-09;185.0;184.5;38.07;31.42;6.5;0.008978;0.1698;m;0.2;-19.02916667;-42.12972222;DCUBAG
BAIXO IGUACU;FIO DAGUA;83;81;BAIXO IGUAÇU;UHE.PH.PR.030923-0.01;S;SUL;IGUACU;IGUAÇU;IGUACU;2019-02-08;259.0;258.0;211.92;178.7;33.22;0.009094;0.1458;m;0.29;-25.50305556;-53.67805556;IGUHBI
BALBINA;RESERVATÓRIO COM USINA;277;269;BALBINA;UHE.PH.AM.000190-2.01;N;NORTE;AMAZONAS;UATUMA;MANAUS-AMAPA;1989-02-13;51.0;46.0;20006.22;9711.9;10209.79;0.008978;0.208;m;0.3;-1.913611111;-59.47388889;AMUHBB
BARIRI;FIO DAGUA;38;238;BARIRI;UHE.PH.SP.000203-8.01;SE;SUDESTE/CENTRO-OESTE;TIETE;TIETÊ;PARANA;1967-01-01;427.5;426.5;544.0;544.0;59.93;0.008333;0.1848;m;0.43;-22.15388889;-48.75388889;TIBARI
BARRA BRAUNA;FIO DAGUA;185;135;BARRA DO BRAÚNA;UHE.PH.MG.000215-1.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;POMBA;SUDESTE;2009-12-25;152.0;150.0;92.55;75.17;17.38;0.008764;0.2094;m;0.81;-21.45;-42.4;PBBBRA
BARRA GRANDE;RESERVATÓRIO COM USINA;86;215;BARRA GRANDE;UHE.PH.RS.027556-5.01;S;SUL;URUGUAI;PELOTAS;SUL;2005-11-01;647.0;617.0;4904.45;2711.79;2192.66;0.009218;1.4153;m;2.79;-27.77722222;-51.18861111;RIUHBG
BATALHA;RESERVATÓRIO COM USINA;20;22;BATALHA;UHE.PH.MG.029454-3.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;SAO MARCOS;PARANA;2014-05-17;800.0;785.0;1781.61;430.05;1351.53;0.009025;0.3551;m;1.2;-17.34555556;-47.48944444;PNUSBL
BELO MONTE;FIO DAGUA;288;292;BELO MONTE;UHE.PH.PA.030354-2.01;N;NORTE;AMAZONAS;XINGU;BELO MONTE;2016-04-20;97.0;92.19;2276.29;1773.9;610.72;0.009119;0.8185;m;1.61;-3.126388889;-51.775;AMUSBM
BOA ESPERANÇA;RESERVATÓRIO COM USINA;190;190;BOA ESPERANÇA;UHE.PH.PI.000267-4.01;NE;NORDESTE;PARNAIBA;PARNAÍBA;NORDESTE;1970-01-31;304.0;298.0;5085.0;3173.0;1912.0;0.008935;0.3784;m;0.53;-6.751388889;-43.5675;PIBESP
C. DOURADA;FIO DAGUA;32;32;CACHOEIRA DOURADA;UHE.PH.GO.000528-2.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;PARANAÍBA;PARANA;1959-01-31;431.55;428.0;460.0;460.0;221.87;0.008568;0.2702;m;0.59;-18.50361111;-49.4925;PRCDOU
C.BRANCO-1;RESERVATÓRIO COM USINA;27;207;AMADOR AGUIAR I;UHE.PH.MG.027483-6.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;ARAGUARI-MG;PARANA;2006-02-21;624.0;623.3;241.13;228.27;12.86;0.008995;0.5114;m;1.84;-18.78833333;-48.14611111;PNCPB1
C.BRANCO-2;FIO DAGUA;28;28;AMADOR AGUIAR II;UHE.PH.MG.027484-4.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;ARAGUARI-MG;PARANA;2007-03-09;565.0;564.7;879.0;878.0;13.2;0.009077;0.4169;m;0.52;-18.65888889;-48.43583333;PNCPB2
CACHOEIRA CALDEIRAO;FIO DAGUA;204;204;CACHOEIRA CALDEIRÃO;UHE.PH.AP.031186-3.01;N;NORTE;ARAGUARI;ARAGUARI-AP;MANAUS-AMAPA;2016-05-05;58.3;58.3;231.21;231.21;0.0;0.009037;0.1406;m;0.32;0.852777778;-51.29666667;AAUCCA
CACONDE;RESERVATÓRIO COM USINA;14;14;CACONDE;UHE.PH.SP.000588-6.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;PARDO;PARANA;1952-04-01;855.0;825.0;555.0;51.0;504.09;0.008558;0.8259;m;0.87;-21.57777778;-46.62333333;PDCACO
CACU;RESERVATÓRIO COM USINA;311;247;CAÇU;UHE.PH.GO.028756-3.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;CLARO;PARANA;2010-07-24;477.0;475.0;227.45;195.76;31.69;0.008951;0.243;m;0.21;-18.53222222;-51.14944444;PNCACU
CAMARGOS;RESERVATÓRIO COM USINA;1;1;CAMARGOS;UHE.PH.MG.000608-4.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1960-03-01;913.0;899.0;792.0;120.0;672.0;0.008767;0.2076;m;0.1;-21.32555556;-44.61666667;GRCAMA
CAMPOS NOVOS;RESERVATÓRIO COM USINA;90;216;CAMPOS NOVOS;UHE.PH.SC.027401-1.01;S;SUL;URUGUAI;CANOAS;SUL;2007-02-03;660.0;655.0;1477.0;1320.0;129.62;0.009083;1.6063;m;2.48;-27.60305556;-51.32361111;RIUHCN
CANA BRAVA;FIO DAGUA;252;191;CANA BRAVA;UHE.PH.GO.000630-0.01;SE;SUDESTE/CENTRO-OESTE;TOCANTINS;TOCANTINS;SUDESTE;2002-05-22;333.0;330.0;2300.0;2300.0;393.87;0.00887;0.3868;m;1.04;-13.40416667;-48.1425;TOUHCB
CANASTRA;FIO DAGUA;87;224;CANASTRA;UHE.PH.RS.000635-1.01;S;SUL;JACUI;SANTA MARIA;SUL;1956-04-01;545.83;541.33;0.384;0.183;0.242;;;;;-29.3932672;-50.7457369;OSCNST
CANDONGA;FIO DAGUA;139;149;RISOLETA NEVES;UHE.PH.MG.000641-6.01;SE;SUDESTE/CENTRO-OESTE;DOCE;DOCE;SUDESTE;2004-08-24;327.5;326.5;29.75;27.12;2.63;0.009074;0.4503;m;0.4;-20.20694444;-42.85527778;DCUHEC
CANOAS I;FIO DAGUA;52;52;CANOAS I;UHE.PH.SP.000647-5.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;1999-05-09;351.0;350.0;212.0;212.0;27.7;0.009124;0.1489;m;0.22;-22.94222222;-50.51638889;PPCNO1
CANOAS II;FIO DAGUA;51;51;CANOAS II;UHE.PH.SP.027092-0.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;1999-05-15;366.0;365.0;151.0;151.0;22.75;0.009089;0.1288;m;0.21;-22.93777778;-50.24888889;PPCNO2
CAPIVARA;RESERVATÓRIO COM USINA;61;61;CAPIVARA;UHE.PH.SP.000657-2.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;1977-03-10;334.0;321.0;10540.0;4816.0;5724.93;0.008554;0.3744;m;1.51;-22.66111111;-51.35388889;PPCAPI
CASTRO ALVES;FIO DAGUA;97;98;CASTRO ALVES;UHE.PH.RS.000718-8.01;S;SUL;JACUI;TAQUARI-ANTAS;SUL;2008-03-04;240.0;239.0;92.0;87.0;4.6;0.008954;0.7676;m;6.62;-29.00444444;-51.38416667;JIUHCA
CHAVANTES;RESERVATÓRIO COM USINA;49;49;CHAVANTES;UHE.PH.SP.000764-1.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;1970-02-06;474.0;465.23;8795.0;5754.0;3041.12;0.008791;0.6177;m;2.19;-23.13055556;-49.73333333;PPCHAV
COARACY NUNES;FIO DAGUA;280;280;COARACY NUNES;UHE.PH.AP.000783-8.01;N;NORTE;ARAGUARI;ARAGUARI-AP;MANAUS-AMAPA;1990-12-31;42.14;35.14;138.5;25.0;113.5;0.008918;0.1795;m;0.32;0.915277778;-51.25944444;AMUHCN
COLIDER;FIO DAGUA;228;228;COLÍDER;UHE.PH.MT.030422-0.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;TELES PIRES;TELES PIRES;2019-03-09;272.0;271.4;1524.5;1427.48;97.02;0.009153;0.2078;m;0.35;-10.97555556;-55.76333333;AMCLR
CORUMBA;RESERVATÓRIO COM USINA;30;209;CORUMBÁ;UHE.PH.GO.000866-4.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;CORUMBÁ;PARANA;1997-04-30;595.0;570.0;1500.0;470.0;1024.9;0.008845;0.6294;m;0.69;-17.98694444;-48.53111111;COCORU
CORUMBA-3;RESERVATÓRIO COM USINA;203;23;CORUMBÁ III;UHE.PH.GO.028352-5.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;CORUMBÁ;PARANA;2009-10-24;772.0;768.0;972.0;709.0;259.7;0.008795;0.3471;m;0.84;-16.78611111;-47.94194444;PNUCB3
CORUMBA-4;RESERVATÓRIO COM USINA;29;205;CORUMBÁ IV;UHE.PH.GO.027795-9.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;CORUMBÁ;PARANA;2006-04-01;842.6;837.0;3708.0;2936.6;916.89;0.008746;0.5836;m;1.59;-16.32277778;-48.1875;PNUCB4
CURUA-UNA;RESERVATÓRIO COM USINA;272;277;CURUÁ-UNA;UHE.PH.PA.027130-6.01;N;NORTE;AMAZONAS;CURUÁ-UNA;BELO MONTE;1977-07-27;32.22;25.22;602.0;133.0;469.0;0.008715;0.1679;m;0.13;-2.816111111;-54.30055556;CRCURU
D. FRANCISCA;FIO DAGUA;114;114;DONA FRANCISCA;UHE.PH.RS.027012-1.01;S;SUL;JACUI;JACUÍ;SUL;2001-02-05;94.49;91.0;330.0;330.0;62.56;0.008765;0.3356;m;0.36;-29.44944444;-53.28333333;JIUDFR
